precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIUNEA ROMÂNĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL DREPTĂȚII-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
3,ARGEŞ,"BAZIN MUNICIPAL DE ÎNOT I",94,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:04:24",1583,1577,0,6,0,690,684,0,6,0,668,22,1600,910,190,220,7,23,22,5,8,7,5,180,0,1
3,ARGEŞ,"BAZIN MUNICIPAL DE ÎNOT II",95,"MUNICIPIUL CÂMPULUNG",13490,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:51:14",1463,1453,0,10,0,604,594,0,10,0,597,7,1600,996,164,171,9,11,20,3,4,12,10,186,4,3
3,ARGEŞ,"BAZIN MUNICIPAL DE ÎNOT III",96,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:27:10",1456,1446,1,9,0,679,670,0,9,0,664,15,1600,921,200,182,11,25,29,6,2,8,2,198,1,0
3,ARGEŞ,"BIBLIOTECA JUDEŢEANĂ ARGEŞ ”DINICU GOLESCU”",1,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:01:09",1241,1183,45,13,0,436,423,0,13,0,433,3,1300,864,148,114,8,16,29,1,4,5,0,103,3,2
3,ARGEŞ,"CĂMIN CULTURAL ALBOTA",196,ALBOTA,13935,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:19:11",1935,1917,4,13,1,985,971,0,13,1,929,56,2100,1115,595,175,7,9,29,14,12,5,9,67,2,5
3,ARGEŞ,"CĂMIN CULTURAL BĂDENI",471,STOENEŞTI,18858,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:42",1446,1442,0,3,1,754,750,0,3,1,706,48,1580,826,339,181,6,14,13,7,8,32,1,100,4,1
3,ARGEŞ,"CĂMIN CULTURAL BĂDEŞTI",416,PIETROŞANI,17851,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:46:39",1261,1259,1,1,0,690,689,0,1,0,651,39,1385,695,373,175,6,63,10,6,6,0,0,11,0,1
3,ARGEŞ,"CĂMIN CULTURAL BĂDICENI",367,MĂLURENI,17049,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:21",412,404,0,7,1,227,219,0,7,1,212,15,478,251,123,61,0,16,1,0,0,1,0,9,0,1
3,ARGEŞ,"CĂMIN CULTURAL BĂJEŞTI",221,BĂLILEŞTI,14272,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:04:04",823,819,1,2,1,521,518,0,2,1,485,36,1000,479,216,101,2,80,37,9,8,1,1,24,0,6
3,ARGEŞ,"CĂMIN CULTURAL BĂLILEŞTI",220,BĂLILEŞTI,14272,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:40:14",893,887,0,6,0,554,548,0,6,0,502,52,1000,446,309,90,8,29,18,7,6,1,2,28,2,2
3,ARGEŞ,"CĂMIN CULTURAL BELEŢI",229,BELEŢI-NEGREŞTI,14352,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:36:48",533,526,1,6,0,360,353,1,6,0,333,27,600,240,94,94,2,11,75,12,2,2,1,39,0,1
3,ARGEŞ,"CĂMIN CULTURAL BEREVOEŞTI-PĂMÎNTENI",231,BEREVOEŞTI,14405,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:28:50",1693,1682,0,10,1,1153,1142,0,10,1,1097,56,1849,696,500,352,7,27,157,20,6,4,0,15,0,9
3,ARGEŞ,"CĂMIN CULTURAL BOTENI",240,BOTENI,14673,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:39:55",1515,1464,0,8,43,1030,979,0,8,43,971,59,1545,515,599,213,33,79,15,5,10,2,1,11,1,2
3,ARGEŞ,"CĂMIN CULTURAL BRĂDULEŢ",249,BRĂDULEŢ,14753,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:55:44",458,449,0,3,6,288,279,0,3,6,253,35,503,215,68,47,4,55,6,7,6,51,2,6,1,0
3,ARGEŞ,"CĂMIN CULTURAL BURLUŞI",294,CIOFRÂNGENI,15493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:04:09",385,375,0,1,9,181,171,0,1,9,172,9,400,219,131,27,1,2,1,0,0,1,0,6,1,2
3,ARGEŞ,"CĂMIN CULTURAL CETĂŢENI",288,CETĂŢENI,15402,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:45:57",877,865,0,6,6,542,530,0,6,6,523,19,945,403,283,196,7,5,11,2,1,0,0,14,2,2
3,ARGEŞ,"CĂMIN CULTURAL CIOFRÎNGENI",292,CIOFRÂNGENI,15493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:11:19",1044,1011,0,2,31,594,561,0,2,31,569,25,1200,606,402,109,6,4,17,1,3,1,2,23,1,0
3,ARGEŞ,"CĂMIN CULTURAL CIREŞU",282,CĂTEASCA,15233,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:40:49",588,568,1,12,7,396,378,0,12,6,368,28,600,204,163,52,5,68,27,6,10,3,2,30,2,0
3,ARGEŞ,"CĂMIN CULTURAL CORBI",308,CORBI,15830,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:22:57",1108,1077,0,21,10,1108,1077,0,21,10,988,120,1800,692,297,157,7,367,112,13,15,2,2,10,0,6
3,ARGEŞ,"CĂMIN CULTURAL CORBŞORI",309,CORBI,15830,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:10:40",795,754,1,37,3,493,453,0,37,3,439,54,845,352,69,52,8,267,13,8,8,2,0,11,1,0
3,ARGEŞ,"CĂMIN CULTURAL COŞEŞTI",312,COŞEŞTI,15901,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:16",848,841,0,7,0,537,530,0,7,0,484,53,1000,463,202,98,5,57,55,6,13,26,1,18,0,3
3,ARGEŞ,"CĂMIN CULTURAL COTMEANA",316,COTMEANA,15983,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:20:33",768,763,0,5,0,488,483,0,5,0,440,48,800,312,222,108,6,12,26,4,5,0,3,50,1,3
3,ARGEŞ,"CĂMIN CULTURAL DOBREŞTI",334,DOBREŞTI,16427,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:59:50",775,733,1,24,17,570,529,0,24,17,537,33,791,221,272,195,4,13,19,7,4,5,1,7,0,10
3,ARGEŞ,"CĂMIN CULTURAL DRĂGANU",341,DRĂGANU,16506,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:42:30",799,774,2,16,7,513,490,0,16,7,482,31,856,343,335,104,4,0,9,2,2,4,0,18,0,4
3,ARGEŞ,"CĂMIN CULTURAL DRĂGHICI",386,MIHĂEŞTI,17254,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:25:04",901,876,0,20,5,597,572,0,20,5,573,24,966,369,359,148,3,2,33,3,10,2,1,12,0,0
3,ARGEŞ,"CĂMIN CULTURAL GOVORA",498,UDA,19392,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:28:31",408,386,0,13,9,274,252,0,13,9,255,19,420,146,81,123,1,11,25,6,5,0,0,0,1,2
3,ARGEŞ,"CĂMIN CULTURAL HÎRTIEŞTI",348,HÂRTIEŞTI,16659,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:40:39",749,738,0,6,5,537,526,0,6,5,509,28,900,363,96,381,4,2,11,5,3,0,0,4,1,2
3,ARGEŞ,"CĂMIN CULTURAL JUPÎNEŞTI",314,COŞEŞTI,15901,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:05:13",898,892,0,5,1,522,516,0,5,1,479,43,1000,478,274,49,6,52,69,4,11,1,1,10,1,1
3,ARGEŞ,"CĂMIN CULTURAL LĂZĂREŞTI",463,"SCHITU GOLEŞTI",18670,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:04:17",1839,1821,0,10,8,1028,1010,0,10,8,927,101,1975,947,314,490,1,7,19,8,6,50,1,28,1,2
3,ARGEŞ,"CĂMIN CULTURAL LEICEŞTI",313,COŞEŞTI,15901,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:34:00",1563,1561,1,0,1,983,982,0,0,1,933,50,1600,617,367,250,15,91,116,10,14,6,2,57,2,3
3,ARGEŞ,"CĂMIN CULTURAL LEREȘTI",361,LEREŞTI,16908,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:34:08",1101,1081,0,13,7,656,637,0,13,6,622,34,1135,479,435,101,8,11,15,13,0,9,3,24,1,2
3,ARGEŞ,"CĂMIN CULTURAL MĂŢĂU",389,MIOARELE,17334,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:29:48",1002,971,0,7,24,734,703,0,7,24,688,46,1043,309,266,261,3,12,94,12,4,3,4,25,3,1
3,ARGEŞ,"CĂMIN CULTURAL MIROŞI",391,MIROŞI,17398,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:56:51",1184,1172,0,6,6,655,643,0,6,6,593,62,1292,637,399,95,4,29,20,3,3,2,1,15,2,20
3,ARGEŞ,"CĂMIN CULTURAL MOŞOAIA",395,MOŞOAIA,17496,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:18:21",1430,1424,1,4,1,846,841,0,4,1,808,38,1600,754,222,263,7,108,25,7,3,115,3,44,5,6
3,ARGEŞ,"CĂMIN CULTURAL NĂMĂEŞTI",509,"VALEA MARE-PRAVĂŢ",13524,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:38",491,482,1,8,0,357,349,0,8,0,334,23,600,243,154,118,1,10,6,4,4,1,1,31,2,2
3,ARGEŞ,"CĂMIN CULTURAL NEGREŞTI",230,BELEŢI-NEGREŞTI,14352,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:11:07",948,944,0,1,3,703,699,0,1,3,680,23,1025,322,166,154,5,26,138,25,11,3,2,140,4,6
3,ARGEŞ,"CĂMIN CULTURAL PIATRA",472,STOENEŞTI,18858,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:09",411,405,0,6,0,231,225,0,6,0,221,10,440,209,132,47,0,4,3,2,2,0,0,31,0,0
3,ARGEŞ,"CĂMIN CULTURAL POIENARI",428,"POIENARII DE ARGEŞ",17913,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:27:25",671,640,0,19,12,483,452,0,19,12,392,91,708,225,120,77,15,29,19,13,10,8,5,88,1,7
3,ARGEŞ,"CĂMIN CULTURAL POIENIŢA",222,BĂLILEŞTI,14272,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:43",978,973,0,5,0,559,554,0,5,0,533,26,1000,441,345,71,5,44,14,7,7,5,1,23,1,10
3,ARGEŞ,"CĂMIN CULTURAL POPEŞTI",458,SĂPATA,18581,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:24:02",698,676,0,19,3,516,494,0,19,3,473,43,740,224,317,78,1,37,21,5,4,2,0,4,1,3
