precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA USR PLUS-voturi","PLATFORMA SOCIAL-LIBERAL CREȘTINĂ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",75,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:06:19",1551,1304,235,12,0,383,371,0,12,0,365,18,1394,1011,102,23,20,26,9,0,5,127,45,8
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",74,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:50:52",1027,1016,2,9,0,311,302,0,9,0,297,14,1150,839,86,23,26,30,8,0,8,70,38,8
2,ARAD,"BIBLIOTECA ORAȘULUI SÂNTANA",165,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:52:05",1043,1031,0,12,0,303,291,0,12,0,264,39,1100,797,107,10,30,4,2,9,1,91,8,2
2,ARAD,"BRUTĂRIE - SÂMBĂTENI",321,PĂULIŞ,11539,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:46:52",1681,1643,7,10,21,911,875,5,10,21,795,116,1812,901,405,55,54,8,14,33,23,100,90,13
2,ARAD,"CĂMIN CULTURAL ALDEŞTI",193,BÂRSA,10051,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:52",421,403,0,9,9,261,243,0,9,9,249,12,458,197,99,47,19,0,2,8,6,5,63,0
2,ARAD,"CĂMIN CULTURAL COVĂSINȚ",240,COVĂSINŢ,10514,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:51:04",1082,1048,1,13,20,533,500,0,13,20,497,36,1159,626,302,29,56,1,3,15,2,75,12,2
2,ARAD,"CĂMIN CULTURAL DOROBANŢI",260,DOROBANŢI,12912,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:30:04",1415,1368,6,4,37,755,714,0,4,37,724,31,1519,764,79,12,15,561,0,2,12,29,10,4
2,ARAD,"CĂMIN CULTURAL LAZURI",409,VÂRFURILE,12689,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:50:17",635,622,2,10,1,421,409,1,10,1,378,43,693,272,146,18,69,0,6,12,6,102,17,2
2,ARAD,"CĂMIN CULTURAL PĂIUŞENI",233,CHISINDIA,10417,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:39:03",315,293,0,7,15,255,233,0,7,15,226,29,350,95,82,11,7,1,6,3,106,2,6,2
2,ARAD,"CĂMIN CULTURAL SATU NOU",166,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:40:15",1079,1063,1,11,4,548,532,1,11,4,524,24,1100,552,306,22,20,6,8,11,15,116,17,3
2,ARAD,"CĂMIN CULTURAL SLATINA DE MUREŞ",201,BÂRZAVA,10104,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:55:45",137,132,0,5,0,98,93,0,5,0,75,23,140,42,35,8,2,2,0,2,2,1,23,0
2,ARAD,"CĂMIN CULTURAL ŢĂRMURE",286,HĂLMAGIU,11058,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:37",283,261,0,8,14,228,206,0,8,14,217,11,291,63,125,24,19,1,1,13,4,10,17,3
2,ARAD,"CAMIN CULTURAL ȚELA",189,BATA,9887,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:56:24",266,253,1,10,2,138,125,1,10,2,117,21,290,152,59,18,6,0,1,2,11,8,10,2
2,ARAD,"CĂMIN CULTURAL VALEA MARE",344,SĂVÂRŞIN,11842,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:03:37",176,164,0,9,3,94,82,0,9,3,80,14,187,93,43,9,12,0,0,1,2,2,9,2
2,ARAD,"CĂMIN CULTURAL VĂSOAIA",234,CHISINDIA,10417,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:44:33",53,38,0,12,3,37,22,0,12,3,31,6,45,8,11,2,1,0,1,0,8,4,2,2
