precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALINȚA PARTIDUL NAȚIONAL LIBERAL-UNIUNEA SALVAȚI ROMÂNIA-PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (PNL-USR-PLUS)-voturi","PARTIDUL VERDE-voturi"
4,BACĂU,"ADMINISTRAȚIA FINANȚELOR PUBLICE BACĂU",21,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:54",990,982,0,8,0,317,309,0,8,0,303,14,1100,783,99,23,10,43,10,8,18,82,10
4,BACĂU,"AŞEZĂMÂNT FILANTROPIC ”SFÂNTUL VOIEVOD ŞTEFAN CEL MARE” HÎRJA",474,OITUZ,23797,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:26:10",267,261,0,6,0,69,63,0,6,0,65,4,300,231,27,3,7,2,2,1,3,20,0
4,BACĂU,"BAZA SPORTIVA ”LIA MANOLIU” RĂCĂCIUNI",534,RĂCĂCIUNI,24766,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:31:28",1577,1555,5,15,2,606,587,2,15,2,559,47,1726,1120,307,44,17,33,58,8,9,77,6
4,BACĂU,"BAZINUL OLIMPIC BACĂU",103,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:41:33",1776,1766,0,10,0,167,157,0,10,0,154,13,2000,1833,39,6,7,13,6,5,15,55,8
4,BACĂU,"BAZINUL OLIMPIC BACĂU",102,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:18:30",1712,1700,0,12,0,500,488,0,12,0,466,34,1900,1400,127,19,29,47,29,5,59,138,13
4,BACĂU,"BIBLIOTECA MUNICIPALA",131,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:39",1240,1231,4,5,0,451,446,0,5,0,431,20,1400,949,124,42,36,33,12,4,10,158,12
4,BACĂU,"BIBLIOTECA ORĂŞENEASCĂ ”GEORGE BACOVIA”",184,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:47",1417,1397,1,9,10,558,539,0,9,10,513,45,1500,942,209,37,45,77,9,9,22,94,11
4,BACĂU,"BIBLIOTECA ORAŞULUI COMĂNEȘTI",195,"ORAŞ COMĂNEŞTI",20821,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:56:07",1422,1411,0,8,3,533,522,0,8,3,500,33,1600,1067,163,30,14,17,22,8,14,221,11
4,BACĂU,"BIBLIOTECA PUBLICA ”CALISTRAT HOGAS” BALCANI",248,BALCANI,21196,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:48:07",1114,1094,0,7,13,529,509,0,7,13,456,73,1197,668,173,33,49,78,9,6,26,80,2
4,BACĂU,"CABINET MEDICAL",578,SOLONŢ,25488,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:10",676,672,0,3,1,280,276,0,3,1,262,18,776,496,202,8,3,9,6,3,1,29,1
