precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
5,BIHOR,"AFTER SCHOOL",524,ROŞIA,30844,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:48:19",538,493,0,35,10,458,413,0,35,10,419,39,557,99,326,4,0,5,73,2,7,0,2
5,BIHOR,"BLOC PARTER",152,"MUNICIPIUL BEIUŞ",26804,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:10:15",1159,1141,0,14,4,706,688,0,14,4,685,21,1309,603,449,21,0,8,133,12,9,0,53
5,BIHOR,"BLOCURILE ANL",145,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:01:43",876,860,4,12,0,483,471,0,12,0,474,9,966,483,406,16,1,5,24,5,5,3,9
5,BIHOR,"CAMIN CULTURAL",558,"SÂNNICOLAU ROMÂN",32179,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:45:43",1028,954,3,43,28,754,683,0,43,28,705,49,1060,306,482,14,5,7,97,7,81,0,12
5,BIHOR,"CAMIN CULTURAL",565,SÂRBI,31128,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:46",1058,819,0,199,40,838,599,0,199,40,801,37,900,62,465,8,0,3,290,16,16,1,2
5,BIHOR,"CAMIN CULTURAL",566,SÂRBI,31128,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:56",748,598,0,128,22,584,434,0,128,22,558,26,681,97,347,4,1,7,183,1,4,0,11
5,BIHOR,"CAMIN CULTURAL",578,"SUPLACU DE BARCĂU",31262,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:13",749,735,0,10,4,410,396,0,10,4,384,26,827,417,279,12,32,5,44,5,2,0,5
5,BIHOR,"CAMIN CULTURAL",612,TĂRCAIA,31609,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:21:04",229,213,0,14,2,180,164,0,14,2,173,7,239,59,79,9,1,27,52,2,0,1,2
5,BIHOR,"CAMIN CULTURAL",611,TĂRCAIA,31609,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:19:10",373,319,1,39,14,307,254,0,39,14,300,7,367,60,91,0,1,1,204,0,0,2,1
5,BIHOR,"CĂMIN CULTURAL",186,"ORAŞ ALEŞD",26699,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:09:44",1127,1112,0,13,2,627,612,0,13,2,596,31,1229,602,426,14,32,5,71,4,31,0,13
5,BIHOR,"CĂMIN CULTURAL",457,MĂGEŞTI,30069,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:25:52",303,287,0,7,9,303,287,0,7,9,271,12,443,140,229,1,0,14,24,2,0,1,0
5,BIHOR,"CĂMIN CULTURAL",435,LĂZĂRENI,29813,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:15:25",585,542,0,31,12,405,362,0,31,12,383,22,620,215,331,7,0,3,35,4,1,0,2
5,BIHOR,"CĂMIN CULTURAL",434,LĂZĂRENI,29813,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:12:24",511,486,1,18,6,373,349,0,18,6,361,12,540,167,300,2,0,0,44,8,3,0,4
5,BIHOR,"CĂMIN CULTURAL",625,TILEAGD,31716,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:01:42",697,686,1,8,2,250,240,0,8,2,238,12,762,512,121,66,0,7,20,5,8,7,4
5,BIHOR,"CĂMIN CULTURAL",655,VIIŞOARA,32045,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:13",173,160,0,11,2,101,88,0,11,2,93,8,185,84,23,56,1,0,6,2,3,2,0
5,BIHOR,"CĂMIN CULTURAL",237,AUŞEU,27212,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:19:27",758,727,5,7,19,445,418,1,7,19,425,20,801,356,319,0,9,0,82,3,4,1,7
5,BIHOR,"CĂMIN CULTURAL",624,TILEAGD,31716,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:16:48",336,333,0,3,0,133,130,0,3,0,117,16,374,241,56,33,0,6,11,4,5,1,1
5,BIHOR,"CĂMIN CULTURAL",639,ŢEŢCHEA,31878,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:53:29",499,480,1,9,9,317,299,0,9,9,298,19,531,214,195,6,1,3,78,4,6,1,4
5,BIHOR,"CĂMIN CULTURAL",640,ŢEŢCHEA,31878,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:50:03",683,657,0,11,15,445,419,0,11,15,349,96,724,279,125,104,3,4,55,3,46,3,6
5,BIHOR,"CĂMIN CULTURAL",638,ŢEŢCHEA,31878,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:12:22",691,669,0,13,9,442,420,0,13,9,423,19,738,296,254,8,1,10,111,1,36,1,1
5,BIHOR,"CĂMIN CULTURAL",428,"LAZURI DE BEIUŞ",29760,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:18:30",573,521,1,30,21,455,404,0,30,21,435,20,571,116,332,2,1,5,46,17,4,0,28
