precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA PENTRU BISTRIȚA-NĂSĂUD-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU MIHALACHE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","POP ZAHARIE-voturi"
6,BISTRIŢA-NĂSĂUD,"AFTER-SCHOOL FELDRU",135,FELDRU,33248,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:46:07",1391,1378,1,9,3,619,607,0,9,3,559,60,1515,896,19,247,241,6,13,6,5,8,4,6,4
6,BISTRIŢA-NĂSĂUD,"AUTOGARA CĂLĂTORI",73,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:50:49",1777,1762,0,15,0,808,793,0,15,0,766,42,1950,1142,57,322,245,6,69,9,7,25,7,4,15
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA COMUNALĂ SATU NOU",104,CETATE,32884,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:03:33",597,585,1,5,6,400,389,0,5,6,364,36,650,250,121,145,60,4,11,6,4,4,3,2,4
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",58,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:00:09",1548,1538,4,6,0,795,789,0,6,0,778,17,1715,920,79,312,271,10,28,18,3,33,10,11,3
6,BISTRIŢA-NĂSĂUD,"CABANA STARSILVA FIAD",294,TELCIU,35054,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:57:41",184,170,0,13,1,98,85,0,12,1,87,11,190,92,31,29,20,2,1,2,0,0,0,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL",241,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:53",148,105,1,33,9,147,105,0,33,9,126,21,165,18,6,82,26,0,1,3,3,3,1,1,0
6,BISTRIŢA-NĂSĂUD,"CAMIN CULTURAL ”GRIGORE PLETOSU”",257,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:16:21",565,553,0,1,11,259,247,0,1,11,228,31,610,351,9,74,106,9,2,2,10,10,3,2,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",273,ŞINTEREAG,34903,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:52",256,250,0,3,3,133,127,0,3,3,117,16,286,153,4,46,52,4,2,3,1,5,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",243,"SILIVAŞU DE CÂMPIE",34422,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:40:31",837,771,0,31,35,619,553,0,31,35,510,109,855,236,49,274,125,23,8,12,5,8,3,0,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",211,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:14:01",310,287,0,3,20,163,140,0,3,20,151,12,340,177,11,41,87,0,4,1,0,5,0,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL AGRIŞU DE SUS",263,ŞIEU-ODORHEI,34770,6,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:23:27",134,126,1,3,4,88,81,0,3,4,79,9,150,62,6,27,28,0,0,4,2,5,6,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ALBEŞTII BISTRIŢEI",141,"GALAŢII BISTRIŢEI",33275,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:26:23",135,130,0,5,0,81,76,0,5,0,78,3,145,64,7,45,12,9,1,0,1,1,0,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCHIUD",283,TEACA,34985,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:30:42",460,443,1,7,9,248,233,0,7,8,230,18,490,242,14,117,69,9,3,5,3,6,2,1,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARŞIŢA",181,"MĂGURA ILVEI",33729,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:25:26",344,338,1,5,0,192,187,0,5,0,161,31,375,183,14,81,49,2,2,4,3,1,1,4,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BAŢA",216,"PETRU RAREŞ",34173,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:34:57",726,707,0,9,10,448,429,0,9,10,419,29,775,327,17,172,158,7,4,5,29,17,3,2,5
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL BEUDIU",207,NUŞENI,34075,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:53:56",477,428,2,8,39,337,289,1,8,39,317,20,510,173,8,94,192,2,6,7,0,8,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BIDIU",175,MATEI,33658,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:04",169,157,0,7,5,100,88,0,7,5,78,22,170,70,10,25,33,3,1,2,0,2,0,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BÎRLA",184,MĂRIŞELU,33765,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:37",190,185,0,3,2,190,185,0,3,2,177,13,306,116,10,83,61,1,3,3,0,9,2,3,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BISTRIŢA BÎRGĂULUI",84,"BISTRIŢA BÂRGĂULUI",32633,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:12:20",1374,1362,0,5,7,793,781,0,5,7,721,42,1515,722,73,468,113,11,9,16,4,18,2,3,4
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BLĂJENII DE JOS",275,ŞINTEREAG,34903,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:14",311,285,0,7,19,202,176,0,7,19,188,14,335,133,14,106,43,6,4,1,0,5,2,4,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BRĂTENI",239,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:05:18",79,59,0,18,2,65,45,0,18,2,52,13,90,25,7,23,14,0,0,0,0,4,0,1,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BRETEA",264,ŞIEU-ODORHEI,34770,6,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:29:34",142,110,0,15,17,113,81,0,15,17,104,9,140,27,6,86,9,0,0,1,0,1,1,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUDURLENI",284,TEACA,34985,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:51:57",80,71,0,9,0,57,48,0,9,0,48,9,80,23,2,33,7,2,1,1,0,1,0,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUZA-CĂTUN",116,CHIOCHIŞ,33015,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:32:08",98,96,0,2,0,53,51,0,2,0,50,3,105,52,2,18,23,2,2,2,1,0,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CHIRALEŞ",155,LECHINŢA,33435,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:51:28",425,413,0,7,5,202,190,0,7,5,184,18,460,258,11,80,56,1,2,0,12,4,2,15,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-MIHĂIEŞTI",121,"CICEU - MIHĂIEŞTI",179953,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:45:07",768,755,1,4,8,380,368,0,4,8,350,30,830,450,51,141,89,6,9,8,2,40,1,3,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-POIENI",103,"CĂIANU MIC",32811,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:03:55",552,527,0,3,22,303,278,0,3,22,299,4,610,307,6,274,11,2,4,0,0,1,0,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CIREŞOAIA",89,BRANIŞTEA,32660,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:55",1173,1109,1,9,54,877,814,0,9,54,777,100,1275,398,21,574,103,2,23,11,3,18,12,6,4
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COASTA",265,ŞIEU-ODORHEI,34770,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:07:35",168,163,0,4,1,93,88,0,4,1,86,7,175,82,22,27,19,2,2,0,1,5,7,1,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COMLOD",192,MILAŞ,33881,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:42:15",121,111,0,10,0,79,69,0,10,0,70,9,125,46,2,30,32,2,0,0,0,1,1,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CRAINIMĂT",258,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:22:29",851,848,0,3,0,386,383,0,3,0,356,30,935,549,8,86,198,6,3,3,5,20,7,16,4
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL DUMBRĂVENI",125,CICEU-GIURGEŞTI,32955,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:41",557,501,0,18,38,386,330,0,18,38,348,38,555,169,72,182,54,17,5,3,1,5,0,3,6
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FELEAC",208,NUŞENI,34075,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:01:26",270,258,0,4,8,173,162,0,4,7,162,11,293,120,7,43,97,3,2,0,0,7,3,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FÎNAŢE",308,URMENIŞ,35312,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:06:38",161,151,0,9,1,112,102,0,9,1,100,12,170,58,13,21,54,1,1,0,0,4,0,5,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL GALAŢII BISTRIŢEI",138,"GALAŢII BISTRIŢEI",33275,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:19",565,561,0,2,2,325,321,0,2,2,300,25,615,290,28,177,67,1,2,9,0,12,0,2,2
