precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECHITA OVIDIU-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","PARTIDUL VERDE-voturi","ALIANȚA USR PLUS BRĂILA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi"
9,BRĂILA,"CĂMIN CULTURAL",196,GROPENI,43313,3,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 14:19:59",1437,1417,0,8,12,913,893,0,8,12,787,126,1608,695,2,4,0,1,7,6,0,3,380,6,9,338,22,9
9,BRĂILA,"CĂMIN CULTURAL CONSTANTIN GABRIELESCU",167,"BORDEI VERDE",42913,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 10:10:35",530,513,0,10,7,299,282,0,10,7,273,26,566,267,0,4,0,1,1,3,1,2,169,3,3,17,65,4
9,BRĂILA,"CAMIN CULTURAL DIN FOSTUL SAT TIBANESTI",260,TUFEŞTI,44300,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:32",1083,1081,0,2,0,578,576,0,2,0,529,49,1204,626,2,0,0,3,4,4,20,6,249,6,1,191,40,3
9,BRĂILA,"CAMIN CULTURAL GRADISTEA",193,GRĂDIŞTEA,43279,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 10:18:30",1021,974,0,21,26,664,617,0,21,26,591,73,1101,437,2,7,0,1,3,7,2,2,49,12,11,468,23,4
9,BRĂILA,"CAMIN CULTURAL LATINU",208,MĂXINENI,43563,8,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 14:40:33",596,581,2,8,5,357,344,0,8,5,305,52,600,243,3,5,1,1,5,1,0,75,81,27,0,45,58,3
9,BRĂILA,"CAMIN CULTURAL M.MIRESII",213,"MOVILA MIRESII",43652,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:35:11",1166,1162,0,3,1,649,645,0,3,1,586,63,1300,651,0,5,0,3,8,2,1,11,429,1,1,54,62,9
9,BRĂILA,"CĂMIN CULTURAL SAT IBRIANU",194,GRĂDIŞTEA,43279,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 10:22:53",514,492,0,12,10,372,350,0,12,10,333,39,550,178,4,0,1,0,1,0,0,2,35,0,4,282,4,0
9,BRĂILA,"CĂMIN CULTURAL SAT MARALOIU",195,GRĂDIŞTEA,43279,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:16:36",239,217,0,18,4,184,162,0,18,4,166,18,247,63,0,0,0,0,0,0,0,0,19,1,2,139,5,0
9,BRĂILA,"CAMIN CULTURAL ZAVOAIA",280,ZĂVOAIA,44532,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:53:20",965,956,0,0,9,571,562,0,0,9,500,71,1060,489,1,4,0,1,3,3,0,1,174,6,5,285,15,2
9,BRĂILA,"CĂMINUL CULTURAL ARICIU",229,"SALCIA TUDOR",43867,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 10:06:08",135,128,0,7,0,89,82,0,7,0,77,12,146,57,0,0,0,0,3,0,0,17,14,0,3,32,5,3
