precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","""ALIANȚA ÎMPREUNĂ PENTRU BOTOȘANI PARTIDUL VERDE-P.N.Ț.C.D.""-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","BĂLĂUCĂ MARIA-CRISTINA-voturi"
7,BOTOŞANI,"BAZA SPORTIVĂ",400,VĂCULEŞTI,39612,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:33:31",788,750,0,8,30,493,455,0,8,30,447,45,841,348,31,75,204,7,110,3,5,1,7,2,2
7,BOTOŞANI,"BIBLIOTECA MUNICIPALĂ DOROHOI",88,"MUNICIPIUL DOROHOI",36006,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:42:51",1663,1651,1,11,0,683,672,0,11,0,650,33,1818,1135,19,70,358,8,125,9,5,1,26,18,11
7,BOTOŞANI,"CAMIN CULTURAL",287,LOZNA,39942,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:30:33",828,800,0,6,22,461,433,0,6,22,417,44,905,444,25,53,230,14,57,9,7,0,18,3,1
7,BOTOŞANI,"CAMIN CULTURAL",288,LOZNA,39942,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:09:15",725,705,0,10,10,378,358,0,10,10,342,36,796,418,8,57,196,9,41,13,3,0,12,2,1
7,BOTOŞANI,"CAMIN CULTURAL",361,STĂUCENI,35884,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:08:28",1115,1104,0,6,5,575,564,0,6,5,543,32,1223,648,17,28,234,32,206,2,8,1,11,3,1
7,BOTOŞANI,"CAMIN CULTURAL",228,DIMĂCHENI,39959,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:06:07",202,192,1,8,1,137,127,1,8,1,124,13,208,71,29,1,30,2,11,1,1,0,46,1,2
7,BOTOŞANI,"CĂMIN CULTURAL",274,HUDEŞTI,37770,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:47:04",928,897,0,10,21,514,483,0,10,21,470,44,1008,494,5,18,183,3,230,5,1,0,11,9,5
7,BOTOŞANI,"CĂMIN CULTURAL",275,HUDEŞTI,37770,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:02:27",880,856,0,9,15,515,491,0,9,15,478,37,955,440,2,16,283,3,157,2,4,0,8,0,3
7,BOTOŞANI,"CĂMIN CULTURAL",387,TUDORA,39391,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:50:25",1397,1348,1,18,30,742,694,0,18,30,676,66,1519,777,11,56,217,36,329,11,1,0,3,6,6
7,BOTOŞANI,"CĂMIN CULTURAL",203,COŢUŞCA,36809,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:33:15",337,318,0,19,0,184,165,0,19,0,162,22,346,162,7,11,54,3,82,1,0,0,0,3,1
7,BOTOŞANI,"CAMIN CULTURAL ALBESTI",145,ALBEŞTI,36131,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:07:57",940,923,0,11,6,515,498,0,11,6,476,39,1016,501,25,22,79,8,224,7,2,1,102,3,3
7,BOTOŞANI,"CĂMIN CULTURAL BRĂEŞTI",166,BRĂEŞTI,36373,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 20:56:13",1132,1106,0,5,21,725,699,0,5,21,657,67,1233,508,205,43,133,40,182,8,8,0,7,25,6
7,BOTOŞANI,"CAMIN CULTURAL CALARASI",171,CĂLĂRAŞI,36499,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:32:32",931,917,1,5,8,546,533,0,5,8,495,51,1031,485,64,37,86,2,276,7,12,0,6,5,0
7,BOTOŞANI,"CAMIN CULTURAL HANESTI",264,HĂNEŞTI,37618,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:23:42",1009,993,0,0,16,526,510,0,0,16,488,38,1108,582,16,51,86,1,314,2,4,0,10,2,2
7,BOTOŞANI,"CĂMIN CULTURAL IVANCĂUȚI",326,PĂLTINIŞ,38492,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:16:27",544,519,0,18,7,291,266,0,18,7,259,26,586,295,15,19,80,0,135,2,3,0,1,3,1
7,BOTOŞANI,CAMINCULTURALNICŞENI,321,NICŞENI,38456,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 20:54:23",744,729,0,4,11,415,400,0,4,11,379,36,815,400,60,26,135,10,114,7,4,3,6,12,2
7,BOTOŞANI,"CAMIN CULTURAL PALTINIS",324,PĂLTINIŞ,38492,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:58:34",1352,1293,0,46,13,501,442,0,46,13,464,37,1398,897,20,31,116,1,285,2,3,0,3,1,2
7,BOTOŞANI,"CĂMIN CULTURAL RĂCHIŢI",336,RĂCHIŢI,35839,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:05:50",1054,1046,2,6,0,588,581,1,6,0,556,32,1141,553,113,59,147,12,174,6,3,5,21,8,8
7,BOTOŞANI,"CAMIN CULTURAL RADAUTI-PRUT",340,RĂDĂUŢI-PRUT,38633,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:26:27",763,744,0,5,14,343,324,0,5,14,326,17,836,493,10,116,72,9,107,5,0,2,5,0,0
