precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL VERDE-voturi"
8,BRAŞOV,"AGENȚIA POȘTALĂ",250,"ORAŞ PREDEAL",40303,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 17:10:05",312,300,0,12,0,184,172,0,12,0,177,7,311,127,10,22,4,42,3,3,10,0,6,1,74,2
8,BRAŞOV,"AGENŢIA POŞTALĂ DÂMBUL MORII",252,"ORAŞ PREDEAL",40303,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:28:31",181,171,1,8,1,108,99,0,8,1,106,2,200,92,6,22,7,36,1,1,1,0,14,1,16,1
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",377,MÂNDRA,41417,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:34:57",213,194,1,18,0,145,127,0,18,0,130,15,200,55,4,31,2,69,1,8,2,1,4,1,5,2
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",374,MÂNDRA,41417,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:08:23",699,672,0,25,2,378,351,0,25,2,333,45,700,322,7,98,0,136,3,53,8,3,6,3,13,3
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",375,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:47",450,438,0,12,0,269,257,0,12,0,244,25,500,231,11,79,1,71,6,11,4,1,11,3,44,2
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",376,MÂNDRA,41417,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:26:45",249,226,0,16,7,141,125,0,9,7,134,7,300,159,1,72,1,36,4,7,1,1,3,1,6,1
8,BRAŞOV,"CAMIN CULTURAL",424,TĂRLUNGENI,42003,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 15:00:07",2008,1998,1,7,2,932,922,1,7,2,844,88,2100,1168,28,83,178,332,11,29,7,3,152,9,6,6
8,BRAŞOV,"CAMIN CULTURAL",396,RACOŞ,41701,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:23:21",402,392,0,10,0,206,196,0,10,0,175,31,500,294,15,59,18,41,3,7,2,5,7,6,8,4
8,BRAŞOV,"CAMIN CULTURAL",344,HĂLCHIU,41033,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:10",1021,1010,0,11,0,437,426,0,11,0,391,46,1100,663,13,105,126,86,23,4,11,2,16,2,2,1
8,BRAŞOV,"CĂMIN CULTURAL ACRIȘ",443,"VAMA BUZĂULUI",42183,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 14:07:16",1005,995,0,10,0,584,574,0,10,0,517,67,1100,516,19,335,2,96,0,7,26,2,15,1,12,2
8,BRAŞOV,"CAMIN CULTURAL BOHOLT",295,BECLEAN,40544,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:04:14",186,156,0,26,4,141,111,0,26,4,126,15,200,59,4,51,0,56,0,3,1,0,8,0,3,0
8,BRAŞOV,"CAMIN CULTURAL HOMOROD",361,HOMOROD,41248,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 10:31:40",1229,1211,0,10,8,628,610,0,10,8,536,92,1300,672,31,266,24,114,14,6,22,2,4,49,3,1
8,BRAŞOV,"CAMIN CULTURAL JIMBOR",363,HOMOROD,41248,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:02",386,379,0,7,0,252,245,0,7,0,207,45,400,148,2,34,131,33,1,1,1,0,0,3,1,0
8,BRAŞOV,"CAMIN CULTURAL LUTA",297,BECLEAN,40544,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:36:27",76,59,0,17,0,62,45,0,17,0,60,2,100,38,3,16,0,29,2,0,2,0,4,0,3,1
8,BRAŞOV,"CAMIN CULTURAL MERCHEASA",362,HOMOROD,41248,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 08:34:05",437,410,0,27,0,330,303,0,27,0,286,44,500,170,26,48,4,188,5,0,5,0,2,8,0,0
8,BRAŞOV,"CĂMIN CULTURAL ŞERCAIA",407,ŞERCAIA,41818,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 09:04:30",1467,1423,4,21,19,718,678,1,21,18,608,110,1590,872,9,107,11,328,8,14,19,3,101,3,3,2
8,BRAŞOV,"CĂMIN CULTURAL VAD",408,ŞERCAIA,41818,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:12:37",454,441,0,8,5,220,207,0,8,5,206,14,500,280,5,49,4,94,1,3,15,4,24,2,1,4
8,BRAŞOV,"CĂMIN CULTURAL VAMA BUZĂULUI",442,"VAMA BUZĂULUI",42183,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 14:12:45",1371,1362,1,7,1,779,770,1,7,1,698,81,1500,721,18,390,1,209,5,12,13,2,21,7,17,3
8,BRAŞOV,"CĂMINUL CULTURAL",299,BOD,40606,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 18:51:35",1229,1201,8,20,0,580,559,1,20,0,548,32,1300,720,54,58,5,198,7,12,52,6,131,7,10,8
8,BRAŞOV,"CĂMINUL CULTURAL",329,CRIZBAV,42456,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:43:21",1421,1383,1,25,12,819,782,0,25,12,750,69,1500,681,20,292,284,104,14,6,7,3,15,4,0,1
8,BRAŞOV,"CĂMINUL CULTURAL",342,HĂLCHIU,41033,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:37:06",1525,1515,3,3,4,752,745,0,3,4,710,42,1700,948,88,141,23,207,137,10,9,6,79,1,3,6
8,BRAŞOV,"CĂMINUL CULTURAL",345,HĂRMAN,41088,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:54:10",661,657,0,4,0,369,365,0,4,0,343,26,431,31,35,34,5,150,4,28,16,3,49,0,8,11
8,BRAŞOV,"CĂMINUL CULTURAL",411,ŞINCA,41854,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:03:34",229,222,0,7,0,141,134,0,7,0,133,8,300,159,2,19,2,60,1,24,2,1,4,13,5,0
8,BRAŞOV,"CĂMINUL CULTURAL",412,ŞINCA,41854,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:58:06",292,271,3,17,1,162,142,2,17,1,151,11,300,138,3,24,0,68,2,20,2,4,8,11,8,1
8,BRAŞOV,"CĂMINUL CULTURAL",413,ŞINCA,41854,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:35",916,905,0,9,2,475,464,0,9,2,381,94,1000,525,18,56,4,210,11,14,5,6,13,23,20,1
8,BRAŞOV,"CĂMINUL CULTURAL",414,ŞINCA,41854,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 13:31:14",579,566,0,12,1,376,363,0,12,1,343,33,600,224,24,56,6,78,5,32,12,0,7,115,6,2
8,BRAŞOV,"CĂMINUL CULTURAL",416,"ŞINCA NOUĂ",42449,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 13:49:05",993,901,10,40,42,731,642,7,40,42,671,60,1000,269,26,84,5,415,11,21,20,3,51,2,30,3
