precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PSD-PRO BUZĂU-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA UNIUNEA SALVAȚI ROMÂNIA PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (ALIANȚA USR PLUS)-voturi"
10,BUZĂU,"CĂMIN CULTURAL",126,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:18",702,689,0,13,0,411,398,0,13,0,347,64,767,356,219,37,18,44,29
10,BUZĂU,"CĂMIN CULTURAL",123,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:13:08",374,369,0,5,0,205,200,0,5,0,177,28,408,203,106,20,7,27,17
10,BUZĂU,"CĂMIN CULTURAL",125,"ORAŞ PĂTÂRLAGELE",48325,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:30:45",532,527,0,4,1,318,313,0,4,1,266,47,580,267,191,27,3,20,25
10,BUZĂU,"CĂMIN CULTURAL",121,"ORAŞ PĂTÂRLAGELE",48325,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:50:35",1220,1217,0,3,0,685,682,0,3,0,579,106,1339,654,375,75,15,50,64
10,BUZĂU,"CÃMIN CULTURAL",387,ŢINTEŞTI,49849,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:45:35",1822,1815,1,6,0,1108,1102,0,6,0,938,170,2015,907,558,77,8,252,43
10,BUZĂU,"CĂMIN CULTURAL BĂDÂRLEGI",105,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:02:43",104,96,0,8,0,79,71,0,8,0,68,11,100,21,36,6,3,18,5
10,BUZĂU,"CĂMIN CULTURAL BÎSCA ROZILEI",111,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:42:38",593,574,0,12,7,380,361,0,12,7,349,31,700,320,203,47,5,75,19
10,BUZĂU,"CAMIN CULTURAL CALVINI",183,CALVINI,45753,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:44:10",836,770,0,51,15,591,525,0,51,15,487,104,878,287,176,26,24,208,53
10,BUZĂU,"CĂMIN CULTURAL CURMĂTURA",117,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:43:53",137,116,0,8,13,117,96,0,8,13,103,14,130,13,55,15,4,26,3
10,BUZĂU,"CĂMIN CULTURAL JOSENI",151,BERCA,45101,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:31:18",751,743,0,7,1,378,370,0,7,1,334,44,800,422,244,22,7,37,24
