precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL FORTA NATIONALA-voturi","PARTIDUL VERDE-voturi","FANCSALI ERNŐ-voturi"
13,CLUJ,"ALUNISU NR.74 CAMINUL CULTURAL",610,SÂNCRAIU,59434,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:32:30",100,88,2,4,6,67,57,0,4,6,63,4,106,39,6,0,43,11,0,0,0,1,0,0,0,0,0,1,1
13,CLUJ,"ASEZAMANTUL SOCIAL BISERICESC",515,JUCU,58259,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:54:48",557,541,0,14,2,355,339,0,14,2,341,14,593,238,99,14,6,151,15,1,50,0,2,0,2,1,0,0,0
13,CLUJ,"ASOCIAŢIA ”CARITATEA”",60,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:11:56",2120,1967,132,21,0,868,847,0,21,0,859,9,2219,1351,25,29,40,390,6,8,322,0,17,4,2,5,0,10,1
13,CLUJ,"BIROUL PRIMĂRIEI CARA",419,COJOCNA,57350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:14:31",720,686,1,32,1,407,374,0,32,1,361,46,760,353,75,16,16,85,67,7,74,2,2,2,4,5,2,4,0
13,CLUJ,"CAMIN CULT. SAMBOIENI",615,SÂNMĂRTIN,59498,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:16:38",124,120,0,4,0,80,76,0,4,0,71,9,132,52,2,0,2,65,0,1,1,0,0,0,0,0,0,0,0
13,CLUJ,"CAMIN CULTURAL",289,"ORAŞ HUEDIN",55446,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:58",267,256,0,11,0,105,94,0,11,0,101,4,284,179,6,4,60,18,1,0,10,0,0,0,0,1,0,0,1
13,CLUJ,"CAMIN CULTURAL",538,"MIHAI VITEAZU",55277,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:21",641,632,2,7,0,320,313,0,7,0,298,22,692,372,25,126,87,27,13,4,7,0,5,0,0,4,0,0,0
13,CLUJ,"CAMIN CULTURAL",550,MOCIU,58623,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:22",285,260,1,21,3,208,184,0,21,3,173,35,295,87,11,4,0,130,18,5,3,1,1,0,0,0,0,0,0
13,CLUJ,"CAMIN CULTURAL",568,PANTICEU,58856,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:51:11",72,46,0,21,5,62,36,0,21,5,55,7,87,25,3,0,0,26,1,1,21,0,0,1,1,0,0,1,0
13,CLUJ,"CAMIN CULTURAL",632,"TRITENII DE JOS",59693,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:40:28",974,966,1,5,2,540,533,0,5,2,488,52,1062,521,93,65,6,115,24,11,32,3,3,3,0,1,0,132,0
