precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","""ALIANȚA PNL-USR CĂLĂRAȘI""-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
12,CĂLĂRAŞI,"CAMIN CULTURAL",162,LEHLIU,93851,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:57",1471,1384,0,37,50,1000,913,0,37,50,941,59,1411,411,21,325,554,4,7,19,3,1,7
12,CĂLĂRAŞI,"CĂMIN CULTURAL ȘTEFĂNEȘTI",154,ILEANA,103764,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:40:27",638,613,0,25,0,343,318,0,25,0,320,23,677,334,22,237,48,2,4,3,1,0,3
12,CĂLĂRAŞI,"CAMINUL CULTURAL",91,CĂSCIOARELE,101724,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:25:16",1458,1413,3,4,38,1041,997,2,4,38,950,91,1604,563,26,477,417,4,8,3,6,4,5
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",53,"MUNICIPIUL OLTENIŢA",100610,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:35:54",1219,1209,0,9,1,544,534,0,9,1,517,27,1350,806,45,209,179,17,33,11,9,0,14
12,CĂLĂRAŞI,"CASA DE CULTURA",77,"ORAŞ LEHLIU-GARĂ",93888,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:32:35",1628,1590,1,35,2,949,912,0,35,2,889,60,1750,801,22,269,483,8,68,11,9,13,6
12,CĂLĂRAŞI,"COLEGIUL AGRICOL ”SANDU ALDEA” CALARASI",10,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:27:58",1205,1190,0,15,0,465,450,0,15,0,436,29,1314,849,39,190,132,6,28,16,3,12,10
12,CĂLĂRAŞI,"COLEGIUL AGRICOL ”SANDU ALDEA” CALARASI",12,"MUNICIPIUL CĂLĂRAŞI",92569,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:04:45",1036,1024,1,10,1,317,306,0,10,1,307,10,1131,814,29,141,90,0,25,8,4,6,4
12,CĂLĂRAŞI,"COLEGIUL AGRICOL ”SANDU ALDEA” CALARASI",11,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:38",1038,1023,6,9,0,447,438,0,9,0,435,12,1123,676,41,174,159,3,28,11,4,9,6
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIU",51,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:03:04",1460,1442,3,14,1,660,645,0,14,1,639,21,1586,926,42,274,214,6,36,14,10,34,9
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIUL B",43,"MUNICIPIUL CĂLĂRAŞI",92569,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:21:13",1117,1099,2,15,1,456,440,0,15,1,442,14,1209,753,25,244,112,4,27,9,7,8,6
