precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA USR PLUS-voturi","PRO CARAȘ-SEVERIN-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
11,CARAŞ-SEVERIN,"AZILUL DE BĂTRÂNI-CENTRU DE ZI",251,FOROTIC,52856,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:43:00",576,562,0,8,6,355,341,0,8,6,326,29,615,260,89,134,4,49,9,37,4
11,CARAŞ-SEVERIN,"BIBLIOTECA VALERIU LEU",257,GORUIA,52954,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:50:53",185,150,0,31,4,181,146,0,31,4,159,22,235,54,41,69,1,32,1,6,9
11,CARAŞ-SEVERIN,"CADIREA PRIMARIEI(FOSTUL SEDIU AL PRIMARIEI DIN SOCOLARI)",202,"CICLOVA ROMÂNĂ",51948,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:05:30",132,110,0,19,3,85,63,0,19,3,77,8,123,38,8,49,6,5,0,1,8
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",130,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:38:20",1278,1257,0,7,14,661,640,0,7,14,607,54,1406,745,41,274,33,171,47,33,8
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",143,"ORAŞ ORAVIŢA",51118,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:50",450,435,0,14,1,240,225,0,14,1,206,34,477,237,30,72,14,65,7,10,8
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",131,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:59",172,156,0,9,7,125,109,0,9,7,116,9,189,64,2,60,1,25,5,22,1
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL BORLOVENII VECHI",300,PRIGOR,53577,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:16",389,358,0,24,7,271,240,0,24,7,229,36,401,133,60,50,6,92,4,11,6
11,CARAŞ-SEVERIN,"CAMIN CULTURAL SICHEVITA",320,SICHEVIŢA,53853,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:43:35",1362,1224,2,76,60,1003,865,2,76,60,876,127,1360,357,133,484,12,146,11,74,16
11,CARAŞ-SEVERIN,"CAMININUL CULTURAL-STANCILOVA DE JOS",333,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:36",94,81,0,9,4,71,58,0,9,4,62,9,91,20,9,22,3,21,2,0,5
11,CARAŞ-SEVERIN,"CAMINNUL CULTURAL STANCILOVA DE SUS",334,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:59:27",114,99,0,11,4,114,99,0,11,4,103,11,131,17,17,44,4,26,2,1,9
