precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL NEAMUL ROMÂNESC-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL LIGA ORGANIZATA A REGIUNILOR DREPTE-voturi",PSD-ALDE-PNȚCD-ADER-voturi
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",134,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:13:12",1695,1680,4,10,1,606,595,0,10,1,586,20,1900,1294,26,44,193,2,4,12,146,17,30,14,5,93
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",135,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:33",1450,1434,3,13,0,474,461,0,13,0,453,21,1600,1126,12,21,139,0,2,9,131,15,28,4,4,88
14,CONSTANŢA,"ANEXA - COLEGIUL ”KEMAL ATATURK”",260,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:50",765,754,0,11,0,334,323,0,11,0,325,9,800,466,26,20,174,0,2,4,26,5,10,7,1,50
14,CONSTANŢA,"ANEXA - COLEGIUL ”KEMAL ATATURK”",259,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:07",916,904,1,10,1,348,337,0,10,1,318,30,1000,652,23,14,171,0,2,12,19,2,10,10,0,55
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",199,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:16:38",653,617,0,14,22,253,217,0,14,22,249,4,700,447,7,13,84,0,4,1,62,10,11,4,1,52
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",200,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:24:50",627,595,7,11,14,256,232,0,11,13,247,9,700,444,6,18,89,3,3,5,67,4,11,0,1,40
14,CONSTANŢA,"ANEXA LICEULUI TEHNOLOGIC ”NICOLAE DUMITRESCU”",427,CUMPĂNA,61620,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:06:30",1823,1806,2,11,4,894,879,0,11,4,844,50,2000,1106,38,52,227,9,8,23,133,12,40,12,9,281
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",36,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:19:19",1279,1267,0,12,0,462,450,0,12,0,440,22,1400,938,24,20,119,2,4,7,98,9,35,13,7,102
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",37,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:07",1728,1719,0,9,0,550,541,0,9,0,528,22,1900,1350,26,29,141,6,3,10,103,13,44,12,8,133
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",32,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:23:41",931,924,1,6,0,389,383,0,6,0,378,11,1000,611,12,15,101,9,3,8,108,12,20,3,9,78
