precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
15,COVASNA,"BIROUL IFOTURISM",183,SÂNZIENI,64826,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:46:09",1216,1212,0,4,0,395,391,0,4,0,365,30,1290,895,10,4,0,0,333,1,0,16,1
15,COVASNA,"CĂMIN CULTURAL",50,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:37",418,410,0,8,0,148,140,0,8,0,135,13,500,352,5,5,1,3,91,4,3,22,1
15,COVASNA,"CĂMIN CULTURAL",49,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:30",753,742,0,11,0,187,176,0,11,0,181,6,800,613,0,2,1,2,138,11,4,15,8
15,COVASNA,"CĂMIN CULTURAL FLOROAIA",89,"ORAŞ ÎNTORSURA BUZĂULUI",63580,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:57",1211,1193,0,17,1,617,599,0,17,1,551,66,1400,783,6,128,71,98,6,140,44,0,58
15,COVASNA,"CĂMIN CULTURAL RACOŞUL DE SUS",69,"ORAŞ BARAOLT",63447,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:35:16",749,738,0,7,4,334,323,0,7,4,300,34,800,466,11,6,5,1,231,3,4,37,2
15,COVASNA,"CĂMIN CULTURAL ZĂLAN",105,BODOC,63893,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:35:21",541,530,2,5,4,235,226,0,5,4,223,12,600,365,9,2,1,2,202,1,0,6,0
15,COVASNA,"CĂMINUL CULTURAL BARCANI",94,BARCANI,63633,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:03",1012,1007,0,5,0,555,550,0,5,0,460,95,1100,545,22,58,13,53,10,126,148,1,29
15,COVASNA,"CĂMINUL CULTURAL BARCANI",93,BARCANI,63633,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:27:45",978,971,0,4,3,610,603,0,4,3,544,66,1090,480,10,62,18,44,7,133,227,0,43
15,COVASNA,"CĂMINUL CULTURAL BAŢANII MICI",98,BĂŢANI,63802,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:38:02",455,442,0,2,11,211,198,0,2,11,189,22,500,289,5,2,1,5,148,0,1,26,1
15,COVASNA,"CĂMINUL CULTURAL BIBORŢENI",66,"ORAŞ BARAOLT",63447,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:52",592,581,2,9,0,326,317,0,9,0,290,36,600,274,4,5,2,1,183,3,3,88,1
