precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-voturi"
16,DÂMBOVIŢA,"AFTER SCHOOL BĂRBULEŢU",141,BĂRBULEŢU,66223,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:57:29",1327,1320,0,3,4,779,772,0,3,4,700,79,1455,676,162,7,437,19,55,5,1,10,3,1
16,DÂMBOVIŢA,"BIBLIOTECA COMUNALĂ",358,RĂZVAD,65431,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:01:57",1440,1433,1,4,2,780,774,0,4,2,743,37,1586,806,133,14,479,31,46,15,2,2,19,2
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - CORP B (SALA CĂSĂTORII)",31,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:55:40",1075,1064,3,8,0,423,415,0,8,0,413,10,1170,747,168,8,113,27,17,16,6,5,51,2
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE, BLOC E4",29,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:46",837,824,4,9,0,341,332,0,9,0,335,6,920,579,127,7,115,15,17,10,3,5,35,1
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE (PUNCT TERMIC)",30,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:12",849,841,1,7,0,326,319,0,7,0,321,5,930,604,114,4,125,24,17,8,2,1,23,3
16,DÂMBOVIŢA,"CĂMIN CULTURAL",348,PRODULEŞTI,68529,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:28:41",1492,1472,1,8,11,873,854,0,8,11,776,78,1625,771,189,34,458,6,74,4,2,2,5,2
16,DÂMBOVIŢA,"CĂMIN CULTURAL",221,CREVEDIA,102286,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:00:16",698,643,0,49,6,461,406,0,49,6,421,40,700,239,175,4,172,4,19,2,9,5,30,1
16,DÂMBOVIŢA,"CĂMIN CULTURAL",329,PETREŞTI,65752,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:27",587,580,0,7,0,368,361,0,7,0,348,20,640,272,176,9,64,5,28,58,3,3,2,0
16,DÂMBOVIŢA,"CĂMIN CULTURAL",422,VLĂDENI,179711,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:04:34",1017,1005,2,10,0,570,560,0,10,0,530,36,1100,534,172,10,203,29,42,8,3,2,61,0
16,DÂMBOVIŢA,"CĂMIN CULTURAL",415,VIŞINA,69330,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:42:10",1353,1345,0,3,5,900,892,0,3,5,829,71,1475,575,315,13,441,6,38,7,2,5,2,0
