precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANTA ELECTORALA PSD+ALDE DOLJ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
17,DOLJ,"AGROZIND S.A.",187,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:15",792,783,0,9,0,285,276,0,9,0,268,17,900,615,10,25,80,115,2,3,1,27,3,1,1
17,DOLJ,"BIBLIOTECA ORASENEASCA BECHET",202,"ORAŞ BECHET",70879,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:14:34",1284,1248,2,28,6,542,508,0,28,6,472,70,1400,858,14,16,133,277,16,2,2,3,5,3,1
17,DOLJ,"BIBLIOTECA ORĂŞENEASCĂ MIRCEA RĂDINA",223,"ORAŞ ŞEGARCEA",70502,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:53:23",1582,1572,1,6,3,992,983,0,6,3,906,86,1800,808,174,17,348,330,20,0,3,0,6,7,1
17,DOLJ,"CAMIN CULTURAL",314,COŞOVENI,71885,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:23:15",951,882,0,53,16,579,510,0,53,16,509,70,1000,421,42,47,176,181,16,26,1,7,9,2,2
17,DOLJ,"CAMIN CULTURAL",359,GHINDENI,74915,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:23:41",1682,1498,1,138,45,1216,1032,1,138,45,1149,67,1700,484,43,62,479,521,1,0,1,16,3,22,1
17,DOLJ,"CĂMIN CULTURAL",464,ROBĂNEŞTI,73923,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:03",505,491,0,11,3,324,310,0,11,3,301,23,600,276,20,20,31,202,5,4,3,6,5,5,0
17,DOLJ,"CĂMIN CULTURAL",515,URZICUŢA,74554,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:45:42",410,373,0,37,0,300,263,0,37,0,269,28,500,203,15,1,133,69,48,1,0,1,0,0,1
17,DOLJ,"CAMIN CULTURAL ALBESTI",493,"ŞIMNICU DE SUS",70174,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:21:05",971,951,2,18,0,481,463,0,18,0,440,41,1000,519,55,16,87,172,6,5,3,75,11,9,1
17,DOLJ,"CAMIN CULTURAL DUDOVICESTI",494,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:12",827,800,1,20,6,384,358,0,20,6,367,17,900,516,55,8,95,150,10,3,1,33,9,2,1
17,DOLJ,"CAMIN CULTURAL FÂNTÂNELE",460,RADOVAN,73852,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:53:05",88,73,0,14,1,59,44,0,14,1,47,12,200,141,2,9,19,14,2,0,0,0,1,0,0
17,DOLJ,"CAMIN CULTURAL FLORESTI",495,"ŞIMNICU DE SUS",70174,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:02:25",697,679,1,17,0,372,355,0,17,0,351,21,800,428,87,8,77,117,7,8,0,30,13,4,0
17,DOLJ,"CAMIN CULTURAL GHIZDAVESTI",297,CELARU,71634,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:20:13",1227,1157,1,28,41,784,718,0,28,38,625,159,1400,616,43,42,205,335,0,0,0,0,0,0,0
17,DOLJ,"CAMIN CULTURAL GOIESTI SALA",373,GOIEŞTI,72677,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:18:39",1222,1158,2,40,22,785,722,1,40,22,714,71,1300,515,26,29,242,273,41,5,1,69,12,15,1
17,DOLJ,"CAMIN CULTURAL MAROTINU DE JOS",296,CELARU,71634,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:53",482,432,0,34,16,343,293,0,34,16,314,29,500,157,9,38,102,145,4,2,2,2,4,6,0
17,DOLJ,"CAMIN CULTURAL MAROTINU DE SUS",298,CELARU,71634,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:53",490,441,0,35,14,326,277,0,35,14,286,40,600,274,18,23,166,71,1,1,0,3,3,0,0
17,DOLJ,"CĂMIN CULTURAL SĂLCUȚA",281,CALOPĂR,71457,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:53:54",953,889,0,55,9,506,442,0,55,9,427,79,1000,494,16,1,217,183,3,1,0,1,3,1,1
17,DOLJ,"CAMIN CULTURAL TÂRNAVA",461,RADOVAN,73852,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:04:54",186,147,0,34,5,131,92,0,34,5,122,9,200,69,16,3,87,11,1,1,0,1,0,0,2
17,DOLJ,"CAMINUL CULTURAL",352,GALICIUICA,74891,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:39:21",1184,1120,3,15,46,875,814,1,15,45,747,128,1300,425,122,77,306,208,12,5,0,2,9,4,2
