precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL VERDE-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi"
20,GORJ,"CĂMIN CULTURAL",99,"ORAŞ TÂRGU CĂRBUNEŞTI",78329,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:25:10",561,538,2,15,6,383,361,1,15,6,352,31,600,217,20,8,13,37,243,5,3,4,9,8,2
20,GORJ,"CĂMIN CULTURAL",329,VLADIMIR,82831,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:04:14",904,809,0,71,24,641,546,0,71,24,606,35,900,259,16,22,13,150,276,9,103,1,4,6,6
20,GORJ,"CĂMIN CULTURAL",208,DRĂGUŢEŞTI,78016,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 16:45:13",850,824,0,23,3,586,560,0,23,3,555,31,900,314,25,16,37,101,318,11,12,7,16,12,0
20,GORJ,"CĂMIN CULTURAL BĂLCEŞTI",153,BENGEŞTI-CIOCADIA,78873,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:28:19",631,620,0,11,0,388,377,0,11,0,364,24,700,312,14,8,20,94,207,3,12,1,4,1,0
20,GORJ,"CĂMIN CULTURAL BĂLEŞTI",142,BĂLEŞTI,77910,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:46:33",1725,1713,0,10,2,1056,1044,0,10,2,1010,46,1900,844,69,11,42,197,530,17,42,62,19,19,2
20,GORJ,"CĂMIN CULTURAL BENGEŞTI",151,BENGEŞTI-CIOCADIA,78873,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:57:58",992,956,1,25,10,557,522,0,25,10,495,62,1100,543,28,3,38,159,235,5,19,1,3,2,2
20,GORJ,"CĂMIN CULTURAL BENGEŞTI",152,BENGEŞTI-CIOCADIA,78873,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:20:36",297,281,0,16,0,204,188,0,16,0,187,17,300,96,7,3,6,56,107,2,2,0,3,0,1
20,GORJ,"CĂMIN CULTURAL CĂLUGĂRENI",255,PADEŞ,81095,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:52:41",899,880,0,11,8,624,605,0,11,8,558,66,1000,376,30,23,26,124,295,5,42,4,5,3,1
20,GORJ,"CĂMIN CULTURAL CIOCADIA",154,BENGEŞTI-CIOCADIA,78873,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:07",780,762,1,17,0,411,394,0,17,0,379,32,800,389,5,8,19,89,230,8,12,1,3,1,3
20,GORJ,"CĂMIN CULTURAL FRUNZA",239,LOGREŞTI,80766,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:15",572,550,0,22,0,321,299,0,22,0,294,27,600,279,7,3,14,121,107,4,33,0,4,1,0
20,GORJ,"CĂMIN CULTURAL JUPÎNEŞTI",231,JUPÂNEŞTI,80613,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:56:28",548,544,1,3,0,334,331,0,3,0,312,22,600,266,25,10,85,41,109,17,15,1,2,4,3
20,GORJ,"CĂMIN CULTURAL TÎRGU LOGREȘTI",240,LOGREŞTI,80766,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:05",478,443,0,34,1,366,331,0,34,1,339,27,600,234,5,4,3,129,171,3,12,0,7,3,2
20,GORJ,"CĂMINUL CULTURAL ANINIŞ",194,CRASNA,79834,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:55:39",804,792,0,12,0,483,471,0,12,0,442,41,900,417,12,12,11,55,279,6,15,4,17,31,0
20,GORJ,"CĂMINUL CULTURAL BÎLTA",280,RUNCU,81576,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:32:32",1456,1405,0,24,27,999,948,0,24,27,973,26,1500,501,28,7,10,93,786,18,10,1,4,15,1
20,GORJ,"CĂMINUL CULTURAL BOBU",297,SCOARŢA,81861,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:17:35",1034,961,2,60,11,560,488,1,60,11,529,31,1000,440,24,48,7,148,270,3,15,1,9,3,1
20,GORJ,"CĂMINUL CULTURAL BUDIENI",293,SCOARŢA,81861,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:08",690,616,1,64,9,451,378,0,64,9,414,37,700,249,10,10,7,71,272,5,8,3,21,5,2
20,GORJ,"CĂMINUL CULTURAL BUMBEŞTI-PIŢIC",168,BUMBEŞTI-PIŢIC,79362,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:51",1082,1025,1,53,3,739,683,0,53,3,676,63,1200,461,32,25,15,233,324,12,13,3,8,11,0
20,GORJ,"CĂMINUL CULTURAL CĂRPINIŞ",191,CRASNA,79834,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:53:25",1617,1572,2,35,8,996,952,1,35,8,927,69,1700,704,27,29,34,194,493,14,42,7,58,28,1
20,GORJ,"CĂMINUL CULTURAL CÎLNIC",183,CÂLNIC,79736,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:52:29",693,635,0,36,22,553,495,0,36,22,509,44,700,147,51,12,7,261,111,14,34,0,13,4,2
20,GORJ,"CĂMINUL CULTURAL CIUPERCENI",187,CIUPERCENI,79656,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:57",467,409,1,49,8,351,294,0,49,8,331,20,500,149,20,7,29,97,120,5,31,2,6,13,1
20,GORJ,"CĂMINUL CULTURAL COVRIGI",328,VĂGIULEŞTI,82779,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:49:30",982,958,0,14,10,631,607,0,14,10,576,55,1100,469,60,16,0,159,318,2,7,0,9,1,4
20,GORJ,"CĂMINUL CULTURAL DOBRIŢA",282,RUNCU,81576,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:34:33",836,780,0,22,34,544,488,0,22,34,524,20,900,356,20,2,7,47,425,2,8,0,5,8,0
20,GORJ,"CĂMINUL CULTURAL DRĂGOTEȘTI",205,DRĂGOTEŞTI,80249,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:16:03",972,958,1,4,9,567,554,0,4,9,513,54,1100,533,63,14,24,186,150,29,14,7,16,7,3
20,GORJ,"CĂMINUL CULTURAL DUMBRĂVENI",193,CRASNA,79834,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:50:56",711,697,2,12,0,408,394,2,12,0,386,22,800,392,10,11,28,45,228,3,14,4,32,10,1
20,GORJ,"CĂMINUL CULTURAL FRĂTEȘTI",234,LELEŞTI,80677,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:57:04",299,291,1,4,3,219,211,1,4,3,207,12,300,81,12,5,2,15,158,1,7,0,3,4,0
20,GORJ,"CĂMINUL CULTURAL „IZVORUL”",275,"ROŞIA DE AMARADIA",81497,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:56:54",1123,1093,1,18,11,760,731,0,18,11,709,51,1200,440,34,32,6,319,199,4,19,0,91,3,2
20,GORJ,"CĂMINUL CULTURAL LUPOAIA",181,CĂTUNELE,79585,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:36:17",773,757,0,16,0,520,504,0,16,0,502,18,900,380,29,25,7,68,325,6,21,1,11,8,1
20,GORJ,"CĂMINUL CULTURAL MĂIAG",196,CRUŞEŢ,79932,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:32:03",637,624,0,12,1,384,371,0,12,1,346,38,700,316,5,50,9,60,198,7,13,1,0,1,2
20,GORJ,"CĂMINUL CULTURAL PÎRÎU VIU",156,BERLEŞTI,78926,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:27:31",1062,988,0,55,19,792,719,0,55,18,723,69,1100,308,43,22,6,408,222,5,1,0,13,1,2
20,GORJ,"CĂMINUL CULTURAL SLĂVUȚA",197,CRUŞEŢ,79932,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:02:30",512,495,1,16,0,307,290,1,16,0,274,33,600,293,37,11,1,108,103,1,5,1,1,6,0
20,GORJ,"CĂMINUL CULTURAL STOINA",307,STOINA,82314,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:43:49",1272,1169,1,102,0,818,715,1,102,0,762,56,1300,482,251,19,14,154,260,6,31,0,5,21,1
20,GORJ,"CĂMINUL CULTURAL VALEA MARE",279,RUNCU,81576,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:32:34",718,692,0,23,3,474,448,0,23,3,450,24,700,226,12,4,5,54,354,5,8,4,1,3,0
20,GORJ,"CASA DE CULTURĂ MOTRU",59,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:47:19",1637,1627,2,8,0,723,715,0,8,0,680,43,1900,1177,65,47,49,197,221,13,48,3,16,19,2
20,GORJ,"CASA MULTICULTURALĂ MOTRU",66,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:39:14",1577,1566,0,11,0,678,667,0,11,0,649,29,1800,1122,40,33,34,176,276,9,48,8,14,8,3
20,GORJ,"CENTRUL CULTURAL ”GH.ZAMFIR”",304,STEJARI,82243,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:12:08",863,839,0,21,3,584,560,0,21,3,539,45,900,316,33,16,57,91,302,13,14,2,7,4,0
20,GORJ,"CENTRUL DE ÎNGRIJIRE ŞI ASISTENŢĂ SUSENI",283,RUNCU,81576,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:36:21",258,228,0,17,13,151,121,0,17,13,146,5,300,149,10,1,0,17,109,4,0,1,3,1,0
