precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PACT PENTRU GALAȚI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA USR PLUS-voturi","VREME ŞERBAN-voturi","PETREA IONEL-voturi"
18,GALAŢI,"AȘEZĂMÂNTUL CULTURAL NEGREA",391,SCHELA,77153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:47",545,538,0,6,1,322,315,0,6,1,300,22,655,333,7,0,2,91,21,151,1,5,1,1,0,5,3,6,6
18,GALAŢI,"BIROU OBOR",184,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:42:03",1638,1629,0,9,0,654,645,0,9,0,591,63,1788,1134,36,10,36,166,17,217,6,5,2,15,1,5,21,42,12
18,GALAŢI,"CAMIN CULTURAL",349,MOVILENI,76745,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:05:58",1573,1565,1,2,5,647,640,0,2,5,574,73,1800,1153,32,57,9,230,33,153,4,3,2,8,4,1,29,8,1
18,GALAŢI,"CĂMIN CULTURAL",232,BĂNEASA,75686,2,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 11:37:23",1218,1151,0,12,55,731,671,0,12,48,666,65,1255,524,75,49,54,342,28,88,5,3,2,3,0,9,1,6,1
18,GALAŢI,"CĂMIN CULTURAL",260,CERŢEŞTI,75917,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:21:02",576,554,0,11,11,404,382,0,11,11,349,55,619,215,61,3,2,87,6,180,3,0,1,2,0,2,0,1,1
18,GALAŢI,"CĂMIN CULTURAL",259,CERŢEŞTI,75917,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:57:27",613,594,0,6,13,405,386,0,6,13,357,48,674,269,89,5,7,54,3,193,0,0,1,1,1,1,2,0,0
18,GALAŢI,"CĂMIN CULTURAL",258,CERŢEŞTI,75917,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:45:13",699,679,1,7,12,474,455,0,7,12,414,60,765,291,43,3,9,168,3,173,2,0,2,5,0,3,2,0,1
18,GALAŢI,"CĂMIN CULTURAL",236,BEREŞTI-MERIA,75356,3,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 11:32:58",218,211,0,7,0,121,114,0,7,0,105,16,240,119,6,0,0,51,7,22,1,1,0,0,0,2,11,3,1
18,GALAŢI,"CAMIN CULTURAL BURSUCANI",224,BĂLĂBĂNEŞTI,75542,2,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 11:25:58",495,490,0,5,0,272,267,0,5,0,246,26,500,228,3,4,0,95,12,121,0,2,0,1,0,4,1,2,1
18,GALAŢI,"CAMIN CULTURAL DIN SAT FURCENII VECHI",273,COSMEŞTI,76040,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:07",1296,1281,0,11,4,532,517,0,11,4,482,50,1368,836,29,6,10,223,43,150,2,0,2,2,0,0,11,4,0
18,GALAŢI,"CĂMIN CULTURAL ”G-RAL EREMIA GRIGORESCU”",270,COSMEŞTI,76040,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:52:32",1247,1226,1,8,12,515,495,0,8,12,481,34,1362,847,12,2,8,260,23,157,2,0,1,0,0,5,9,1,1
18,GALAŢI,"CĂMIN CULTURAL OANCEA",367,OANCEA,76932,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:29:22",1634,1505,0,71,58,772,643,0,71,58,675,97,1612,840,22,7,3,189,102,333,0,3,4,3,2,3,1,0,3
18,GALAŢI,"CĂMIN CULTURAL PISCU",374,PISCU,76996,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:04:53",1152,1142,1,7,2,528,519,0,7,2,487,41,1300,772,28,8,14,254,23,88,3,2,4,8,0,7,36,9,3
18,GALAŢI,"CAMINUL CULTURAL",387,SCÂNTEIEŞTI,77126,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:09:45",764,728,1,1,34,410,375,0,1,34,371,39,800,390,24,3,10,82,24,215,1,0,1,3,0,0,7,1,0
18,GALAŢI,"CAMINUL CULTURAL",388,SCÂNTEIEŞTI,77126,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:49:42",1259,1187,0,11,61,757,692,0,11,54,666,91,1373,616,31,2,47,354,66,146,3,6,1,0,2,2,1,0,5
18,GALAŢI,"CĂMINUL CULTURAL BĂLĂBĂNEŞTI",223,BĂLĂBĂNEŞTI,75542,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:53:45",611,597,1,13,0,361,348,0,13,0,329,32,708,347,23,8,2,186,18,66,2,6,3,2,0,8,3,2,0
18,GALAŢI,"CĂMINUL CULTURAL BĂLĂŞEŞTI",226,BĂLĂŞEŞTI,75613,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:05:09",918,891,0,5,22,527,500,0,5,22,456,71,1000,473,26,8,3,324,22,53,3,2,4,5,0,1,1,2,2
18,GALAŢI,"CAMINUL CULTURAL COSTACHE NEGRI",276,"COSTACHE NEGRI",76111,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:20:51",1083,998,0,62,23,647,562,0,62,23,609,38,1212,565,42,3,22,244,72,204,4,1,3,5,1,3,2,0,3
18,GALAŢI,"CAMINUL CULTURAL COSTACHE NEGRI",275,"COSTACHE NEGRI",76111,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:40:26",1217,1174,0,28,15,647,604,0,28,15,603,44,1213,566,45,9,27,221,80,198,4,1,3,2,0,4,7,1,1
