precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","ALIANȚA USR PLUS-voturi"
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",19,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:56:56",1839,1828,0,11,0,628,617,0,11,0,617,11,2202,1574,199,36,7,62,300,9,4
19,GIURGIU,"A.J.O.F.M. GIURGIU",18,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:05",1079,1064,2,13,0,402,389,0,13,0,399,3,1173,771,130,25,19,58,151,4,12
19,GIURGIU,"A.J.O.F.M. GIURGIU",17,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:35:20",1567,1551,2,14,0,563,549,0,14,0,555,8,1716,1153,225,29,23,76,158,13,31
19,GIURGIU,"CAMIN CULTURAL",110,DAIA,102446,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:51:52",600,542,0,46,12,422,364,0,46,12,397,25,600,178,277,6,9,5,97,2,1
19,GIURGIU,"CAMIN CULTURAL BUTURUGENI",87,BUTURUGENI,101617,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:22:24",638,580,0,47,11,507,449,0,47,11,488,19,650,143,194,8,5,9,266,3,3
19,GIURGIU,"CĂMIN CULTURAL VEDEA",244,VEDEA,105909,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:14",798,720,1,57,20,570,492,1,57,20,544,26,800,230,291,5,10,7,217,8,6
19,GIURGIU,"CĂMINUL CULTURAL BOLINTIN - DEAL",75,BOLINTIN-DEAL,101163,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:59:48",1408,1394,4,10,0,583,573,0,10,0,551,32,1600,1017,375,22,11,10,86,2,45
19,GIURGIU,"CĂMINUL CULTURAL BULBUCATA",85,BULBUCATA,101519,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:22:35",1349,1085,3,249,12,1162,901,0,249,12,1098,64,1184,22,649,28,257,1,141,10,12
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:02:31",1349,1277,0,13,59,878,806,0,13,59,857,21,1466,588,724,10,36,1,83,1,2
19,GIURGIU,"CĂMINUL CULTURAL FRĂTEŞTI",120,FRĂTEŞTI,102909,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:39:26",1443,1406,0,26,11,908,871,0,26,11,850,58,1548,640,77,242,28,20,435,22,26
19,GIURGIU,"CĂMINUL CULTURAL GOGOŞARI",139,GOGOŞARI,103309,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:07",446,413,0,13,20,446,413,0,13,20,430,16,652,206,324,12,5,9,77,3,0
19,GIURGIU,"CĂMINUL CULTURAL HULUBEŞTI",93,CĂLUGĂRENI,101662,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:28:23",1316,1302,0,14,0,915,901,0,14,0,835,80,1402,487,465,6,3,0,332,7,22
19,GIURGIU,"CĂMINUL CULTURAL IEPUREŞTI",158,IEPUREŞTI,103693,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:41:29",1061,805,1,240,15,887,632,0,240,15,824,63,929,42,495,20,103,0,192,5,9
19,GIURGIU,"CĂMINUL CULTURAL LETCA NOUĂ",171,"LETCA NOUĂ",104047,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:25",782,716,0,48,18,523,457,0,48,18,507,16,787,264,438,6,7,19,30,5,2
19,GIURGIU,"CĂMINUL CULTURAL LETCA VECHE",172,"LETCA NOUĂ",104047,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:36",787,730,1,37,19,462,405,1,37,19,429,33,803,341,351,12,3,25,35,0,3
19,GIURGIU,"CĂMINUL CULTURAL MALU",174,MALU,179739,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:39:31",944,905,1,23,15,660,622,0,23,15,616,44,978,318,304,22,84,12,186,3,5
19,GIURGIU,"CĂMINUL CULTURAL OINACU",184,OINACU,104519,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:13:23",1526,1434,2,21,69,1059,967,2,21,69,1004,55,1517,458,586,28,11,17,357,3,2
