precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIEI EUROPENE-voturi","ALIANȚA PNL-UDMR-PNȚCD-voturi","PARTIDUL FORTA NATIONALA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",45,"MUNICIPIUL DEVA",86687,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:50:45",774,761,4,9,0,359,350,0,9,0,328,31,900,541,44,42,52,4,18,10,14,12,17,14,11,90
22,HUNEDOARA,"ALMAŞU MIC DE MUNTE, ŞCOALA GENERALĂ",264,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:06:11",69,57,0,9,3,48,36,0,9,3,47,1,68,20,1,0,18,0,1,0,2,1,0,1,11,12
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:41:03",1377,1361,2,14,0,467,453,0,14,0,448,19,1545,1078,6,2,117,1,9,6,20,17,40,27,47,156
22,HUNEDOARA,"ARDEU, CĂMINUL CULTURAL",260,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:39:26",69,48,0,21,0,66,45,0,21,0,63,3,75,9,0,0,7,0,1,0,1,0,1,1,4,48
22,HUNEDOARA,"BALŞA, SEDIUL PRIMĂRIEI COMUNEI",259,BALŞA,87843,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:53:50",243,203,7,25,8,238,203,2,25,8,174,16,245,55,1,1,70,1,1,2,7,6,5,13,12,55
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:41:58",1455,1438,4,13,0,448,435,0,13,0,421,27,1630,1182,4,4,79,3,10,8,30,12,25,30,58,158
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:19:29",1707,1696,0,11,0,473,462,0,11,0,448,25,1915,1442,0,3,74,1,9,11,35,17,24,16,53,205
22,HUNEDOARA,"CĂMIN CULTURAL BĂNIȚA",279,BĂNIŢA,87246,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:38:16",996,963,0,10,23,761,728,0,10,23,727,34,1097,336,4,1,119,1,9,4,5,21,12,34,324,193
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",108,"MUNICIPIUL HUNEDOARA",86810,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:13:24",492,480,2,10,0,232,222,0,10,0,223,9,550,318,3,4,34,2,4,7,8,9,17,4,18,113
22,HUNEDOARA,"CAMIN CULTURAL BUCIUM",404,"ORĂŞTIOARA DE SUS",90342,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:12",297,261,0,21,15,242,206,0,21,15,231,11,315,73,5,0,92,0,7,3,2,9,2,17,39,55
