precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
21,HARGHITA,"ASOCIATIA INTREPRINZATORILOR PARTICULARI",79,"ORAŞ CRISTURU SECUIESC",83525,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:00:10",1438,1417,8,13,0,713,699,1,13,0,680,33,1500,787,43,23,364,5,9,7,227,2
21,HARGHITA,"BIROU ADMINISTRATIV",250,SECUIENI,85582,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:30:09",718,714,2,2,0,360,358,0,2,0,306,54,790,430,15,25,201,7,4,12,40,2
21,HARGHITA,"CABANA OCOLULUI SILVIC",66,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:57:17",72,60,1,11,0,32,21,0,11,0,28,4,160,128,7,3,13,3,1,0,0,1
21,HARGHITA,"CAMIN CULTURAL",249,SECUIENI,85582,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:17:08",960,955,1,4,0,400,396,0,4,0,295,105,1100,700,16,18,104,6,9,7,116,19
21,HARGHITA,"CAMIN CULTURAL",248,SECUIENI,85582,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:58:55",656,641,1,14,0,348,333,1,14,0,320,28,700,352,16,24,231,3,3,3,38,2
21,HARGHITA,"CAMIN CULTURAL",131,DEALU,84264,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:09",1090,1083,0,7,0,379,372,0,7,0,357,22,1200,821,11,18,282,1,1,24,17,3
21,HARGHITA,"CĂMIN CULTURAL",245,SÂNSIMION,85840,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:10:20",868,850,0,8,10,399,381,0,8,10,358,41,990,591,22,9,300,2,0,6,18,1
21,HARGHITA,"CĂMIN CULTURAL ŞICASĂU",290,ZETEA,86366,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:13:45",143,133,3,7,0,32,25,0,7,0,27,5,200,168,2,2,20,1,1,0,0,1
21,HARGHITA,"CĂMIN CULTURAL ȘOIMUȘU MARE",230,SĂCEL,85467,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:35:33",260,258,0,2,0,114,112,0,2,0,98,16,300,186,3,14,76,0,0,1,3,1
21,HARGHITA,"CĂMIN CULTURAL ȘOIMUȘU MIC",229,SĂCEL,85467,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:10:32",342,337,0,5,0,159,154,0,5,0,139,20,350,191,5,9,116,0,2,0,6,1
