precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA SOCIAL LIBERALĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL VERDE-voturi","ALIANȚA USR PLUS-voturi","HURDUC MARIAN-voturi"
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",171,COPĂCENI,179588,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:00",1451,1442,1,7,1,841,833,0,7,1,794,47,1600,759,45,18,140,25,518,13,28,7
25,ILFOV,"BAZA SPORTIVĂ - CAMERA 12 (VESTIAR GAZDE)",247,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:37:19",1455,1412,1,32,10,1108,1066,0,32,10,1028,80,1501,393,113,23,11,265,573,18,19,6
25,ILFOV,"CAMIN CULTURAL",161,CIOLPANI,101902,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:49",770,762,0,4,4,438,430,0,4,4,390,48,800,362,19,6,14,53,241,7,39,11
25,ILFOV,"CĂMINUL CULTURAL CIOLPANI",160,CIOLPANI,101902,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:16:35",1899,1878,2,13,6,1076,1057,0,13,6,994,82,2095,1019,84,11,53,84,654,12,62,34
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",212,GRĂDIŞTEA,103443,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:14:19",1665,1607,0,6,52,1152,1094,0,6,52,1096,56,1800,648,44,20,292,110,618,8,2,2
25,ILFOV,"CASA DE CULTURĂ",106,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:04:26",1967,1940,7,17,3,924,904,0,17,3,835,89,2200,1276,135,24,37,230,180,57,136,36
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",243,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:24:08",787,740,3,44,0,785,740,1,44,0,731,54,1400,615,99,18,24,241,274,16,46,13
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",244,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:03:05",1191,1131,6,51,3,767,713,0,51,3,731,36,1250,483,97,11,12,186,350,31,36,8
25,ILFOV,"CENTRUL DE ASISTENȚĂ DUPĂ PROGROMUL ȘCOLAR",255,TUNARI,105570,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:58:57",385,285,1,96,3,290,191,0,96,3,282,8,702,412,20,0,2,67,165,1,25,2
25,ILFOV,"CLĂDIREA AFTER SCHOOL",176,CORBEANCA,102160,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:09:12",1466,1380,22,64,0,843,774,5,64,0,814,29,1497,654,33,5,187,22,103,35,416,13
25,ILFOV,"CLĂDIRE POLICLINICĂ",122,BALOTEŞTI,100969,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:19:57",1736,1693,4,31,8,908,869,0,31,8,861,47,1900,992,23,9,31,437,185,25,126,25
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS - COSMOPOLIS PLAZA",251,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:29:49",1766,1629,94,42,1,746,701,2,42,1,726,20,1798,1052,38,4,18,94,136,25,396,15
25,ILFOV,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ POPEȘTI-LEORDFENI",88,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:47:26",1831,1781,19,31,0,781,750,0,31,0,759,22,1798,1017,120,4,25,37,116,37,409,11
25,ILFOV,"DIRECȚIA IMPOZITE ȘI TAXE LOCALE",91,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:01:54",1963,1932,12,19,0,698,679,0,19,0,683,15,2000,1302,61,3,12,15,83,72,419,18
25,ILFOV,"DIRECȚIA IMPOZITE ȘI TAXE LOCALE",90,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:19:00",1828,1795,12,21,0,650,629,0,21,0,640,10,1796,1146,62,1,16,22,92,53,385,9
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",235,PERIŞ,104546,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:31:35",648,632,1,14,1,320,305,0,14,1,297,23,700,380,18,7,20,19,177,8,36,12
25,ILFOV,"FOSTA SCOALA SI GRADINITA ALUNISU",42,"ORAŞ MĂGURELE",179409,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:41:38",1214,1190,1,22,1,806,783,0,22,1,754,52,1300,494,40,13,37,149,469,13,27,6
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",110,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:23",1752,1711,18,14,9,921,898,0,14,9,805,116,1900,979,166,30,35,169,194,46,128,37
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",75,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:55:29",1843,1801,6,35,1,717,681,0,35,1,708,9,2000,1283,103,2,20,29,77,70,389,18
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",74,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:55:02",1813,1777,10,26,0,692,666,0,26,0,681,11,2000,1308,65,2,15,22,73,63,427,14
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",73,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:23:22",1959,1910,11,38,0,744,706,0,38,0,726,18,2000,1256,105,7,34,29,114,59,362,16
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",76,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:45:06",1997,1939,17,40,1,802,761,0,40,1,792,10,2004,1202,92,1,10,28,104,63,473,21
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2",56,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:46:56",1317,1274,32,11,0,637,626,0,11,0,621,16,1400,763,70,4,12,11,267,50,180,27
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2",55,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:54:51",1463,1406,34,23,0,673,650,0,23,0,636,37,1498,825,73,12,9,14,286,38,166,38
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",47,"ORAŞ OTOPENI",179481,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:58:57",1250,1203,16,31,0,639,608,0,31,0,623,14,1300,661,22,4,15,15,228,29,290,20
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR 3",11,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:29:11",1438,1405,10,22,1,532,509,0,22,1,523,9,1500,968,36,8,196,39,110,12,108,14
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR 3",12,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:08:54",1548,1509,0,39,0,585,546,0,39,0,572,10,1600,1015,45,3,185,68,115,12,136,8
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR 3",10,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:57:51",1388,1350,0,38,0,549,511,0,38,0,525,17,1500,951,28,2,124,27,138,17,177,12
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR. 3",14,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:05:27",1514,1476,2,36,0,602,566,0,36,0,586,16,1600,998,48,5,185,75,128,11,125,9
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",9,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:05:31",1414,1373,2,37,2,585,546,0,37,2,572,13,1500,915,40,0,182,50,121,6,164,9
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",93,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:21:36",1164,1137,1,26,0,471,445,0,26,0,468,3,1604,1133,77,2,20,19,83,31,224,12
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",193,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:14:20",2134,1989,5,136,4,1102,962,0,136,4,1037,65,2200,1098,74,24,35,53,751,19,71,10
