precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL IALOMIȚENILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHEORGHE RAFAEL-DĂNUŢ-voturi"
23,IALOMIŢA,"ATELIERELE DE CREAŢIE ALE LICEULUI DE ARTĂ",29,"MUNICIPIUL SLOBOZIA",92658,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 12:35:59",1988,1969,3,13,3,831,815,0,13,3,790,41,2100,1269,170,38,23,174,253,62,2,8,11,29,20
23,IALOMIŢA,"BIBLIOTECA/DOMENIUL PUBLIC AL UAT TANDAREI",88,"ORAŞ ŢĂNDĂREI",92765,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:30:06",903,893,0,10,0,190,180,0,10,0,167,23,1000,810,16,15,3,8,103,0,2,1,17,0,2
23,IALOMIŢA,"CAMIN CULTURAL",102,BALACIU,92907,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:45:11",432,381,0,10,41,257,206,0,10,41,230,27,440,183,33,1,4,52,124,9,0,0,4,1,2
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:51:12",1015,947,0,42,26,698,631,0,41,26,633,51,1054,356,192,5,28,39,355,8,1,0,0,3,2
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:21:20",394,377,0,8,9,259,242,0,8,9,253,6,428,169,70,1,6,14,155,1,1,1,3,0,1
23,IALOMIŢA,"CĂMIN CULTURAL CIULNIŢA",125,CIULNIŢA,93156,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:06:43",920,911,0,8,1,493,484,0,8,1,457,36,1011,518,47,253,4,44,63,22,1,9,2,7,5
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:43:54",205,200,0,5,0,133,128,0,5,0,132,1,225,92,12,63,3,19,16,1,0,16,0,2,0
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:24:38",456,451,0,5,0,253,248,0,5,0,238,15,494,241,18,90,2,53,71,2,0,2,0,0,0
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 16:54:20",1447,1399,4,22,22,882,834,4,22,22,832,50,1540,658,150,68,2,195,359,19,3,4,24,7,1
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:52:50",733,711,1,7,14,452,431,0,7,14,402,36,800,362,74,9,9,71,228,4,1,1,2,3,0
23,IALOMIŢA,"CĂMIN CULTURAL, SAT SINTEŞTI",114,BORĂNEŞTI,179784,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:10:41",318,312,0,2,4,265,259,0,2,4,240,25,364,99,4,10,3,39,172,7,0,0,3,1,1
23,IALOMIŢA,"CĂMINUL CULTURAL",77,"ORAŞ FIERBINŢI-TÂRG",102749,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:31:57",1334,1291,0,34,9,938,895,0,34,9,907,31,1500,562,103,19,3,252,366,144,0,3,10,3,4
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:01:44",1043,1022,3,3,15,451,434,1,3,13,428,23,1140,689,56,4,19,32,64,26,0,2,219,3,3
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:12:00",1031,1011,0,1,19,474,455,0,1,18,445,29,1139,665,66,16,23,47,88,20,0,0,178,3,4
23,IALOMIŢA,"CĂMINUL CULTURAL",154,GRINDU,93717,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:56:22",797,790,2,2,3,455,450,0,2,3,409,46,936,481,144,11,17,67,126,5,0,3,17,10,9
23,IALOMIŢA,"CĂMINUL CULTURAL",155,GRINDU,93717,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:53:53",793,786,0,5,2,480,473,0,5,2,434,46,800,320,177,10,17,92,99,3,2,0,11,6,17
23,IALOMIŢA,"CĂMINUL CULTURAL",219,VLĂDENI,94795,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:57",881,880,0,1,0,601,600,0,1,0,536,65,1024,423,16,37,4,244,226,2,0,1,2,2,2
23,IALOMIŢA,"CĂMINUL CULTURAL",220,VLĂDENI,94795,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:02",786,780,0,6,0,547,541,0,6,0,532,15,800,253,18,17,1,257,214,3,18,1,1,2,0
23,IALOMIŢA,"CAMINUL CULTURAL COSERENI",134,COŞERENI,102240,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:38:47",1322,1306,0,6,10,765,749,0,6,10,689,76,1450,685,74,7,5,317,182,15,1,4,67,11,6
23,IALOMIŢA,"CĂMINUL CULTURAL DIN SATUL BORDUŞELU",123,CIOCHINA,93101,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:03:07",609,581,1,22,5,485,458,0,22,5,435,50,665,180,21,11,1,194,53,144,0,0,5,6,0
23,IALOMIŢA,"CĂMINUL CULTURAL DIN SATUL CIOCHINA",122,CIOCHINA,93101,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:00:40",1275,1244,1,19,11,784,753,1,19,11,730,54,1350,566,43,25,10,207,319,93,0,4,20,6,3
23,IALOMIŢA,"CAMINUL CULTURAL DIN SATUL COSÂMBEŞTI",132,COSÂMBEŞTI,93236,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:43:59",796,760,3,4,29,475,441,1,4,29,446,29,873,398,125,9,4,81,200,7,0,3,10,5,2
23,IALOMIŢA,"CĂMINUL CULTURAL DIN SATUL OREZU",124,CIOCHINA,93101,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:04:40",635,614,0,9,12,431,410,0,9,12,380,51,700,269,26,16,1,145,102,82,2,0,4,1,1
23,IALOMIŢA,"CĂMINUL CULTURAL DRĂGOEŞTI",137,DRĂGOEŞTI,102641,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:04:07",890,704,1,148,37,747,562,0,148,37,643,104,812,65,59,5,15,191,280,6,3,5,9,7,63
23,IALOMIŢA,"CĂMINUL CULTURAL MALU,SALONUL DE NUNŢI SITUATĂ ÎN MALU",208,"SFÂNTU GHEORGHE",94456,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:57:08",863,852,2,4,5,529,519,1,4,5,480,49,950,421,13,7,31,204,165,0,0,0,11,47,2
23,IALOMIŢA,"CĂMINUL CULTURAL SAT LILIECI",210,SINEŞTI,105026,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:46:02",952,879,0,73,0,632,559,0,73,0,588,44,1000,368,92,3,1,159,313,2,1,0,5,11,1
23,IALOMIŢA,"CĂMINUL CULTURAL SITUATĂ ÎN SATUL SINEŞTI, SINEŞTI",209,SINEŞTI,105026,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:50:27",1017,922,0,94,1,1017,922,0,94,1,931,86,1305,288,78,9,1,414,410,8,0,0,3,5,3
23,IALOMIŢA,"CASA DE CULTURĂ",62,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:31",1205,1193,0,12,0,444,432,0,12,0,418,26,1300,856,45,8,10,129,147,37,0,1,29,10,2
23,IALOMIŢA,"CASA DE CULTURA JAN CACIULA",74,"ORAŞ AMARA",92836,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:41:12",1447,1428,0,17,2,727,708,0,17,2,673,54,1571,844,196,17,11,118,193,23,1,3,2,106,3
23,IALOMIŢA,"CASA DE CULTURĂ MUNICIPALĂ (FOSTUL CINEMA ”GALAX”)",13,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:08:22",1401,1388,0,13,0,438,425,0,13,0,418,20,1500,1062,119,21,12,67,133,30,1,3,4,24,4
23,IALOMIŢA,"CENTRUL SOCIAL AL PAROHIEI FETESTI GARA II",55,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:13:39",1328,1318,0,10,0,427,417,0,10,0,404,23,1470,1043,46,10,6,129,160,25,0,10,6,5,7
23,IALOMIŢA,"CLUBUL SINDICATELOR",65,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:57:57",1604,1597,1,5,1,586,580,0,5,1,565,21,1800,1214,85,12,16,195,141,65,0,1,29,14,7
23,IALOMIŢA,"COLEGIUL NAŢIONAL ”MIHAI VITEAZU” (LICEUL DE MATEMATICÃ - FIZICÃ)",5,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:11:48",1159,1146,1,12,0,430,418,0,12,0,413,17,1300,870,96,16,12,101,121,36,1,4,4,16,6
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 10:45:07",1026,1016,0,10,0,348,338,0,10,0,334,14,1150,802,94,12,11,63,107,13,5,0,10,16,3
23,IALOMIŢA,"GRADINITA COPUZU",105,BALACIU,92907,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:31:48",249,242,0,6,1,114,107,0,6,1,96,18,258,144,4,5,4,49,28,2,0,0,2,2,0
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL",190,PLATONEŞTI,180000,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:54:10",815,797,0,16,2,523,505,0,16,2,495,26,879,356,203,11,6,100,160,5,1,2,2,5,0
23,IALOMIŢA,"GRADINITA CU PROGRAM NORMAL AMARA",71,"ORAŞ AMARA",92836,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:44:10",1048,1044,0,4,0,494,490,0,4,0,469,25,1161,667,125,10,13,72,120,21,1,2,2,102,1
23,IALOMIŢA,"GRADINITA CU PROGRAM NORMAL AMARA",70,"ORAŞ AMARA",92836,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:05:07",1301,1294,0,7,0,644,637,0,7,0,616,28,1425,781,171,13,7,123,164,17,2,1,2,113,3
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL CU 2 SĂLI DE GRUPĂ BRĂTIA",100,AXINTELE,100923,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:52",788,780,0,8,0,363,355,0,8,0,327,36,865,502,31,8,5,119,139,1,1,1,15,4,3
23,IALOMIŢA,"GRADINITA CU PROGRAM NORMAL FUNDATA",187,PERIEŢI,94161,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:49:47",399,385,2,12,0,202,190,0,12,0,190,12,400,198,22,8,10,80,55,6,0,0,3,3,3
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL ”LUMEA COPIILOR”",10,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 11:41:12",1453,1444,0,8,1,563,554,0,8,1,537,26,1600,1037,151,25,13,113,159,33,1,7,6,24,5
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TRAIAN",214,TRAIAN,179702,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 17:13:24",1255,1210,1,7,37,830,790,0,7,33,731,99,1329,499,225,32,2,92,368,1,2,0,5,3,1
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",59,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:15:22",698,690,0,8,0,285,277,0,8,0,278,7,797,512,23,12,13,92,82,27,0,0,22,6,1
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBA CA ZAPADA”",47,"MUNICIPIUL FETEŞTI",92701,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:28:34",1144,1126,0,18,0,400,382,0,18,0,383,17,1250,850,68,7,9,104,153,24,1,7,3,5,2
