precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA-voturi","PARTIDUL VERDE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL RE:START ROMÂNIA-voturi","ALIANȚA USR PLUS-voturi"
24,IAŞI,"BAZA SPORTIVĂ MULTIFUNCȚIONALĂ - ȘOROGARI",321,ARONEANU,95747,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:11:35",369,351,1,13,4,168,151,0,13,4,163,5,400,232,2,82,2,32,24,5,0,1,1,1,1,12
24,IAŞI,"BIBLIOTECA MATEI MILLO",651,STOLNICENI-PRĂJESCU,99165,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:16:07",1280,1268,1,11,0,657,645,1,11,0,601,56,1400,743,31,339,11,72,96,0,0,0,4,3,0,45
24,IAŞI,"CĂMIN CULTURAL",562,MOŢCA,98220,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:04:50",1466,1454,0,7,5,676,664,0,7,5,608,68,1600,924,65,100,57,355,10,5,0,1,3,6,0,6
24,IAŞI,"CĂMIN CULTURAL",561,MOŢCA,98220,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:42:49",1583,1570,0,3,10,778,765,0,3,10,693,85,1700,922,78,149,56,356,10,15,1,1,7,4,1,15
24,IAŞI,"CĂMIN CULTURAL BÎCU",508,IPATELE,97553,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:09",445,426,0,1,18,250,231,0,1,18,213,37,500,250,2,20,2,142,32,6,0,0,1,2,0,6
24,IAŞI,"CAMIN CULTURAL BIRNOVA",330,BÂRNOVA,95088,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:07:04",1134,1127,1,6,0,582,576,0,6,0,548,34,1300,718,54,230,10,52,16,12,0,6,76,7,5,80
24,IAŞI,"CAMIN CULTURAL COTNARI",394,COTNARI,96478,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:23",1454,1448,1,5,0,683,678,0,5,0,611,72,1500,817,25,108,3,222,64,0,4,0,8,10,5,162
24,IAŞI,"CĂMIN CULTURAL FORĂŞTI",468,GROPNIŢA,97321,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:25",438,427,0,3,8,264,253,0,3,8,234,30,500,236,10,167,5,33,10,0,0,0,2,1,3,3
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",475,HĂLĂUCEŞTI,97438,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:24:45",1205,1191,0,3,11,445,431,0,3,11,407,38,1300,855,42,255,10,52,12,2,0,0,4,1,1,28
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",474,HĂLĂUCEŞTI,97438,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:48:47",1372,1353,1,0,18,473,456,0,0,17,435,6,1500,1059,39,292,16,34,10,6,3,1,6,2,0,26
24,IAŞI,"CĂMIN CULTURAL - SALA II OTELENI",569,OŢELENI,98300,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:33:39",1093,1052,0,17,24,589,548,0,17,24,511,78,1100,511,3,204,2,215,34,7,0,0,5,7,2,32
