precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","LICSARI COSTINEL-MANUEL-voturi"
27,MEHEDINŢI,"ASOCIAȚIA DE PROPRIETARI NR.90",5,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:17:20",980,966,1,12,1,391,378,0,12,1,362,29,1100,709,3,120,18,24,139,11,2,31,2,0,12
27,MEHEDINŢI,"ASOCIATIA LIGA ”SOLIDARITATEA” A PENSIONARILOR",20,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:19:48",1180,1168,0,12,0,467,455,0,12,0,451,16,1300,833,3,160,29,32,178,13,5,16,8,0,7
27,MEHEDINŢI,"CĂMIN CULTURAL BREZNITA-MOTRU",121,BREZNIŢA-MOTRU,110740,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:51:23",879,762,0,39,78,629,512,0,39,78,576,53,899,270,10,146,3,20,322,12,1,56,1,2,3
27,MEHEDINŢI,"CĂMIN CULTURAL BROŞTENI",126,BROŞTENI,110875,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:55:50",1330,1205,0,78,47,864,739,0,78,47,826,38,1400,536,7,497,9,31,216,5,3,42,6,2,8
27,MEHEDINŢI,"CĂMIN CULTURAL BUSEȘTI",203,ISVERNA,112370,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:31:38",195,139,0,55,1,173,117,0,55,1,161,12,300,127,1,94,0,11,51,1,0,1,2,0,0
27,MEHEDINŢI,"CAMIN CULTURAL ILOVĂŢ",198,ILOVĂŢ,112263,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:05:56",1311,974,0,298,39,1008,671,0,298,39,948,60,1400,392,18,406,4,8,490,11,1,3,0,3,4
27,MEHEDINŢI,"CĂMIN CULTURAL ISVERNA",201,ISVERNA,112370,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:28:57",1602,1295,0,289,18,1230,924,0,289,17,1124,106,1600,370,19,612,12,12,440,8,3,11,4,3,0
27,MEHEDINŢI,"CĂMIN CULTURAL IZVORĂLU",276,TÂMNA,113732,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:47:17",314,273,0,41,0,224,183,0,41,0,196,28,393,169,4,44,6,8,130,1,0,1,1,1,0
27,MEHEDINŢI,"CAMIN CULTURAL VANATORI",279,VÂNĂTORI,113849,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:02:25",932,815,0,79,38,624,507,0,79,38,583,41,1000,376,9,450,2,9,101,7,2,0,2,1,0
27,MEHEDINŢI,"CĂMIN CULTURAL VÎNJULEŢ",281,VÂNJULEŢ,113894,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:04:06",1562,1431,7,49,75,740,616,0,49,75,693,47,1700,960,7,236,10,3,400,34,0,0,0,2,1
27,MEHEDINŢI,"CĂMINUL CULTURAL",153,CUJMIR,111444,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:52:36",1037,899,1,67,70,713,577,0,67,69,694,19,1100,387,12,290,1,9,359,8,2,9,2,0,2
27,MEHEDINŢI,"CĂMINUL CULTURAL",154,CUJMIR,111444,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:51:18",959,859,0,50,50,628,528,0,50,50,582,46,1100,472,19,253,3,5,286,7,1,4,2,0,2
27,MEHEDINŢI,"CĂMINUL CULTURAL",190,GRUIA,112030,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:58",748,706,0,42,0,429,387,0,42,0,386,43,794,319,5,169,2,3,170,32,0,5,0,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL BAHNA",200,ILOVIŢA,112334,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:51:52",290,264,0,21,5,290,264,0,21,5,249,41,500,210,5,121,23,2,84,2,2,3,2,1,4
27,MEHEDINŢI,"CĂMINUL CULTURAL BALA",100,BALA,110296,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:13:20",740,689,0,51,0,521,470,0,51,0,494,27,700,179,11,172,9,15,256,12,2,14,1,2,0
27,MEHEDINŢI,"CĂMINUL CULTURAL BALTA",106,BALTA,110456,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:17:44",498,324,0,168,6,421,247,0,168,6,402,19,470,49,2,166,10,140,54,15,0,9,3,2,1
27,MEHEDINŢI,"CĂMINUL CULTURAL BÎRÎIACU",238,PONOARELE,112995,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:00",260,228,0,29,3,191,159,0,29,3,177,14,300,109,10,67,2,4,90,3,0,1,0,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL BOBAIŢA",217,MALOVĂŢ,112664,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:23:00",568,480,0,82,6,400,312,0,82,6,368,32,600,200,8,240,7,6,92,9,3,1,2,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL CEARÎNG",251,PUNGHINA,113395,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:46:06",135,122,0,13,0,98,85,0,13,0,92,6,200,102,1,31,0,6,54,0,0,0,0,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL CERVENIŢA",246,PRUNIŞOR,113233,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:38:10",398,285,0,111,2,307,194,0,111,2,285,22,494,187,8,107,7,72,60,2,2,1,5,2,19
27,MEHEDINŢI,"CĂMINUL CULTURAL CIOROBORENI",211,JIANA,112548,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:34",513,492,0,6,15,316,295,0,6,15,311,5,600,284,3,280,0,1,20,5,1,0,0,0,1
27,MEHEDINŢI,"CĂMINUL CULTURAL CIREŞU",142,CIREŞU,111220,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:07:44",499,389,0,100,10,389,279,0,100,10,367,22,600,211,7,177,28,9,137,0,2,3,0,1,3
27,MEHEDINŢI,"CĂMINUL CULTURAL CORCOVA",143,CORCOVA,111275,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:53:27",1095,944,2,131,18,782,631,2,131,18,740,42,1000,218,17,277,63,23,329,6,9,11,2,0,3
27,MEHEDINŢI,"CĂMINUL CULTURAL COSTEŞTI",108,BALTA,110456,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:50:11",183,131,1,50,1,156,105,0,50,1,137,19,326,170,0,42,23,24,40,4,0,4,0,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL DĂNCEU",210,JIANA,112548,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:16:51",1055,964,1,24,66,529,439,0,24,66,526,3,1200,671,3,472,3,2,38,2,1,3,2,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL DUMBRAVA DE JOS",166,DUMBRAVA,111587,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:02:38",462,380,1,53,28,321,240,0,53,28,292,29,400,79,4,208,10,14,50,3,1,1,0,1,0
27,MEHEDINŢI,"CĂMINUL CULTURAL FÎNTÎNA DOMNEASCĂ",245,PRUNIŞOR,113233,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:05:09",369,311,0,57,1,270,212,0,57,1,258,12,400,130,4,74,2,51,124,0,0,2,1,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL GĂRDĂNEASA",237,PONOARELE,112995,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:46",418,391,0,27,0,285,258,0,27,0,269,16,500,215,5,161,6,19,63,5,7,1,1,0,1
