precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ COALIȚIA PENTRU MARAMUREȘ CMM-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","COVACI DENIS-MIHAI-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:10:23",1470,1440,19,11,0,543,532,0,11,0,528,15,1600,1057,6,16,147,32,44,19,133,90,5,0,13,8,9,6
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 17:53:32",1401,1349,36,16,0,667,651,0,16,0,649,18,1500,833,1,30,235,11,70,9,116,116,6,6,18,12,4,15
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:48:50",1404,1385,6,13,0,524,511,0,13,0,514,10,1500,976,2,17,154,8,31,37,126,101,4,7,8,1,6,12
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:17:57",1248,1232,2,14,0,518,504,0,14,0,508,10,1400,882,1,10,147,9,36,82,78,90,6,7,9,11,5,17
26,MARAMUREŞ,"CĂMIN CULTURAL",372,REMEŢI,108552,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 14:55:30",328,320,0,8,0,143,135,0,8,0,131,12,400,257,17,11,36,0,2,20,18,10,1,0,7,7,1,1
26,MARAMUREŞ,"CĂMIN CULTURAL",276,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:30:35",1801,1778,1,18,4,860,838,0,18,4,816,44,1900,1040,7,57,230,6,97,9,286,40,10,9,31,11,10,13
26,MARAMUREŞ,"CĂMIN CULTURAL",317,FĂRCAŞA,108106,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:15:17",894,829,0,43,22,500,435,0,43,22,440,60,900,400,3,19,111,12,162,1,85,19,6,3,15,2,1,1
26,MARAMUREŞ,"CĂMIN CULTURAL",316,FĂRCAŞA,108106,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:36:54",457,418,0,20,19,321,282,0,20,19,298,23,500,179,0,12,156,3,60,1,48,3,3,0,5,3,0,4
26,MARAMUREŞ,"CĂMIN CULTURAL",315,FĂRCAŞA,108106,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:09",557,533,0,10,14,243,219,0,10,14,222,21,600,357,1,15,82,8,58,2,17,26,2,2,3,1,2,3
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:30",1144,1126,1,12,5,567,550,0,12,5,525,42,1200,633,1,53,111,7,22,1,262,14,10,2,25,3,3,11
26,MARAMUREŞ,"CĂMIN CULTURAL",278,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:49:38",390,381,0,9,0,171,162,0,9,0,147,24,500,329,2,14,32,0,4,2,71,4,1,1,9,1,0,6
26,MARAMUREŞ,"CĂMIN CULTURAL",279,CICÂRLĂU,107662,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:10:16",267,242,1,21,3,152,128,0,21,3,142,10,300,148,0,11,56,2,9,2,49,3,0,1,6,2,1,0
26,MARAMUREŞ,"CĂMIN CULTURAL CĂTĂLINA",283,COLTĂU,179846,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:17:43",440,401,0,30,9,305,266,0,30,9,293,12,499,194,1,9,67,2,14,142,31,14,4,0,3,2,1,3
26,MARAMUREŞ,"CĂMIN CULTURAL TĂMĂŞEŞTI",228,ARINIŞ,107047,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:09",203,170,0,27,6,151,118,0,27,6,133,18,200,49,0,9,20,18,14,0,63,1,0,0,6,0,2,0
26,MARAMUREŞ,"CAMINUL CULTURAL",268,"CÂMPULUNG LA TISA",107715,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:46:49",1252,1246,1,0,5,596,590,1,0,5,535,61,1400,804,9,35,105,5,20,273,29,8,2,3,9,33,2,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",413,ŞIEU,179613,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:27:55",1242,1157,1,48,36,778,693,1,48,36,736,42,1300,522,9,59,200,31,35,4,194,124,31,4,12,23,10,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",402,SĂLSIG,108918,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 14:33:37",1377,1231,2,96,48,1005,860,1,96,48,922,83,1397,392,5,38,169,3,329,10,267,58,4,7,16,4,5,7
