precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL VERDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi"
28,MUREŞ,"CAMIN CULTURAL",336,CUCI,116439,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:06",144,135,0,7,2,99,90,0,7,2,82,17,145,46,44,1,8,12,8,6,0,0,2,1,0
28,MUREŞ,"CAMIN CULTURAL",319,COZMA,116224,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:40:14",111,105,0,6,0,60,54,0,6,0,52,8,115,55,15,0,4,28,1,1,0,2,0,0,1
28,MUREŞ,"CAMIN CULTURAL",471,"PAPIU ILARIAN",118637,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:25:27",701,690,1,2,8,325,315,0,2,8,294,31,760,435,35,176,2,41,8,4,1,4,3,11,9
28,MUREŞ,"CAMIN CULTURAL",304,CHEŢANI,116046,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:11:48",478,469,0,7,2,325,316,0,7,2,275,50,516,191,17,73,109,42,15,6,0,8,2,2,1
28,MUREŞ,"CAMIN CULTURAL",398,GORNEŞTI,117177,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:15:47",363,354,0,6,3,258,249,0,6,3,251,7,390,132,1,233,0,5,4,3,0,1,0,1,3
28,MUREŞ,"CAMIN CULTURAL",397,GORNEŞTI,117177,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:44",97,87,0,10,0,49,39,0,10,0,46,3,100,51,2,28,0,3,2,8,0,0,3,0,0
28,MUREŞ,"CĂMIN CULTURAL",158,"ORAŞ IERNUT",117827,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:58:29",287,277,0,10,0,127,117,0,10,0,112,15,310,183,58,2,7,32,4,2,0,1,2,4,0
28,MUREŞ,"CĂMIN CULTURAL",288,BRÂNCOVENEŞTI,115897,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:58:23",380,375,0,5,0,183,178,0,5,0,173,10,420,237,51,8,25,41,18,23,1,5,1,0,0
28,MUREŞ,"CĂMIN CULTURAL",265,BĂLA,115600,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:29:33",438,391,0,5,42,339,292,0,5,42,270,69,475,136,94,13,21,84,26,5,0,8,2,16,1
28,MUREŞ,"CĂMIN CULTURAL",337,CUCI,116439,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:10",456,439,0,5,12,244,227,0,5,12,210,34,477,233,136,0,7,61,4,0,0,0,2,0,0
28,MUREŞ,"CĂMIN CULTURAL AGRIŞTEU",268,BĂLĂUŞERI,115637,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:06:08",650,637,1,11,1,353,340,1,11,1,292,61,700,347,19,165,14,66,3,7,0,1,2,0,15
28,MUREŞ,"CAMIN CULTURAL BAND",248,BAND,115389,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:11:40",936,925,0,11,0,514,503,0,11,0,308,206,1020,506,84,68,4,47,23,4,1,1,69,1,6
