precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU MODERNIZAREA NEAMȚULUI 2020""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
29,NEAMŢ,"AGENŢIA PENTRU PROTECŢIA MEDIULUI",83,"MUNICIPIUL ROMAN",120860,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:44:49",1281,1264,5,12,0,376,364,0,12,0,353,23,1400,1024,25,16,121,13,55,121,2
29,NEAMŢ,"BIBLIOTECA COMUNALA FAUREI",277,FĂUREI,122613,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:31:27",224,219,0,5,0,94,89,0,5,0,84,10,301,207,16,9,36,0,2,19,2
29,NEAMŢ,"CAMIN CULTURAL",442,TAŞCA,124563,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:14:28",1429,1395,1,13,20,805,772,0,13,20,744,61,1497,692,41,124,193,6,38,314,28
29,NEAMŢ,"CAMIN CULTURAL",325,"ION CREANGĂ",123102,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:57:49",794,779,1,11,3,437,423,0,11,3,396,41,900,463,12,28,36,2,19,295,4
29,NEAMŢ,"CAMIN CULTURAL",174,BICAZ-CHEI,121297,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:15:30",1139,1135,0,4,0,536,532,0,4,0,462,74,1200,664,22,78,199,4,14,140,5
29,NEAMŢ,"CAMIN CULTURAL",311,HORIA,120922,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:31:30",1700,1691,1,4,4,653,645,0,4,4,596,57,1900,1247,40,42,212,8,96,184,14
29,NEAMŢ,"”CĂMIN CULTURAL”",209,BORLEŞTI,121732,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:06:31",233,227,0,6,0,107,101,0,6,0,97,10,300,193,9,9,25,0,3,50,1
29,NEAMŢ,"CĂMIN CULTURAL",321,"ION CREANGĂ",123102,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:09:11",681,668,0,8,5,379,366,0,8,5,343,36,800,421,18,46,189,3,27,59,1
29,NEAMŢ,"CĂMIN CULTURAL",322,"ION CREANGĂ",123102,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:07:24",679,676,0,2,1,371,368,0,2,1,337,34,700,329,14,56,61,1,46,153,6
29,NEAMŢ,"CĂMIN CULTURAL",207,BORLEŞTI,121732,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:29:53",1403,1391,2,10,0,590,579,1,10,0,537,53,1500,910,28,44,157,2,40,244,22
29,NEAMŢ,"CĂMIN CULTURAL NOU ȘI BIBLIOTECĂ",323,"ION CREANGĂ",123102,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:12:33",972,966,0,4,2,516,510,0,4,2,467,49,1100,584,27,127,62,2,104,137,8
29,NEAMŢ,"CĂMIN CULTURAL NOU ȘI BIBLIOTECĂ",324,"ION CREANGĂ",123102,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:47:51",1184,1177,0,4,3,610,603,0,4,3,547,63,1300,690,14,125,79,6,140,174,9
29,NEAMŢ,"CĂMIN CULTURAL SABASA",200,BORCA,121652,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:30:51",927,921,0,4,2,524,518,0,4,2,468,56,1000,476,20,50,155,2,11,215,15
29,NEAMŢ,"CAMIN CULTURAL VALEA URSULUI",473,"VALEA URSULUI",124885,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:30:59",728,717,0,9,2,360,349,0,9,2,323,37,800,440,12,20,43,0,7,237,4
29,NEAMŢ,"CAMINUL CULTURAL",450,TĂMĂŞENI,124634,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:12",1039,1031,1,6,1,363,356,0,6,1,330,33,1100,737,11,16,139,1,103,54,6
29,NEAMŢ,"CAMINUL CULTURAL",445,TAZLĂU,124616,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:24",1216,1199,2,4,11,687,671,1,4,11,601,86,1300,613,26,40,144,4,208,163,16
29,NEAMŢ,"CĂMINUL CULTURAL",230,CORDUN,120888,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:23:12",755,733,0,10,12,351,329,0,10,12,305,46,800,449,19,16,63,1,147,53,6
29,NEAMŢ,"CĂMINUL CULTURAL",246,DOCHIA,125098,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:29:56",115,105,0,10,0,82,72,0,10,0,70,12,200,118,6,3,45,1,0,12,3
29,NEAMŢ,"CĂMINUL CULTURAL",273,FARCAŞA,122551,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:20",773,760,0,6,7,441,428,0,6,7,381,60,900,459,18,37,155,3,7,134,27
29,NEAMŢ,"CĂMINUL CULTURAL",274,FARCAŞA,122551,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:00:01",646,637,0,9,0,349,340,0,9,0,316,33,700,351,18,43,152,3,10,77,13
29,NEAMŢ,"CĂMINUL CULTURAL",298,GRINŢIEŞ,122864,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:24:39",1360,1333,0,5,22,815,788,0,5,22,711,76,1500,713,83,145,250,5,13,193,22
29,NEAMŢ,"CĂMINUL CULTURAL",421,SECUIENI,124233,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:05",781,767,0,1,13,339,325,0,1,13,313,26,800,461,22,19,171,3,17,79,2
29,NEAMŢ,"CĂMINUL CULTURAL",423,SECUIENI,124233,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:19:46",906,897,0,4,5,353,344,0,4,5,313,40,1000,647,38,14,146,4,7,99,5
29,NEAMŢ,"CĂMINUL CULTURAL BÎRA",182,BIRA,121386,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:54",648,641,1,4,2,283,276,1,4,2,251,32,700,417,12,19,65,3,12,138,2
29,NEAMŢ,"CAMINUL CULTURAL DAMUC",243,DĂMUC,122249,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:00:38",1322,1290,0,13,19,771,739,0,13,19,704,67,1400,629,32,37,422,1,10,195,7
29,NEAMŢ,"CĂMINUL CULTURAL DOBRENI",245,DOBRENI,122285,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:26:55",1556,1491,5,56,4,931,870,1,56,4,844,87,1700,769,65,63,164,5,84,448,15
29,NEAMŢ,"CĂMINUL CULTURAL HÎRTOP",170,BÂRGĂUANI,121466,6,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:44:51",193,186,1,6,0,102,95,1,6,0,89,13,300,198,21,18,23,0,2,25,0
29,NEAMŢ,"CĂMINUL CULTURAL,LOCALITATEA BAHNA",158,BAHNA,121153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:12:13",582,530,0,6,46,319,286,0,5,28,265,54,600,281,10,7,84,0,7,154,3
29,NEAMŢ,"CĂMINUL CULTURAL LOC.BLEBEA",145,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:44",686,672,0,8,6,335,321,0,8,6,303,32,700,365,14,52,76,3,19,129,10
29,NEAMŢ,"CĂMINUL PENTRU PERSOANE VÂRSTNICE ROZNOV",131,"ORAŞ ROZNOV",124117,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:06:07",1385,1357,2,18,8,717,691,0,18,8,621,96,1500,783,52,120,246,4,50,137,12
