precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL RE:START ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
30,OLT,"BAZA SPORTIVĂ",231,IPOTEŞTI,130348,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:31",1300,1204,0,96,0,893,797,0,96,0,810,83,1331,438,71,354,336,12,21,10,2,1,3
30,OLT,"BIBLIOTECA COMUNALĂ",364,"VIŞINA NOUĂ",130375,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:15:03",1646,1449,1,102,94,1201,1004,1,102,94,1133,68,1584,383,484,486,20,17,51,15,58,1,1
30,OLT,"CAMIN CULTURAL",151,CEZIENI,126102,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:31",186,177,0,8,1,127,118,0,8,1,115,12,196,69,53,56,0,0,6,0,0,0,0
30,OLT,"CAMIN C ULTURAL",319,STREJEŞTI,129139,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:50",428,400,4,23,1,311,284,3,23,1,302,9,437,126,138,136,13,3,6,3,3,0,0
30,OLT,"CĂMIN CULTURAL",221,"GURA PADINII",130339,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 18:41:35",1449,1360,0,22,67,1092,1003,0,22,67,1031,58,1573,484,371,604,9,20,8,12,7,0,0
30,OLT,"CĂMIN CULTURAL",275,PERIEŢI,128052,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:06:45",1773,1644,0,114,15,1182,1053,0,114,15,1116,57,1807,634,371,480,77,36,123,15,9,0,5
30,OLT,"CĂMIN CULTURAL",282,RADOMIREŞTI,128472,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:50:02",1043,1032,0,11,0,589,578,0,11,0,529,60,1141,552,144,295,45,16,15,5,5,0,4
30,OLT,"CAMIN CULTURAL LELEASCA",237,LELEASCA,127411,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:05:59",497,433,0,64,0,333,269,0,64,0,311,22,442,109,42,109,79,48,19,4,10,0,0
30,OLT,"CAMIN CULTURAL STUDINA",321,STUDINA,129184,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:50:34",1351,1277,0,46,28,856,782,0,46,28,816,40,1404,548,649,54,41,18,18,21,12,0,3
30,OLT,"CAMIN CULTURAL STUDINIȚA",322,STUDINA,129184,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:01:17",977,930,1,26,20,619,573,0,26,20,574,45,1020,401,402,79,7,18,48,10,6,0,4
30,OLT,"CAMINUL CULTURAL",176,DĂNEASA,126585,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:43:38",437,409,0,18,10,310,282,0,18,10,285,25,460,150,92,151,8,0,0,4,30,0,0
30,OLT,"CĂMINUL CULTURAL",136,BOBICEŞTI,125873,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:26",1296,1277,2,10,7,666,649,1,10,6,610,56,1403,737,79,463,17,24,14,5,5,1,2
30,OLT,"CĂMINUL CULTURAL",145,BUCINIŞU,126077,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:01:26",1821,1593,0,176,52,1466,1238,0,176,52,1342,124,1742,276,632,671,7,2,13,6,7,0,4
