precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA PNL USR PLUS-voturi","PARTIDUL PRAHOVA IN ACȚIUNE-voturi","ALIANȚA PENTRU PRAHOVA-voturi"
31,PRAHOVA,"AGENŢIA PENTRU PROTECŢIA MEDIULUI PRAHOVA",110,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:27:54",1150,1135,7,8,0,417,409,0,8,0,410,7,1300,883,27,17,235,30,101
31,PRAHOVA,"ANEXA LICEULUI TEHNOLOGIC DE TRANSPORTURI (ANEXA GRUP SCOLAR INDUSTRIAL TRANSPORTURI (FOST LICEUL AUTO))",25,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:29",1638,1628,2,8,0,515,507,0,8,0,499,16,1800,1285,42,26,270,53,108
31,PRAHOVA,"ANEXA PRIMARIE SAT OLOGENI",514,"POIENARII BURCHII",134559,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:20:04",1096,1060,0,8,28,682,646,0,8,28,571,111,1200,518,48,39,72,15,397
31,PRAHOVA,"ANEXA ŞCOLII GIMNAZIALE ”SFÂNTA VINERI”",14,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:10:09",1023,984,24,15,0,352,337,0,15,0,334,18,1100,748,22,24,163,32,93
31,PRAHOVA,"BAZA SPORTIVĂ STREJNICU",577,"TÂRGŞORU VECHI",130892,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:48:58",1848,1822,4,16,6,895,873,0,16,6,804,90,2000,1105,58,76,434,58,178
31,PRAHOVA,"BIBLIOTECA COMUNALĂ COSMINELE",390,COSMINELE,132841,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:11:40",825,820,0,4,1,610,605,0,4,1,538,72,900,290,111,44,185,11,187
31,PRAHOVA,"BIBLIOTECA ”DIMITRIE GUSTI” COMUNA POIANA-CĂMPINA",508,"POIANA CÂMPINA",131274,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:32",622,615,0,7,0,341,334,0,7,0,304,37,700,359,40,18,180,5,61
31,PRAHOVA,"BLOCUL 24B PARTER",40,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:07:36",1340,1330,0,10,0,463,453,0,10,0,440,23,1500,1037,27,21,268,34,90
31,PRAHOVA,"CABANA DE VANATOARE",609,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:36:24",98,88,0,10,0,49,39,0,10,0,44,5,100,51,8,12,8,0,16
31,PRAHOVA,"CAMIN CULTURAL",575,TĂTARU,135681,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:48:32",313,223,0,59,31,255,165,0,59,31,206,49,300,45,17,11,64,7,107
31,PRAHOVA,"CAMIN CULTURAL",576,TĂTARU,135681,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:42",569,468,0,59,42,419,318,0,59,42,345,74,500,81,21,27,164,7,126
31,PRAHOVA,"CAMIN CULTURAL",599,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:51:01",1118,1105,0,7,6,494,481,0,7,6,439,55,1200,706,67,59,131,15,167
31,PRAHOVA,"CĂMIN CULTURAL",564,ŞOIMARI,135501,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:23:08",426,420,0,5,1,249,243,0,5,1,223,26,500,251,36,13,78,7,89
31,PRAHOVA,"CĂMIN CULTURAL",484,MĂNEŞTI,134194,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:16:33",898,861,0,22,15,547,510,0,22,15,478,69,900,353,43,25,288,31,91
31,PRAHOVA,"CĂMIN CULTURAL",518,POSEŞTI,134648,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:06:15",785,765,1,5,14,426,406,1,5,14,348,78,900,474,41,20,62,10,215
31,PRAHOVA,"CĂMIN CULTURAL",444,"GURA VADULUI",133688,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:54",657,647,0,6,4,371,361,0,6,4,322,49,700,329,24,33,159,20,86
31,PRAHOVA,"CĂMIN CULTURAL",404,DUMBRĂVEŞTI,131461,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:24:38",1160,1154,2,4,0,733,728,1,4,0,685,48,1270,537,51,38,311,20,265
31,PRAHOVA,"CĂMIN CULTURAL",382,"COCORĂŞTII MISLII",132716,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:30:25",1236,1222,0,10,4,714,700,0,10,4,662,52,1400,686,60,47,324,19,212
31,PRAHOVA,"CĂMIN CULTURAL",381,"COCORĂŞTII MISLII",132716,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:49:31",1584,1570,2,6,6,948,936,0,6,6,859,89,1699,751,81,51,459,58,210
31,PRAHOVA,"CĂMIN CULTURAL",285,ADUNAŢI,131899,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:53:07",884,881,0,1,2,569,566,0,1,2,511,58,900,331,54,49,223,11,174
31,PRAHOVA,"CĂMIN CULTURAL",542,SĂLCIILE,135146,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:53:38",855,726,0,74,55,632,503,0,74,55,573,59,800,168,60,40,251,5,217
31,PRAHOVA,"CĂMİN CULTURAL BOLDEŞTİ",338,BOLDEŞTI-GRADIŞTEA,132379,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:39:10",646,642,0,4,0,407,403,0,4,0,329,78,700,293,47,31,119,7,125
31,PRAHOVA,"CAMIN CULTURAL CHITORANI",356,BUCOV,130785,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:45:55",1328,1324,0,3,1,603,599,0,3,1,546,57,1500,897,35,22,379,14,96
31,PRAHOVA,"CĂMIN CULTURAL COCORĂȘTII CAPLII, SAT COCORĂȘTII CAPLII, NR.130",475,MĂGURENI,134050,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:46:12",682,675,1,6,0,339,333,0,6,0,312,27,800,461,44,41,91,28,108
31,PRAHOVA,"CĂMIN CULTURAL DIN SAT PODENII NOI",502,"PODENII NOI",134443,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:49:52",1313,1272,0,34,7,804,763,0,34,7,685,85,1400,630,43,37,204,14,387
31,PRAHOVA,"CĂMIN CULTURAL GORNET-CRICOV",440,GORNET-CRICOV,133615,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:40:30",803,769,1,12,21,551,518,0,12,21,489,62,900,349,21,27,313,5,123
31,PRAHOVA,"CĂMIN CULTURAL ÎN SAT MEHEDINȚA",505,"PODENII NOI",134443,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:05:58",1393,1296,1,68,28,922,826,0,68,28,857,65,1400,478,68,33,178,14,564
31,PRAHOVA,"CĂMIN CULTURAL ÎN SAT VALEA DULCE",503,"PODENII NOI",134443,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:43",812,791,0,12,9,553,532,0,12,9,492,61,900,347,38,22,219,9,204
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA CIUPELNIŢA",403,DUMBRAVA,133090,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:26:38",1433,1406,0,6,21,780,753,0,6,21,705,75,1600,820,37,26,547,14,81
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA DUMBRAVA",401,DUMBRAVA,133090,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:37:51",1324,1304,1,1,18,781,762,0,1,18,704,77,1400,619,39,47,468,39,111
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA ZĂNOAGA",402,DUMBRAVA,133090,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:08:46",802,790,0,5,7,524,512,0,5,7,482,42,900,376,21,19,394,14,34
31,PRAHOVA,"CĂMIN CULTURAL LOLOIASCA, SAT LOLOIASCA, NR. 6V",597,TOMŞANI,135896,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:41:48",1225,1191,2,15,17,704,671,1,15,17,625,79,1300,596,29,46,128,10,412
31,PRAHOVA,"CAMIN CULTURAL PLEASA",358,BUCOV,130785,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:11",1326,1323,0,3,0,556,553,0,3,0,519,37,1400,844,21,32,372,15,79
31,PRAHOVA,"CAMIN CULTURAL PLEASA",357,BUCOV,130785,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:37:22",1236,1231,5,0,0,547,547,0,0,0,517,30,1400,853,37,31,330,21,98
31,PRAHOVA,"CǍMIN FILIPEŞTII DE TÎRG (SALĂ ȘEDINȚĂ VIDEOCLUB)",416,"FILIPEŞTII DE TÂRG",133214,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:43:33",1056,1038,2,10,6,559,543,0,10,6,497,62,1200,641,47,28,268,50,104
31,PRAHOVA,"CAMINUL CULTURAL",407,FÂNTÂNELE,133278,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:16:55",858,807,0,14,37,526,475,0,14,37,471,55,900,374,62,32,107,17,253
31,PRAHOVA,"CAMINUL CULTURAL",408,FÂNTÂNELE,133278,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:50",867,820,0,7,40,500,453,0,7,40,457,43,900,400,38,43,96,9,271
31,PRAHOVA,"CAMINUL CULTURAL",543,SĂLCIILE,135146,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:05:45",844,700,0,90,54,604,462,0,90,52,516,88,800,196,50,30,259,4,173
31,PRAHOVA,"CĂMINUL CULTURAL",461,LAPOŞ,133919,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:51:22",930,908,0,22,0,611,589,0,22,0,503,108,1000,389,101,25,230,7,140
31,PRAHOVA,"CĂMINUL CULTURAL",460,JUGURENI,133866,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:56:19",469,394,1,36,38,342,268,0,36,38,312,30,400,58,12,15,84,3,198
31,PRAHOVA,"CĂMINUL CULTURAL ARICEȘTII RAHTIVANI, NR. 527A",297,"ARICEŞTII RAHTIVANI",132075,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:27:54",1105,1079,0,8,18,694,668,0,8,18,613,81,1200,506,105,45,309,38,116
31,PRAHOVA,"CĂMINUL CULTURAL BOBOLIA",510,"POIANA CÂMPINA",131274,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 17:38:35",883,877,0,5,1,606,600,0,5,1,571,35,1000,394,29,45,418,15,64
31,PRAHOVA,"CAMINUL CULTURAL CALINESTI",425,FLOREŞTI,133330,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:28:50",1107,1095,0,11,1,627,615,0,11,1,589,38,1200,573,54,59,215,18,243
31,PRAHOVA,"CĂMINUL CULTURAL DIN SATUL POSEŞTII-PĂMÂNTENI",516,POSEŞTI,134648,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:13:54",660,644,0,7,9,395,379,0,7,9,326,69,700,305,40,19,86,24,157
31,PRAHOVA,"CAMINUL CULTURAL FULGA DE JOS",427,FULGA,133394,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:32:52",1202,1180,1,6,15,695,673,1,6,15,575,120,1300,605,85,34,103,30,323
31,PRAHOVA,"CAMINUL CULTURAL GAGENI",497,PĂULEŞTI,130847,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:00:13",1122,1109,0,12,1,592,579,0,12,1,540,52,1200,608,45,26,270,31,168
31,PRAHOVA,"CĂMINUL CULTURAL ”GEO BOGZA”, SAT PLOIEȘTIORI, NR. 174 B",336,BLEJOI,130678,6,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:29:25",1906,1866,19,20,1,787,766,0,20,1,744,43,2000,1213,56,39,283,105,261
31,PRAHOVA,"CĂMINUL CULTURAL GORNET",437,GORNET,133562,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:02",971,955,0,4,12,689,673,0,4,12,618,71,1100,411,34,50,166,16,352
31,PRAHOVA,"CĂMINUL CULTURAL, NR. 212",443,"GURA VADULUI",133688,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:24:48",1137,1114,0,3,20,623,600,0,3,20,520,103,1200,577,38,37,238,83,124
31,PRAHOVA,"CAMINUL CULTURAL -SALA MARE PARTER,COM.BERCENI,SAT DIMBU,STR.PLOPULUI,NR.73 A,",328,BERCENI,130614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:13",393,384,0,9,0,206,197,0,9,0,201,5,400,194,16,13,120,4,48
31,PRAHOVA,"CĂMINUL CULTURAL STREJNICU",580,"TÂRGŞORU VECHI",130892,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:04",956,925,1,30,0,511,481,0,30,0,470,41,1000,489,26,28,305,31,80
31,PRAHOVA,"CĂMINUL CULTURAL TINOSU, LOCALITATEA TINOSU",592,TINOSU,135850,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:21:52",920,916,1,2,1,494,491,0,2,1,442,52,1000,506,27,57,194,53,111
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",42,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:51:03",1481,1477,0,3,1,483,479,0,3,1,466,17,1600,1094,28,30,265,37,106
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",41,"MUNICIPIUL PLOIEŞTI",130534,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:51",1445,1438,0,7,0,435,428,0,7,0,423,12,1600,1165,21,22,242,29,109
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",43,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:09:09",1291,1284,1,6,0,480,474,0,6,0,460,20,1400,920,19,32,276,43,90
31,PRAHOVA,"CASA CORPULUI DIDACTIC",51,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:18:27",1117,1103,1,13,0,383,370,0,13,0,375,8,1200,817,26,23,216,32,78
31,PRAHOVA,"CASA CORPULUI DIDACTIC",52,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:27:03",864,851,1,11,1,322,310,0,11,1,314,8,900,578,15,18,157,31,93
31,PRAHOVA,"CASA DE CULTURĂ (FOAIER)",277,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:35",1123,1116,0,7,0,480,473,0,7,0,441,39,1200,720,29,29,87,68,228
31,PRAHOVA,"CASA DE CULTURĂ ”GEO BOGZA”- (HOL)",158,"MUNICIPIUL CÂMPINA",131256,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:47",1360,1341,1,17,1,581,563,0,17,1,546,35,1500,919,96,40,208,81,121
31,PRAHOVA,"CASA DE CULTURA LILIESTI",193,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:32",1400,1368,1,10,21,695,664,0,10,21,633,62,1500,805,60,71,127,37,338
