precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG (AMT - EMSZ)-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
33,SĂLAJ,"AFTER SCHOOL CHECHIŞ",79,BĂLAN,140146,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:16:23",597,491,0,86,20,406,300,0,86,20,387,19,540,134,160,133,7,40,15,1,0,8,21,2
33,SĂLAJ,"AFTER SCHOOL ȘĂRMĂȘAG",288,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:08:11",834,815,0,7,12,426,407,0,7,12,404,22,918,492,20,16,0,0,4,343,13,3,4,1
33,SĂLAJ,"CAMIN CULTURAL",158,GÂLGĂU,141134,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:07:04",153,121,0,23,9,114,82,0,23,9,110,4,150,36,11,88,1,1,4,0,0,0,4,1
33,SĂLAJ,"CAMIN CULTURAL",156,GÂLGĂU,141134,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:39",394,370,0,18,6,235,211,0,18,6,223,12,400,165,32,145,6,5,20,0,0,5,7,3
33,SĂLAJ,"CĂMIN CULTURAL",285,ŞAMŞUD,142854,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:19:33",941,907,0,3,31,483,449,0,3,31,447,36,1028,545,17,8,1,0,5,411,2,1,1,1
33,SĂLAJ,"CĂMIN CULTURAL AGRIJ",65,AGRIJ,139937,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:04:38",836,807,1,12,16,548,520,0,12,16,505,43,880,332,183,208,9,13,20,3,0,34,13,22
33,SĂLAJ,"CAMIN CULTURAL BAN, NR. 55",84,BĂNIŞOR,140208,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:34:32",373,361,0,6,6,236,225,0,6,5,210,26,400,164,90,63,7,17,12,4,0,5,11,1
33,SĂLAJ,"CAMIN CULTURAL HOROATU CRASNEI",187,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:16",792,731,0,38,23,519,458,0,38,23,489,30,810,291,189,74,24,2,16,94,27,5,53,5
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:50",414,325,0,88,1,287,198,0,88,1,270,17,400,113,142,84,11,3,2,1,1,3,22,1
33,SĂLAJ,"CAMIN CULTURAL SANGEORGIU DE MESES",101,BUCIUMI,140379,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:37:32",259,226,0,28,5,174,141,0,28,5,144,30,250,76,68,44,3,6,5,7,0,3,5,3
