precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL CIVIC MAGHIAR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
32,"SATU MARE","AFTER SCHOOL, MARTINESTI NR. 51",244,ODOREU,138280,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 17:50:31",753,738,2,9,4,360,347,0,9,4,342,18,830,470,4,5,37,138,17,31,14,88,8
32,"SATU MARE","ASOCIAŢIA CARITAS SATU MARE CANTRUL SOCIAL DESCHIS LA CASA PRIETENIEI",3,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:40:54",1051,1036,1,11,3,400,386,0,11,3,383,17,1200,800,2,6,52,86,10,52,12,149,14
32,"SATU MARE","ASOCIAŢIA JUDEŢEANĂ DE FOTBAL ( ŞC. NR.15 )",47,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 17:55:13",1746,1722,11,10,3,828,814,1,10,3,793,35,1900,1072,3,2,56,84,23,44,12,556,13
32,"SATU MARE","BIBLIOTECA ARDUD",90,"ORAŞ ARDUD",136848,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:13:28",2012,1985,4,7,16,849,825,1,7,16,741,108,2000,1151,6,0,16,202,14,208,6,288,1
32,"SATU MARE","BOINESTI SCOALA GENERALA",146,BIXAD,137069,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:58:52",1434,1390,0,19,25,598,554,0,19,25,533,65,1540,942,2,1,20,403,12,52,7,4,32
32,"SATU MARE","CAMIN CULTURAL",267,POMI,138618,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 20:59:23",118,103,0,12,3,92,77,0,12,3,85,7,108,16,0,1,3,10,9,17,36,2,7
32,"SATU MARE","CAMIN CULTURAL",266,POMI,138618,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:01:47",98,56,0,40,2,81,39,0,40,2,70,11,100,19,0,0,2,11,20,19,13,0,5
32,"SATU MARE","CAMIN CULTURAL",119,ACÂŞ,136713,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:54:28",1530,1520,3,7,0,915,907,1,7,0,752,163,1635,720,34,2,4,271,12,25,4,384,16
32,"SATU MARE","CAMIN CULTURAL",171,CEHAL,137363,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:49:28",507,490,1,9,7,331,314,1,9,7,311,20,550,219,3,0,1,56,1,30,2,217,1
32,"SATU MARE","CĂMIN CULTURAL",256,PĂULEŞTI,138431,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:02:09",640,626,1,8,5,370,356,1,8,5,353,17,693,323,23,0,2,116,1,29,2,177,3
32,"SATU MARE","CAMIN CULTURAL ATEA",198,DOROLŢ,137675,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:55:04",326,314,0,4,8,197,185,0,4,8,179,18,350,153,20,0,0,9,2,4,0,137,7
32,"SATU MARE","CĂMIN CULTURAL BORLEŞTI",268,POMI,138618,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:36:30",678,589,1,75,13,452,363,1,75,13,405,47,628,176,2,2,8,109,201,37,21,3,22
32,"SATU MARE","CAMIN CULTURAL CHEGEA",283,SĂCĂŞENI,138770,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:28",146,129,0,14,3,101,84,0,14,3,91,10,186,85,0,0,28,8,25,14,7,8,1
32,"SATU MARE","CĂMIN CULTURAL COMLĂUȘA",132,BĂTARCI,136919,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:22:50",887,872,0,11,4,399,384,0,11,4,374,25,900,501,3,3,1,240,5,33,19,3,67
32,"SATU MARE","CĂMIN CULTURAL DACIA",194,DOBA,137611,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:17",144,136,0,8,0,84,76,0,8,0,80,4,150,66,0,0,2,26,5,29,11,1,6
32,"SATU MARE","CAMIN CULTURAL NOU",218,LAZURI,137960,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:52:57",1378,1356,1,3,18,742,721,0,3,18,713,29,1500,758,5,2,10,49,6,45,7,579,10
32,"SATU MARE","CĂMIN CULTURAL PĂULEȘTI",252,PĂULEŞTI,138431,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:18:43",1541,1510,5,26,0,845,819,0,26,0,816,29,1667,822,5,5,68,388,29,95,29,179,18
32,"SATU MARE","CAMIN CULTURAL PETEA",200,DOROLŢ,137675,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:27:31",346,334,2,4,6,207,197,0,4,6,178,29,382,175,11,1,2,12,5,10,2,125,10
32,"SATU MARE","CĂMIN CULTURAL POMI",269,POMI,138618,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:47",834,738,1,54,41,546,450,1,54,41,508,38,800,254,1,1,12,200,88,61,47,16,82
32,"SATU MARE","CĂMIN CULTURAL SAT HOREA",277,SANISLĂU,138663,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:08:53",123,117,0,6,0,70,64,0,6,0,64,6,128,58,1,0,3,24,12,10,1,7,6
32,"SATU MARE","CĂMIN CULTURAL SAT MARNA NOUĂ",278,SANISLĂU,138663,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:42:31",286,279,2,5,0,108,103,0,5,0,98,10,310,202,0,1,1,30,19,26,2,5,14
32,"SATU MARE","CĂMIN CULTURAL SECHEREȘA",298,SUPUR,138921,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:21:48",62,54,0,8,0,38,30,0,8,0,35,3,100,62,1,0,0,4,2,4,1,21,2
32,"SATU MARE","CAMIN CULTURAL SOCONZEL",290,SOCOND,138869,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:24:27",272,214,0,39,19,206,148,0,39,19,201,5,256,50,1,13,4,152,2,25,1,3,0
32,"SATU MARE","CĂMIN CULTURAL TRAIAN",196,DOBA,137611,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:59:44",176,166,0,9,1,91,81,0,9,1,90,1,201,110,3,2,6,28,3,16,7,6,19
32,"SATU MARE","CAMIN CULTURAL URZICENI",321,URZICENI,139250,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:42:21",1093,1064,2,8,19,663,636,0,8,19,606,57,1150,487,8,0,10,11,38,10,1,516,12
32,"SATU MARE","CĂMIN CULTURAL URZICENI PĂDURE",322,URZICENI,139250,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:02:44",168,149,10,7,2,89,79,1,7,2,76,13,212,123,0,0,0,1,50,4,0,20,1
32,"SATU MARE","CAMINUL CULTURAL",237,MOFTIN,138208,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:33:22",1033,1004,1,12,16,593,564,1,12,16,542,51,1100,507,5,3,11,81,46,215,9,136,36
32,"SATU MARE","CAMINUL CULTURAL",195,DOBA,137611,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:47:58",417,411,0,5,1,226,220,0,5,1,208,18,450,224,2,1,10,86,28,31,23,11,16
32,"SATU MARE","CĂMINUL CULTURAL",168,CĂUAŞ,137292,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:05:55",121,108,0,13,0,68,55,0,13,0,58,10,120,52,0,0,3,11,3,8,4,22,7
32,"SATU MARE","CĂMINUL CULTURAL",169,CĂUAŞ,137292,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:00:21",151,138,0,13,0,84,71,0,13,0,74,10,150,66,2,0,21,18,7,12,2,3,9
32,"SATU MARE","CĂMINUL CULTURAL",170,CĂUAŞ,137292,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:42:32",1061,1045,0,6,10,655,639,0,6,10,611,44,1117,462,6,0,17,69,10,86,9,393,21
32,"SATU MARE","CĂMINUL CULTURAL",178,CIUMEŞTI,179882,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:21:51",1158,1114,0,16,28,706,662,0,16,28,599,107,1219,513,109,2,1,17,4,32,3,419,12
32,"SATU MARE","CĂMINUL CULTURAL BABA NOVAC",91,"ORAŞ ARDUD",136848,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:55",484,465,0,18,1,246,227,0,18,1,237,9,500,254,0,0,4,135,9,39,7,6,37
