precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST SOCIALIST ROMÂN-voturi","PARTIDUL VERDE-voturi"
35,SUCEAVA,"AGENŢIA PENTRU PROTECŢIA MEDIULUI",36,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:39:34",2064,2024,1,8,31,801,762,0,8,31,784,17,2300,1499,149,265,148,49,8,87,20,15,25,18
35,SUCEAVA,"ATELIER ZONĂ CFR",43,"MUNICIPIUL SUCEAVA",146263,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:26:20",1530,1517,0,13,0,314,301,0,13,0,309,5,1700,1386,55,92,68,19,8,34,7,10,15,1
35,SUCEAVA,"ATENEU DUMBRAVENI",296,DUMBRĂVENI,148426,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:49:19",1623,1618,0,5,0,705,700,0,5,0,652,53,1800,1095,37,139,402,26,5,9,6,14,9,5
35,SUCEAVA,"BAZA SPORTIVĂ ”STRĂPUC LAURENŢIU”",142,"ORAŞ DOLHASCA",148006,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:53:19",1004,997,0,7,0,472,465,0,7,0,442,30,1110,638,28,214,94,30,7,19,2,6,37,5
35,SUCEAVA,"BIBLIOTECA ORĂȘENEASCĂ SIRET",184,"ORAŞ SIRET",146655,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:36:18",1310,1303,1,3,3,484,479,0,3,2,464,20,1500,1016,19,280,117,9,12,13,4,3,4,3
35,SUCEAVA,"CAMIN CULTURAL",454,"SATU MARE",150196,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:41:05",1162,1162,0,0,0,489,489,0,0,0,433,56,1200,711,33,175,127,13,11,25,2,4,40,3
35,SUCEAVA,"CAMIN CULTURAL",485,ŞCHEIA,146432,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:48",180,170,0,10,0,97,87,0,10,0,86,11,200,103,8,45,20,3,3,5,0,2,0,0
35,SUCEAVA,"CĂMIN CULTURAL",484,ŞCHEIA,146432,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:17:32",1956,1944,0,11,1,868,856,0,11,1,813,55,2140,1272,78,222,339,32,8,87,7,17,13,10
35,SUCEAVA,"CĂMIN CULTURAL",483,ŞCHEIA,146432,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:59:12",1384,1378,0,6,0,489,483,0,6,0,460,29,1500,1011,48,167,132,25,2,64,1,7,10,4
35,SUCEAVA,"CĂMIN CULTURAL",482,ŞCHEIA,146432,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:41",916,909,2,4,1,354,349,0,4,1,347,7,1000,646,20,140,82,18,3,53,2,10,14,5
35,SUCEAVA,"CĂMIN CULTURAL BOTOŞANA",238,BOTOŞANA,147161,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:52:55",1072,1065,0,1,6,587,580,0,1,6,573,14,1200,613,28,447,86,3,1,3,2,2,0,1
35,SUCEAVA,"CAMIN CULTURAL BRASCA",367,ILIŞEŞTI,147660,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:11",320,310,0,10,0,189,179,0,10,0,176,13,400,211,10,95,42,3,3,13,1,0,8,1
