precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","BĂLAN LUCIAN-DANIEL-voturi"
38,TULCEA,"BIBLIOTECA JUDEŢEANĂ",37,"MUNICIPIUL TULCEA",159614,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:11:47",1368,1337,20,9,2,544,533,0,9,2,526,18,1495,951,14,20,150,38,184,45,11,6,43,2,13
38,TULCEA,"CAMIN CULTURAL",106,"CHILIA VECHE",160172,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:54:00",830,827,1,1,1,452,450,0,1,1,413,39,907,455,19,18,61,118,167,11,2,2,4,6,5
38,TULCEA,"CAMIN CULTURAL",105,"CHILIA VECHE",160172,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:00",811,810,0,1,0,459,458,0,1,0,419,40,888,429,12,33,53,140,152,9,4,1,4,6,5
38,TULCEA,"CAMIN CULTURAL",180,"SFÂNTU GHEORGHE",161231,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:58",719,694,2,2,21,540,516,1,2,21,503,37,765,225,28,15,233,5,148,59,4,3,2,2,4
38,TULCEA,"CĂMIN CULTURAL",143,LUNCAVIŢA,160680,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:49:03",1311,1294,2,10,5,575,560,0,10,5,501,74,1425,850,11,40,121,105,169,25,2,5,13,5,5
38,TULCEA,"CĂMIN CULTURAL",142,LUNCAVIŢA,160680,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:14:43",1626,1607,0,8,11,796,777,0,8,11,676,120,1767,971,14,29,132,151,303,10,4,3,17,8,5
38,TULCEA,"CĂMIN CULTURAL",115,DOROBANŢU,160323,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:26:49",363,345,0,8,10,204,186,0,8,10,188,16,384,180,6,15,80,6,74,1,0,2,1,3,0
38,TULCEA,"CĂMIN CULTURAL",113,DĂENI,160305,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:46:50",1664,1617,0,19,28,1054,1007,0,19,28,980,74,1785,731,17,28,334,2,575,6,1,3,5,4,5
38,TULCEA,"CAMIN CULTURAL FRECATEI",117,FRECĂŢEI,160387,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:11:49",1027,986,1,13,27,524,485,0,13,26,485,39,1090,566,70,19,248,4,106,18,12,2,3,0,3
38,TULCEA,"CĂMIN CULTURAL IAZURILE",202,"VALEA NUCARILOR",161482,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:19:28",679,666,0,3,10,337,324,0,3,10,313,24,731,394,11,6,132,30,115,5,2,2,4,0,6
38,TULCEA,"CĂMIN CULTURAL MURIGHIOL",156,MURIGHIOL,160911,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:37:08",1241,1227,2,7,5,731,719,0,7,5,685,46,1335,604,15,42,105,92,353,56,4,3,8,7,0
38,TULCEA,"CAMIN CULTURAL POSTA",119,FRECĂŢEI,160387,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:27:04",545,530,0,5,10,250,235,0,5,10,228,22,582,332,20,9,133,5,40,7,4,1,5,1,3
38,TULCEA,"CĂMIN CULTURAL SARINASUF",161,MURIGHIOL,160911,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:06",347,340,0,7,0,187,180,0,7,0,173,14,376,189,4,22,21,37,56,20,3,3,1,3,3
38,TULCEA,"CĂMIN CULTURAL TELIȚA",120,FRECĂŢEI,160387,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:22",474,444,3,14,13,230,204,0,14,12,220,10,487,257,25,6,113,20,35,9,3,2,2,3,2
38,TULCEA,"CAMINUL CULTURAL",83,BEIDAUD,159847,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:32:51",509,469,0,32,8,353,313,0,32,8,329,19,514,164,7,14,208,49,43,1,1,2,3,1,0
38,TULCEA,"CAMINUL CULTURAL",82,BEIDAUD,159847,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:45",402,381,0,19,2,266,245,0,19,2,236,30,413,147,19,5,132,18,48,2,2,3,2,3,2
38,TULCEA,"CAMINUL CULTURAL",172,PARDINA,161133,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:49:48",535,467,1,63,4,375,308,0,63,4,349,26,514,139,4,4,151,28,119,29,2,3,3,3,3
38,TULCEA,"CĂMINUL CULTURAL",200,"VALEA NUCARILOR",161482,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:24:18",807,788,2,7,10,458,440,1,7,10,410,48,885,427,10,13,178,72,115,6,3,4,5,1,3
38,TULCEA,"CĂMINUL CULTURAL",187,STEJARU,161348,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:59:20",673,514,0,147,12,567,408,0,147,12,525,39,656,89,36,5,166,2,302,5,1,1,0,1,6
38,TULCEA,"CĂMINUL CULTURAL",173,PECENEAGA,161151,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:02:43",1497,1389,1,12,95,971,865,0,11,95,878,93,1532,561,180,61,348,14,206,8,1,8,44,1,7
