precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-voturi","ALIANȚA PSD-PPU (sl)-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","BLOCUL UNITĂȚII NAȚIONALE-voturi","BRÂNCOVAN CRISTIAN TIBERIU-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",424,GIROC,155314,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:07:05",1996,1965,0,28,3,808,777,0,28,3,792,16,2100,1292,32,19,11,178,12,0,74,358,3,7,5,2,2,53,0,36
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",425,GIROC,155314,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:49:36",2015,1989,0,26,0,798,772,0,26,0,791,7,2100,1302,23,10,12,215,4,3,66,351,0,13,6,1,6,47,0,34
37,TIMIŞ,"BAZA DE AGREMENT ŞTRAND",234,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:18:41",1185,1176,1,8,0,467,459,0,8,0,457,10,1400,933,29,23,25,214,21,5,70,49,1,0,4,1,5,4,0,6
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",487,ORŢIŞOARA,158010,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:07:27",949,937,0,7,5,521,509,0,7,5,493,28,1100,579,28,16,135,135,6,12,71,55,3,6,2,0,9,2,2,11
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",502,PESAC,159507,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:16:56",942,889,4,21,28,504,455,2,21,26,434,70,1000,496,24,20,7,81,5,14,208,37,10,3,0,5,8,3,0,9
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:38:12",1245,1226,2,5,12,550,532,1,5,12,497,53,1400,850,40,33,12,192,1,7,111,80,4,5,1,2,0,4,1,4
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:16:48",788,715,59,13,1,321,306,1,13,1,316,5,800,479,10,9,3,81,21,1,37,129,0,2,0,2,4,8,0,9
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",429,GIULVĂZ,157317,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:52:41",350,343,0,7,0,169,162,0,7,0,145,24,402,233,28,8,2,52,2,0,17,23,2,5,1,0,3,0,0,2
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",430,GIULVĂZ,157317,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:41:08",487,483,0,4,0,208,204,0,4,0,188,20,498,290,12,12,4,35,7,7,31,58,3,5,1,2,4,5,0,2
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",402,GAVOJDIA,157031,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 20:52:25",584,561,0,7,16,316,293,0,7,16,303,13,600,284,6,5,8,212,2,1,30,20,1,4,3,2,4,5,0,0
