precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:16:22",555,502,0,49,4,378,325,0,49,4,343,35,550,172,132,6,174,0,5,2,9,14,1
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:39:17",593,464,0,49,80,593,464,0,49,80,587,6,750,157,317,7,234,4,7,10,5,3,0
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:34",1144,1064,1,20,59,702,623,0,20,59,649,53,1250,548,443,9,146,10,10,12,5,8,6
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:36:29",1373,1253,0,11,109,900,780,0,11,109,805,95,1370,470,114,2,622,4,16,6,3,0,38
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:51:16",706,669,0,29,8,465,428,0,29,8,445,20,740,275,298,2,120,2,2,3,8,2,8
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",330,VITĂNEŞTI,153776,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:03:50",598,548,0,14,36,397,347,0,14,36,370,27,650,253,186,17,148,5,5,3,2,2,2
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",331,VITĂNEŞTI,153776,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:35:28",777,682,1,25,69,466,371,1,25,69,447,19,750,284,283,0,164,0,0,0,0,0,0
36,TELEORMAN,"CĂMIN CULTURAL SCRIOAȘTEA",270,SCRIOAŞTEA,154013,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:30:53",1882,1810,0,53,19,1195,1123,0,53,19,1132,63,1990,795,705,27,274,4,25,31,9,22,35
36,TELEORMAN,"CĂMIN CULTURAL STEJARU",291,STEJARU,154415,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:33:47",633,554,0,46,33,442,363,0,46,33,425,17,620,178,29,0,338,0,0,1,4,1,52
36,TELEORMAN,"CĂMINUL CULTURAL",113,BRAGADIRU,152234,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:08:52",1005,955,0,9,41,612,563,0,9,40,577,35,1021,409,422,4,109,4,5,7,2,1,23
36,TELEORMAN,"CĂMINUL CULTURAL",120,BUJORU,152314,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:49:19",714,664,1,20,29,481,437,0,20,24,424,57,745,264,247,7,115,13,4,5,0,20,13
36,TELEORMAN,"CĂMINUL CULTURAL",184,ISLAZ,151736,2,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 15:28:28",1172,1142,2,2,26,694,666,0,2,26,625,69,1275,581,289,11,283,13,3,3,3,19,1
36,TELEORMAN,"CĂMINUL CULTURAL",242,PLOSCA,153605,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:26:05",1286,1261,0,18,7,795,770,0,18,7,741,54,1390,595,271,23,298,2,51,45,2,30,19
36,TELEORMAN,"CĂMINUL CULTURAL",314,TROIANUL,154790,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:07:37",73,55,0,11,7,54,36,0,11,7,52,2,70,16,35,1,9,0,1,4,1,1,0
36,TELEORMAN,"CĂMINUL CULTURAL",333,ZÂMBREASCA,154978,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:59",543,416,0,51,76,543,416,0,51,76,480,63,840,297,135,4,269,0,16,2,8,12,34
36,TELEORMAN,"CĂMINUL CULTURAL BALCI",92,BALACI,151996,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:29:38",830,762,0,29,39,513,445,0,29,39,451,62,820,307,202,12,114,4,13,27,5,38,36
36,TELEORMAN,"CĂMINUL CULTURAL BUJORENI",117,BUJORENI,152270,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:08",471,413,0,51,7,337,279,0,51,7,297,40,455,118,138,9,135,0,1,3,5,2,4
36,TELEORMAN,"CĂMINUL CULTURAL DIDEȘTI",155,DIDEŞTI,152724,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:09:48",1037,937,0,64,36,775,675,0,64,36,729,46,1030,255,355,16,138,0,7,29,0,3,181
36,TELEORMAN,"CĂMINUL CULTURAL DIN SATUL CRÂNGU",151,CRÂNGU,152662,4,PROV,PRCNCT,CJ,CJ_SV,"2020-10-01 13:54:42",1048,843,0,128,77,675,470,0,128,77,645,30,926,251,168,25,406,4,5,30,1,3,3
36,TELEORMAN,"CĂMINUL CULTURAL FLORICA",161,DRACEA,155109,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:43:09",188,163,0,6,19,134,109,0,6,19,123,11,180,46,103,0,15,1,2,0,0,1,1
36,TELEORMAN,"CĂMINUL CULTURAL FRUMOASA",174,FRUMOASA,152993,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 10:55:01",815,753,0,31,31,570,508,0,31,31,524,46,805,235,201,14,252,24,8,20,3,1,1
36,TELEORMAN,"CĂMINUL CULTURAL GĂRĂGĂU",322,VÂRTOAPE,154932,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:47",654,554,0,76,24,503,403,0,76,24,499,4,615,112,261,0,208,8,0,22,0,0,0
36,TELEORMAN,"CĂMINUL CULTURAL GURUIENI",200,MĂGURA,153240,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:25:48",804,762,0,16,26,549,507,0,16,26,514,35,845,296,118,13,340,4,5,26,5,1,2
36,TELEORMAN,"CĂMINUL CULTURAL MĂGURA",199,MĂGURA,153240,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:41:50",1487,1399,0,24,64,902,814,0,24,64,820,82,1545,643,164,20,506,4,1,112,4,6,3
36,TELEORMAN,"CĂMINUL CULTURAL PERETU",231,PERETU,153543,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:20:28",1316,1307,0,6,3,681,672,0,6,3,648,33,1440,759,240,7,240,9,71,52,9,7,13
36,TELEORMAN,"CĂMINUL CULTURAL PLOPI",99,BEUCA,155092,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:55",184,155,0,14,15,130,101,0,14,15,116,14,170,40,58,0,39,0,1,1,1,2,14
36,TELEORMAN,"CĂMINUL CULTURAL RĂDULEŞTI",154,CREVENICU,151932,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:44",457,420,0,19,18,344,307,0,19,18,318,26,460,116,186,2,100,7,3,10,3,4,3
36,TELEORMAN,"CĂMINUL CULTURAL RĂSMIREŞTI",259,RĂSMIREŞTI,153909,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:43:21",872,692,1,141,38,708,529,0,141,38,651,57,840,132,395,6,73,14,1,154,4,3,1
36,TELEORMAN,"CĂMINUL CULTURAL SILIŞTEA",282,SILIŞTEA,154228,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 12:41:05",1131,1053,0,49,29,859,781,0,49,29,799,60,1165,303,286,27,396,41,8,11,13,11,6
36,TELEORMAN,"CĂMINUL CULTURAL TECUCI",93,BALACI,151996,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:07",589,531,0,24,34,405,347,0,24,34,369,36,568,163,111,10,193,2,1,0,0,15,37
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE JOS",321,VÂRTOAPE,154932,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:00:59",941,711,1,205,24,777,548,0,205,24,690,87,785,8,307,0,370,13,0,0,0,0,0
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE SUS",320,VÂRTOAPE,154932,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:06:06",1036,807,0,192,37,811,582,0,192,37,722,89,890,79,342,16,330,9,7,11,4,0,3
36,TELEORMAN,"CASA DE CULTURĂ",51,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:33:53",1073,1063,0,9,1,370,360,0,9,1,362,8,1175,805,74,0,161,6,11,13,2,79,16
36,TELEORMAN,"CASA DE CULTURĂ A ORAȘULUI VIDELE",76,"ORAŞ VIDELE",151905,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:28:12",1494,1464,0,24,6,859,829,0,24,6,812,47,1620,761,242,20,325,18,143,11,4,32,17
36,TELEORMAN,"CENTRUL CULTURAL",40,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:23:17",1100,1086,0,9,5,410,396,0,9,5,386,24,1200,790,79,5,187,10,14,8,1,76,6
36,TELEORMAN,"CENTRUL DE ÎNGRIJIRE DE ZI PENTRU COPIII ÎN SITUAȚII DE RISC ÎN COMUNA DOBROTEȘTI",157,DOBROTEŞTI,152760,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:47:10",1304,1294,0,7,3,614,604,0,7,3,567,47,1425,811,370,4,84,8,38,14,1,42,6
36,TELEORMAN,"CENTRUL MEMORIAL ”MARIN PREDA”",285,SILIŞTEA-GUMEŞTI,154282,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:12:03",1140,1085,1,4,50,732,678,0,4,50,678,54,1255,523,287,10,145,75,4,35,3,3,116
36,TELEORMAN,"CLĂDIRE ADMINISTRATIVĂ BRÎNCENI",116,BRÂNCENI,152252,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 11:07:36",1663,1600,0,3,60,1121,1058,0,3,60,1039,82,1820,699,494,12,350,41,16,33,12,11,70
36,TELEORMAN,"CLĂDIREA FOSTA ȘCOALĂ GIMNAZIALĂ CIURARI",266,SĂCENI,153972,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:17:53",385,351,0,11,23,298,270,0,11,17,244,46,385,95,100,7,70,11,10,0,0,0,46
36,TELEORMAN,"CLĂDIREA ŞCOLII ELEMENTARE GRESIA",294,STEJARU,154415,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:29:32",114,85,0,24,5,102,73,0,24,5,97,3,120,18,9,1,73,1,0,0,2,1,10
36,TELEORMAN,"CLĂDIREA ŞCOLII GENERALE SOCETU",292,STEJARU,154415,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:21:41",706,621,0,48,37,508,423,0,48,37,467,41,680,172,22,13,369,2,2,5,2,2,50
36,TELEORMAN,"CLĂDIRE PRIMĂRIE FOSTA ŞCOALĂ CU CLASELE I-IV DOROBANŢU",149,CRÂNGENI,152617,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:57:22",217,212,0,2,3,137,132,0,2,3,127,10,230,93,56,2,15,1,40,9,2,2,0
36,TELEORMAN,"CLĂDIRE PRIMĂRIE FOSTA ŞCOALĂ CU CLASELE I-IV STEJARU",150,CRÂNGENI,152617,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:58:48",165,158,0,6,1,108,101,0,6,1,95,13,175,67,45,3,18,1,4,10,0,13,1
36,TELEORMAN,"CLĂDIRE PRIMĂRIE -FOSTA ŞCOALĂ CU CLASELE I-VIII BALTA SĂRATĂ",148,CRÂNGENI,152617,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:57:27",640,595,0,6,39,355,314,0,6,35,307,48,655,300,227,3,52,1,8,7,1,5,3
36,TELEORMAN,"CLĂDIRE PRIMĂRIE -FOST SEDIU CAP BĂCĂLEȘTI",134,"CĂLMĂŢUIU DE SUS",152467,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:06:52",852,756,1,50,45,581,485,1,50,45,517,64,830,249,161,22,309,0,4,3,7,4,7
36,TELEORMAN,"CLUBUL COPIILOR",44,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:05:48",1365,1352,0,7,6,509,496,0,7,6,485,24,1500,991,110,6,193,12,17,29,1,112,5
