precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","MILITARU IONEL-voturi"
40,VÂLCEA,"ANEXĂ PRIMĂRIE",303,MILCOIU,171469,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:22:38",257,212,0,18,27,176,131,0,18,27,138,38,260,84,9,34,66,3,24,0,0,0,0,1,1,0,0
40,VÂLCEA,"CĂMIN CULTURAL(FOSTUL CĂMIN CULTURAL DIN CURTEA PRIMĂRIEI)",319,ORLEŞTI,171879,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:50:40",1502,1478,1,1,22,814,790,1,1,22,726,88,1650,836,14,261,379,19,9,3,9,5,1,5,16,2,3
40,VÂLCEA,"CĂMIN CULTURAL GREBLEŞTI",188,CÂINENI,169119,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:47:12",714,556,0,145,13,535,377,0,145,13,494,41,610,75,9,167,257,0,1,5,6,2,3,2,39,2,1
40,VÂLCEA,"CĂMIN CULTURAL SINEȘTI",366,SINEŞTI,172992,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:44:31",752,660,0,65,27,497,405,0,65,27,472,25,860,363,5,153,271,5,4,4,16,1,1,3,5,1,3
40,VÂLCEA,"CĂMIN CULTURAL VOICEŞTI",427,VOICEŞTI,174218,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:27:02",1324,1234,1,34,55,943,853,1,34,55,904,39,1390,447,6,419,441,14,1,3,5,3,2,2,5,1,2
40,VÂLCEA,"CĂMINUL CULTURAL BALOTA",348,RACOVIŢA,172509,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:43:41",329,315,0,13,1,214,200,0,13,1,190,24,350,136,1,45,45,1,0,93,2,1,1,0,1,0,0
40,VÂLCEA,"CĂMINUL CULTURAL BĂRBĂTEŞTI",164,BĂRBĂTEŞTI,168559,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:20",1254,1245,0,7,2,677,668,0,7,2,630,47,1370,693,15,415,63,8,4,7,11,0,5,9,89,3,1
40,VÂLCEA,"CĂMINUL CULTURAL BÂRLOGU",378,STOENEŞTI,173230,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:07:10",297,276,0,21,0,221,200,0,21,0,212,9,300,79,1,36,142,2,5,1,14,0,0,2,6,2,1
40,VÂLCEA,"CĂMINUL CULTURAL BOGDĂNEȘTI",415,TOMŞANI,173935,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:59",595,588,0,5,2,411,404,0,5,2,371,40,650,239,6,139,187,8,5,0,14,0,1,1,5,1,4
40,VÂLCEA,"CĂMINUL CULTURAL CĂLINEŞTI",136,"ORAŞ BREZOI",167794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:20:46",555,543,0,12,0,278,266,0,12,0,253,25,600,322,5,144,56,2,5,3,9,8,2,1,14,3,1
40,VÂLCEA,"CĂMINUL CULTURAL CREMENARI",239,GALICEA,169994,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:57:25",348,336,0,10,2,237,225,0,10,2,225,12,370,133,5,167,26,5,5,2,4,1,0,1,2,1,6
40,VÂLCEA,"CAMINUL CULTURAL DIANU",388,STROEŞTI,173533,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:34",415,399,0,7,9,246,230,0,7,9,207,39,450,204,2,88,82,5,7,2,1,0,2,1,7,8,2
40,VÂLCEA,"CĂMINUL CULTURAL DÎNGEŞTI",167,BERISLĂVEŞTI,168675,6,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:58:45",277,253,0,11,13,185,161,0,11,13,184,1,287,102,1,135,40,1,3,1,0,0,1,0,1,1,0
40,VÂLCEA,"CĂMINUL CULTURAL DOBRICENI",379,STOENEŞTI,173230,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:58",1019,1010,0,9,0,603,594,0,9,0,549,54,1110,507,3,126,378,10,12,0,2,2,0,5,9,2,0
40,VÂLCEA,"CĂMINUL CULTURAL DRĂGANI",424,"VALEA MARE",174085,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:55",465,434,3,27,1,282,254,0,27,1,260,22,480,198,0,119,98,5,7,2,11,1,3,0,14,0,0
40,VÂLCEA,"CĂMINUL CULTURAL FOLEȘTII DE JOS",414,TOMŞANI,173935,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:30",678,669,0,9,0,406,397,0,9,0,366,40,740,334,15,204,116,6,5,2,8,3,0,2,2,1,2
40,VÂLCEA,"CĂMINUL CULTURAL FUMURENI",278,LUNGEŞTI,170952,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:51:53",564,533,0,15,16,347,316,0,15,16,315,32,580,233,13,81,95,1,1,4,15,0,3,3,94,5,0
40,VÂLCEA,"CĂMINUL CULTURAL GALICEA",233,GALICEA,169994,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:47:38",580,563,0,5,12,580,563,0,5,12,549,31,1030,450,3,337,134,16,3,3,19,2,1,5,22,3,1
40,VÂLCEA,"CĂMINUL CULTURAL GHIOROIU",241,GHIOROIU,170097,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:58:34",496,449,0,29,18,338,291,0,29,18,300,38,510,172,15,115,107,30,2,1,20,1,2,5,0,2,0
40,VÂLCEA,"CĂMINUL CULTURAL GURA VĂII",182,BUJORENI,168880,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:29:48",1168,1148,1,10,9,634,615,0,10,9,591,43,1270,636,8,226,127,12,14,20,26,5,3,18,106,23,3
40,VÂLCEA,"CĂMINUL CULTURAL GUŞOIANCA",255,GUŞOENI,170444,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:41:57",480,462,0,4,14,324,308,0,4,12,303,21,510,186,11,184,93,2,0,0,3,4,2,1,0,1,2
40,VÂLCEA,"CĂMINUL CULTURAL IZVORU RECE",418,VAIDEENI,174021,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:53:54",642,610,2,5,25,421,391,0,5,25,389,32,700,279,5,195,134,7,12,1,9,1,3,2,5,15,0
40,VÂLCEA,"CĂMINUL CULTURAL MĂGURA",295,MIHĂEŞTI,171325,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:46:31",748,735,0,13,0,423,410,0,13,0,406,17,810,387,8,214,92,4,2,2,68,1,0,1,10,2,2
40,VÂLCEA,"CĂMINUL CULTURAL MARIŢA",419,VAIDEENI,174021,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:38:20",484,463,0,16,5,284,263,0,16,5,258,26,510,226,4,161,59,0,1,4,1,8,5,0,4,11,0
40,VÂLCEA,"CÃMINUL CULTURAL MITROFANI",305,MITROFANI,174520,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:10:29",576,541,0,17,18,412,377,0,17,18,395,17,620,208,9,233,126,6,2,2,4,1,4,1,5,2,0
40,VÂLCEA,"CĂMINUL CULTURAL MLĂCENI",331,PERIŞANI,172153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:14:17",433,430,0,3,0,274,271,0,3,0,239,35,470,196,7,40,149,4,5,0,20,6,4,0,0,3,1
40,VÂLCEA,"CĂMINUL CULTURAL OTEŞANI",321,OTEŞANI,171931,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:36:39",1111,1080,0,7,24,630,599,0,7,24,561,69,1190,560,11,213,273,28,8,2,7,1,1,2,11,1,3
