precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA PARTIDUL NAȚIONAL LIBERAL - UNIUNEA SALVAȚI ROMÂNIA - PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE (PNL-USR-PLUS)-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:53:27",1438,1422,3,13,0,544,531,0,13,0,531,13,1590,1046,17,171,34,22,270,17
41,VRANCEA,"BIBLIOTECA JUDEŢEANĂ ”DUILIU ZAMFIRESCU”",3,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 20:57:43",1468,1458,0,10,0,656,646,0,10,0,636,20,1600,944,25,227,22,27,308,27
41,VRANCEA,"BIBLIOTECA JUDEŢEANĂ ”DUILIU ZAMFIRESCU”",4,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:51:08",1310,1296,4,10,0,520,510,0,10,0,496,24,1450,930,20,146,15,23,269,23
41,VRANCEA,"BIBLIOTECA ORASENEASCA ”ANA GEORGESCU”",84,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:55:27",1529,1498,4,10,17,789,764,0,10,15,736,53,1690,901,21,433,17,6,235,24
41,VRANCEA,"BIROU ASISTENŢĂ",292,TĂNĂSOAIA,177879,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:29:02",573,545,0,10,18,345,317,0,10,18,319,26,630,285,143,134,1,6,25,10
41,VRANCEA,"CAMIN CULTURAL",291,TĂNĂSOAIA,177879,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:17:37",738,694,0,14,30,492,448,0,14,30,447,45,810,318,27,220,4,7,181,8
41,VRANCEA,"CAMIN CULTURAL",287,STRĂOANE,177799,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:57",814,800,0,9,5,460,446,0,9,5,432,28,880,420,10,242,23,27,113,17
41,VRANCEA,"CAMIN CULTURAL",118,BROŞTENI,175466,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:37:39",1369,1364,1,2,2,720,715,1,2,2,668,52,1510,790,36,258,23,8,321,22
41,VRANCEA,"CĂMIN CULTURAL",126,CÂRLIGELE,175732,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:44:16",1093,1075,0,9,9,505,487,0,9,9,486,19,1200,695,13,313,13,5,125,17
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",219,NĂNEŞTI,176855,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:19:33",565,528,0,4,33,284,247,0,4,33,250,34,630,346,25,162,5,3,50,5
