county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-mandate-faza-1","PARTIDUL REPUBLICAN DIN ROMÂNIA-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","MIŞCA TEODOR-voturi","MIŞCA TEODOR-mandate-faza-1","MIŞCA TEODOR-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","DINGA RELU-MIRCEA-voturi","DINGA RELU-MIRCEA-mandate-faza-1","DINGA RELU-MIRCEA-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","ALIANȚA ELECTORALĂ PRO DOROBANȚI-voturi","ALIANȚA ELECTORALĂ PRO DOROBANȚI-mandate-faza-1","ALIANȚA ELECTORALĂ PRO DOROBANȚI-mandate-faza-2","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-2","POP VICTOR-GHEORGHE-voturi","POP VICTOR-GHEORGHE-mandate-faza-1","POP VICTOR-GHEORGHE-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","TERETEAN ADRIAN-voturi","TERETEAN ADRIAN-mandate-faza-1","TERETEAN ADRIAN-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL NOUA DREAPTĂ-voturi","PARTIDUL NOUA DREAPTĂ-mandate-faza-1","PARTIDUL NOUA DREAPTĂ-mandate-faza-2","PARTIDUL ARĂDENILOR-voturi","PARTIDUL ARĂDENILOR-mandate-faza-1","PARTIDUL ARĂDENILOR-mandate-faza-2","PLATFORMA SOCIAL-LIBERAL CREȘTINĂ-voturi","PLATFORMA SOCIAL-LIBERAL CREȘTINĂ-mandate-faza-1","PLATFORMA SOCIAL-LIBERAL CREȘTINĂ-mandate-faza-2","PARTIDUL COMUNIȘTILOR-voturi","PARTIDUL COMUNIȘTILOR-mandate-faza-1","PARTIDUL COMUNIȘTILOR-mandate-faza-2","SAJGÓ ROBERT-FLAVIUS-voturi","SAJGÓ ROBERT-FLAVIUS-mandate-faza-1","SAJGÓ ROBERT-FLAVIUS-mandate-faza-2","GRAMA SORIN-ADIN-voturi","GRAMA SORIN-ADIN-mandate-faza-1","GRAMA SORIN-ADIN-mandate-faza-2","ASAFTEI CRISTIAN-DAN-voturi","ASAFTEI CRISTIAN-DAN-mandate-faza-1","ASAFTEI CRISTIAN-DAN-mandate-faza-2","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-2","MOŢ VASILE-voturi","MOŢ VASILE-mandate-faza-1","MOŢ VASILE-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-mandate-faza-1","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-mandate-faza-2","PARTIDUL PRO ROMÂNIA-mandate-g9","RUS IRINA-voturi","RUS IRINA-mandate-faza-1","RUS IRINA-mandate-faza-2","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-1","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-2","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-voturi","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2","REZBAN IONEL-voturi","REZBAN IONEL-mandate-faza-1","REZBAN IONEL-mandate-faza-2","CRÎSTA IOAN-VIOREL-voturi","CRÎSTA IOAN-VIOREL-mandate-faza-1","CRÎSTA IOAN-VIOREL-mandate-faza-2","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-voturi","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-mandate-faza-1","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-g9","ALIANȚA USR PLUS-mandate-g9","MAGHICI MEDREA-voturi","MAGHICI MEDREA-mandate-faza-1","MAGHICI MEDREA-mandate-faza-2","UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA-voturi","UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA-mandate-faza-1","UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA-mandate-faza-2","SAS BUJOR-voturi","SAS BUJOR-mandate-faza-1","SAS BUJOR-mandate-faza-2","HĂJDĂŢAN ROMEO-voturi","HĂJDĂŢAN ROMEO-mandate-faza-1","HĂJDĂŢAN ROMEO-mandate-faza-2"
2,ARAD,ALMAŞ,9743,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:36:57",2178,2064,6,47,61,1389,1279,2,47,61,1325,64,2302,913,66,92,106,106,106,1,0,591,5,1,36,0,0,221,2,0,46,0,0,249,2,0,11,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,APATEU,9798,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:20:31",2913,2736,1,43,133,1987,1810,1,43,133,1869,118,3067,1080,93,130,149,141,34,0,0,791,5,1,0,0,0,766,5,0,94,0,1,0,0,0,0,0,0,0,0,0,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,ARCHIŞ,9832,2,FINAL,UAT,CL,CL_CE,"2020-10-01 19:29:43",1303,1173,2,88,40,1039,911,0,88,40,989,50,1338,299,49,69,79,101,41,0,0,294,2,1,0,0,0,476,4,1,50,0,0,33,0,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BÂRSA,10051,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:19:25",1546,1450,4,56,36,994,902,1,55,36,963,31,1627,633,48,67,77,83,116,1,0,481,5,1,0,0,0,268,3,0,52,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BÂRZAVA,10104,1,FINAL,UAT,CL,CL_CE,"2020-10-01 11:50:46",2263,2011,5,175,72,1644,1397,1,175,71,1581,63,2267,623,79,110,126,126,61,0,0,516,4,0,0,0,0,878,6,1,52,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BATA,9887,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:57:13",874,817,1,46,10,528,471,1,46,10,495,33,920,392,24,34,39,52,68,1,0,205,3,1,0,0,0,108,2,0,20,0,0,56,1,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BELIU,9930,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:31:52",2539,2353,4,102,80,1761,1577,2,102,80,1672,89,2718,956,83,117,133,132,138,1,0,808,6,0,49,0,0,310,2,0,110,0,1,88,0,0,0,0,0,0,0,0,0,0,0,53,0,0,22,0,0,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BIRCHIŞ,10006,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:50:30",1487,1450,0,28,9,765,728,0,28,9,710,55,1618,853,35,49,56,60,91,1,0,232,3,1,0,0,0,216,3,1,121,2,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BOCSIG,10195,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:06:35",2745,2658,1,53,33,1732,1646,0,53,33,1637,95,2987,1255,81,114,130,107,103,0,1,722,6,1,135,1,0,432,4,0,41,0,0,64,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BRAZII,10239,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:06:02",1040,922,1,91,26,809,692,0,91,26,770,39,1076,267,38,53,61,79,64,0,1,376,4,1,25,0,0,157,1,1,63,0,1,32,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BUTENI,10293,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:46:15",2831,2621,6,71,133,2039,1834,3,71,131,1938,101,3025,986,96,135,155,138,170,1,1,969,7,0,0,0,0,547,3,1,52,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
