county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","ALIANȚA USR PLUS BRĂILA-voturi","ALIANȚA USR PLUS BRĂILA-mandate-faza-1","ALIANȚA USR PLUS BRĂILA-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","PARTIDUL BRĂILA NOUĂ-voturi","PARTIDUL BRĂILA NOUĂ-mandate-faza-1","PARTIDUL BRĂILA NOUĂ-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","TĂTĂRUŞ IONEL-voturi","TĂTĂRUŞ IONEL-mandate-faza-1","TĂTĂRUŞ IONEL-mandate-faza-2","URSE NICOLETA-voturi","URSE NICOLETA-mandate-faza-1","URSE NICOLETA-mandate-faza-2","SARIVAN MARIAN-CIPRIAN-voturi","SARIVAN MARIAN-CIPRIAN-mandate-faza-1","SARIVAN MARIAN-CIPRIAN-mandate-faza-2","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-faza-1","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-mandate-faza-1","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","CĂPĂŢÎNĂ DAN-voturi","CĂPĂŢÎNĂ DAN-mandate-faza-1","CĂPĂŢÎNĂ DAN-mandate-faza-2","CIUCAŞU VIOREL-voturi","CIUCAŞU VIOREL-mandate-faza-1","CIUCAŞU VIOREL-mandate-faza-2","LUNGU DĂNUŢ-IONUŢ-voturi","LUNGU DĂNUŢ-IONUŢ-mandate-faza-1","LUNGU DĂNUŢ-IONUŢ-mandate-faza-2","ANTOHI ADRIAN-GABRIEL-voturi","ANTOHI ADRIAN-GABRIEL-mandate-faza-1","ANTOHI ADRIAN-GABRIEL-mandate-faza-2","SACHELARIE CLAUDIU-GIGEL-voturi","SACHELARIE CLAUDIU-GIGEL-mandate-faza-1","SACHELARIE CLAUDIU-GIGEL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","ANTON SORIN-VALENTIN-voturi","ANTON SORIN-VALENTIN-mandate-faza-1","ANTON SORIN-VALENTIN-mandate-faza-2","MUNTEANU ISPAS-VIOREL-voturi","MUNTEANU ISPAS-VIOREL-mandate-faza-1","MUNTEANU ISPAS-VIOREL-mandate-faza-2"
9,BRĂILA,BĂRĂGANUL,42824,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:05:08",2497,2485,0,10,2,1401,1389,0,10,2,1316,85,2741,1340,65,92,105,111,550,4,1,500,4,0,180,1,1,14,0,0,39,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,"BERTEŞTII DE JOS",42842,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:54:27",2440,2428,1,11,0,1356,1345,0,11,0,1215,141,2663,1307,60,85,97,89,366,4,0,700,7,1,43,0,0,0,0,0,97,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,"BORDEI VERDE",42913,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:42:31",2108,2034,0,22,52,1177,1104,0,22,51,1106,71,2242,1065,55,77,88,97,915,9,0,0,0,0,0,0,0,0,0,0,162,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,CAZASU,44560,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:39:51",3069,3043,4,10,12,1549,1527,0,10,12,1457,92,3335,1786,72,101,116,102,157,1,1,613,6,0,46,0,0,143,1,0,100,0,1,167,1,1,148,1,0,46,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,CHISCANI,42708,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:00:55",5276,5211,2,21,42,2321,2256,2,21,42,2142,177,5748,3429,107,149,171,124,965,7,1,587,4,1,178,1,0,42,0,0,137,1,0,147,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,CIOCILE,42968,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:50:51",1969,1949,0,5,15,1246,1226,0,5,15,1147,99,2163,917,57,80,91,99,453,4,1,478,4,1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,CIREŞU,43019,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:53:21",2355,2234,0,20,101,1462,1341,0,20,101,1396,66,2581,1119,69,97,111,121,116,0,1,1216,10,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,DUDEŞTI,43073,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:18:51",2863,2800,0,11,52,1681,1618,0,11,52,1579,102,3127,1446,78,110,126,116,982,8,1,242,2,0,160,1,0,9,0,0,129,1,0,0,0,0,14,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,FRECĂŢEI,43117,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:04:25",1143,1103,5,18,17,846,811,0,18,17,784,62,1198,352,39,54,62,86,167,1,1,525,6,0,85,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,GALBENU,43180,2,FINAL,UAT,CL,CL_CE,"2020-10-01 15:36:51",2506,2369,0,76,61,1748,1611,0,76,61,1576,172,2633,885,78,110,126,116,1106,9,1,262,2,0,0,0,0,63,0,0,145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
