county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-2","ALIANȚA ELECTORALĂ DL + ALDE""-voturi","ALIANȚA ELECTORALĂ DL + ALDE""-mandate-faza-1","ALIANȚA ELECTORALĂ DL + ALDE""-mandate-faza-2","NECHIFOR IOAN-voturi","NECHIFOR IOAN-mandate-faza-1","NECHIFOR IOAN-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","ANDRICI DORU-voturi","ANDRICI DORU-mandate-faza-1","ANDRICI DORU-mandate-faza-2","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-1","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-2","PARTIDUL DREAPTA LIBERALĂ-voturi","PARTIDUL DREAPTA LIBERALĂ-mandate-faza-1","PARTIDUL DREAPTA LIBERALĂ-mandate-faza-2","ONICIUC ILIE-voturi","ONICIUC ILIE-mandate-faza-1","ONICIUC ILIE-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","LUPANCU NARCIS-voturi","LUPANCU NARCIS-mandate-faza-1","LUPANCU NARCIS-mandate-faza-2","BUŢINCU DORU-voturi","BUŢINCU DORU-mandate-faza-1","BUŢINCU DORU-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","GIREADĂ DUMITRU-voturi","GIREADĂ DUMITRU-mandate-faza-1","GIREADĂ DUMITRU-mandate-faza-2","LUPUŞOR IOAN-voturi","LUPUŞOR IOAN-mandate-faza-1","LUPUŞOR IOAN-mandate-faza-2","AGACHE STELICĂ-voturi","AGACHE STELICĂ-mandate-faza-1","AGACHE STELICĂ-mandate-faza-2","SÎSÎIAC VASILE-voturi","SÎSÎIAC VASILE-mandate-faza-1","SÎSÎIAC VASILE-mandate-faza-2","BALTARIU ION-STELIAN-voturi","BALTARIU ION-STELIAN-mandate-faza-1","BALTARIU ION-STELIAN-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","ILCO ION-voturi","ILCO ION-mandate-faza-1","ILCO ION-mandate-faza-2","UNIUNEA ARMENILOR DIN ROMÂNIA-voturi","UNIUNEA ARMENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA ARMENILOR DIN ROMÂNIA-mandate-faza-2","""ALIANȚA ÎMPREUNĂ PENTRU BOTOȘANI PARTIDUL VERDE-P.N.Ț.C.D.""-voturi","""ALIANȚA ÎMPREUNĂ PENTRU BOTOȘANI PARTIDUL VERDE-P.N.Ț.C.D.""-mandate-faza-1","""ALIANȚA ÎMPREUNĂ PENTRU BOTOȘANI PARTIDUL VERDE-P.N.Ț.C.D.""-mandate-faza-2","PARTIDUL PHRALIPE AL ROMILOR-voturi","PARTIDUL PHRALIPE AL ROMILOR-mandate-faza-1","PARTIDUL PHRALIPE AL ROMILOR-mandate-faza-2","SILEGEANU CĂTĂLIN-voturi","SILEGEANU CĂTĂLIN-mandate-faza-1","SILEGEANU CĂTĂLIN-mandate-faza-2","ZBEREA FLORIN-voturi","ZBEREA FLORIN-mandate-faza-1","ZBEREA FLORIN-mandate-faza-2","CĂRĂUŞU IONUŢ-BOGDAN-voturi","CĂRĂUŞU IONUŢ-BOGDAN-mandate-faza-1","CĂRĂUŞU IONUŢ-BOGDAN-mandate-faza-2","GHERASIM STELIAN-voturi","GHERASIM STELIAN-mandate-faza-1","GHERASIM STELIAN-mandate-faza-2","BURSUC CONSTANTIN-voturi","BURSUC CONSTANTIN-mandate-faza-1","BURSUC CONSTANTIN-mandate-faza-2","ŢUCĂ MARIAN-LAURENŢIU-voturi","ŢUCĂ MARIAN-LAURENŢIU-mandate-faza-1","ŢUCĂ MARIAN-LAURENŢIU-mandate-faza-2","BURLACU MIHAELA-voturi","BURLACU MIHAELA-mandate-faza-1","BURLACU MIHAELA-mandate-faza-2","TIMOFTE IOAN-voturi","TIMOFTE IOAN-mandate-faza-1","TIMOFTE IOAN-mandate-faza-2","ŞERCĂIANU OANA-voturi","ŞERCĂIANU OANA-mandate-faza-1","ŞERCĂIANU OANA-mandate-faza-2","ŞTEFANACHE CONSTANTIN-voturi","ŞTEFANACHE CONSTANTIN-mandate-faza-1","ŞTEFANACHE CONSTANTIN-mandate-faza-2","BUNDUC MIHAI-voturi","BUNDUC MIHAI-mandate-faza-1","BUNDUC MIHAI-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2"
7,BOTOŞANI,ADĂŞENI,40035,1,FINAL,UAT,CL,CL_CE,"2020-09-28 16:25:01",1225,1092,1,67,65,774,641,1,67,65,716,58,1211,437,35,50,57,74,13,0,0,353,4,1,30,0,0,38,0,0,212,2,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,ALBEŞTI,36131,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:59:02",4909,4843,0,56,10,2434,2368,0,56,10,2247,187,5340,2906,112,157,179,137,93,0,0,313,2,0,143,1,0,99,0,0,1054,7,1,0,0,0,545,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,AVRĂMENI,36202,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:43:40",3034,2938,1,48,47,1817,1722,0,48,47,1696,118,3250,1433,84,118,135,116,18,0,0,1040,8,1,72,0,0,51,0,0,479,4,0,32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,BĂLUŞENI,36300,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:27:43",4142,3981,1,41,119,2292,2135,0,41,116,2114,178,4422,2130,105,147,169,152,37,0,0,874,5,1,447,2,1,0,0,0,656,4,0,0,0,0,44,0,0,0,0,0,44,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,BLÂNDEŞTI,39983,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:51:04",1660,1614,0,25,21,999,953,0,25,21,939,60,1768,769,46,65,75,79,27,0,0,357,4,1,7,0,0,35,0,0,513,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,BRĂEŞTI,36373,1,FINAL,UAT,CL,CL_CE,"2020-09-29 19:40:43",1701,1641,1,21,38,1128,1068,1,21,38,1050,78,1832,704,52,73,84,86,39,0,0,192,2,0,381,4,1,48,0,0,285,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,BROSCĂUŢI,36426,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:49:55",2819,2734,3,11,71,1675,1593,0,11,71,1582,93,3055,1380,79,110,126,111,57,0,0,792,7,0,293,2,1,129,1,0,237,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,CĂLĂRAŞI,36499,2,FINAL,UAT,CL,CL_CE,"2020-10-01 14:49:09",2692,2649,2,16,25,1585,1544,0,16,25,1463,122,2960,1375,73,102,117,112,0,0,0,277,2,0,187,1,1,113,1,0,886,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,CÂNDEŞTI,39967,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:01:51",1683,1664,6,12,1,1010,996,1,12,1,930,80,1822,812,46,65,74,79,22,0,0,324,4,0,30,0,0,51,0,1,421,5,0,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,CONCEŞTI,36532,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:59:27",1499,1473,0,5,21,772,746,0,5,21,689,83,1621,849,34,48,55,60,48,0,1,340,5,1,23,0,0,87,1,0,122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
