county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","STĂNESCU NELU-voturi","STĂNESCU NELU-mandate-faza-1","STĂNESCU NELU-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-1","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-2","STAN FLORIN-voturi","STAN FLORIN-mandate-faza-1","STAN FLORIN-mandate-faza-2","PANĂ STELICĂ-voturi","PANĂ STELICĂ-mandate-faza-1","PANĂ STELICĂ-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","STOIAN MARIUS-voturi","STOIAN MARIUS-mandate-faza-1","STOIAN MARIUS-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","DOGARU ION-voturi","DOGARU ION-mandate-faza-1","DOGARU ION-mandate-faza-2","TRIFU VASILICA-voturi","TRIFU VASILICA-mandate-faza-1","TRIFU VASILICA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","""ALIANȚA PNL-USR GRĂDIȘTEA""-voturi","""ALIANȚA PNL-USR GRĂDIȘTEA""-mandate-faza-1","""ALIANȚA PNL-USR GRĂDIȘTEA""-mandate-faza-2","POPA ŞTEFAN-voturi","POPA ŞTEFAN-mandate-faza-1","POPA ŞTEFAN-mandate-faza-2","STATE NICOLAE-voturi","STATE NICOLAE-mandate-faza-1","STATE NICOLAE-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-mandate-g9","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","PARTIDUL NAȚIONAL LIBERAL-mandate-g9","PARTIDUL PRO ROMÂNIA-mandate-g9","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-g9","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","""ALIANȚA PNL-USR OLTENIȚA""-voturi","""ALIANȚA PNL-USR OLTENIȚA""-mandate-faza-1","""ALIANȚA PNL-USR OLTENIȚA""-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","""ALIANȚA PNL-USR NANA""-voturi","""ALIANȚA PNL-USR NANA""-mandate-faza-1","""ALIANȚA PNL-USR NANA""-mandate-faza-2","MANOLE ION-voturi","MANOLE ION-mandate-faza-1","MANOLE ION-mandate-faza-2","DOBRE DUMITRU-voturi","DOBRE DUMITRU-mandate-faza-1","DOBRE DUMITRU-mandate-faza-2","PETRE NICOLETA-voturi","PETRE NICOLETA-mandate-faza-1","PETRE NICOLETA-mandate-faza-2","PĂDURARU SEBASTIAN-NICUŞOR-voturi","PĂDURARU SEBASTIAN-NICUŞOR-mandate-faza-1","PĂDURARU SEBASTIAN-NICUŞOR-mandate-faza-2","""ALIANȚA PNL-USR BUDEȘTI""-voturi","""ALIANȚA PNL-USR BUDEȘTI""-mandate-faza-1","""ALIANȚA PNL-USR BUDEȘTI""-mandate-faza-2","ALIANȚA PENTRU UNITATEA RROMILOR-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-1","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-2","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-g8","RADU GEORGE-voturi","RADU GEORGE-mandate-faza-1","RADU GEORGE-mandate-faza-2","GANEA CIPRIAN ADRIAN-voturi","GANEA CIPRIAN ADRIAN-mandate-faza-1","GANEA CIPRIAN ADRIAN-mandate-faza-2","RADU ION-voturi","RADU ION-mandate-faza-1","RADU ION-mandate-faza-2","""ALIANȚA PNL-USR SĂRULEȘTI""-voturi","""ALIANȚA PNL-USR SĂRULEȘTI""-mandate-faza-1","""ALIANȚA PNL-USR SĂRULEȘTI""-mandate-faza-2","""ALIANȚA PNL-USR VALEA ARGOVEI""-voturi","""ALIANȚA PNL-USR VALEA ARGOVEI""-mandate-faza-1","""ALIANȚA PNL-USR VALEA ARGOVEI""-mandate-faza-2","NIŢU COSTIN-voturi","NIŢU COSTIN-mandate-faza-1","NIŢU COSTIN-mandate-faza-2"
12,CĂLĂRAŞI,"ALEXANDRU ODOBESCU",94125,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:35:33",2421,2170,1,136,114,1732,1482,0,136,114,1635,94,2350,620,81,114,130,144,27,0,0,1090,7,1,16,0,0,404,2,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,BELCIUGATELE,101083,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:39:16",1781,1652,3,101,25,1192,1066,0,101,25,1147,45,1819,627,57,80,91,104,0,0,0,653,6,0,0,0,0,420,4,0,0,0,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,BORCEA,92961,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:47:24",6815,6712,3,61,39,3137,3037,0,61,39,3006,131,7379,4242,150,210,240,195,165,0,1,2099,10,1,0,0,0,665,3,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CĂSCIOARELE,101724,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:57:47",1458,1413,3,4,38,1041,997,2,4,38,1002,39,1603,562,50,70,80,89,18,0,0,478,5,0,0,0,0,506,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CHIRNOGI,101804,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:24:35",5973,5925,1,36,11,2944,2897,0,36,11,2622,322,6510,3566,131,183,209,147,50,0,0,671,4,0,83,0,0,1123,7,1,0,0,0,289,1,1,0,0,0,133,0,1,78,0,0,88,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CHISELET,101822,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:43:46",2527,2478,1,10,38,1401,1353,0,10,38,1320,81,2765,1364,66,92,105,101,125,1,0,877,8,1,0,0,0,318,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CIOCĂNEŞTI,93085,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:39:31",3432,3320,0,36,76,2150,2038,0,36,76,1992,158,3646,1496,99,139,159,143,30,0,0,693,4,1,45,0,0,1021,7,0,0,0,0,50,0,0,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CRIVĂŢ,180055,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:00:23",1703,1595,1,40,67,1216,1109,0,40,67,1154,62,1722,506,57,80,92,104,0,0,0,332,3,0,0,0,0,415,4,1,0,0,0,407,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CURCANI,102419,1,FINAL,UAT,CL,CL_CE,"2020-09-28 13:48:39",4253,4146,1,65,41,2849,2743,0,65,41,2663,182,4566,1692,133,186,213,169,125,0,0,1130,6,1,0,0,0,1408,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,"CUZA VODĂ",93281,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:34:41",3376,3312,3,25,36,1968,1907,0,25,36,1841,127,3600,1632,92,128,147,128,201,1,0,728,5,1,56,0,0,510,3,1,0,0,0,12,0,0,19,0,0,229,1,1,0,0,0,0,0,0,0,0,0,57,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
