county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","ALIANȚA PNL USR PLUS-voturi","ALIANȚA PNL USR PLUS-mandate-faza-1","ALIANȚA PNL USR PLUS-mandate-faza-2","RAINER ALIDA-voturi","RAINER ALIDA-mandate-faza-1","RAINER ALIDA-mandate-faza-2","STOICA MARIAN-SABARUS-voturi","STOICA MARIAN-SABARUS-mandate-faza-1","STOICA MARIAN-SABARUS-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","DAWOUD RODICA-voturi","DAWOUD RODICA-mandate-faza-1","DAWOUD RODICA-mandate-faza-2","CRISTEA GHEORGHE-voturi","CRISTEA GHEORGHE-mandate-faza-1","CRISTEA GHEORGHE-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","IRIMIA GEORGE LUCIAN-voturi","IRIMIA GEORGE LUCIAN-mandate-faza-1","IRIMIA GEORGE LUCIAN-mandate-faza-2","NEDELCU IONUŢ-EMANUEL-voturi","NEDELCU IONUŢ-EMANUEL-mandate-faza-1","NEDELCU IONUŢ-EMANUEL-mandate-faza-2","ALIANȚA PENTRU UNITATEA RROMILOR-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-1","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","CIOBANU ILIE-voturi","CIOBANU ILIE-mandate-faza-1","CIOBANU ILIE-mandate-faza-2","POPA DANIEL-voturi","POPA DANIEL-mandate-faza-1","POPA DANIEL-mandate-faza-2","GHERGU ILIE-voturi","GHERGU ILIE-mandate-faza-1","GHERGU ILIE-mandate-faza-2","MIHAI CĂTĂLIN-voturi","MIHAI CĂTĂLIN-mandate-faza-1","MIHAI CĂTĂLIN-mandate-faza-2","NICULAE ION-voturi","NICULAE ION-mandate-faza-1","NICULAE ION-mandate-faza-2","VEVERIŢĂ GHEORGHE-ION-voturi","VEVERIŢĂ GHEORGHE-ION-mandate-faza-1","VEVERIŢĂ GHEORGHE-ION-mandate-faza-2","MĂDĂRAN CONSTANTIN-voturi","MĂDĂRAN CONSTANTIN-mandate-faza-1","MĂDĂRAN CONSTANTIN-mandate-faza-2","TEODOROIU RADU-voturi","TEODOROIU RADU-mandate-faza-1","TEODOROIU RADU-mandate-faza-2","BUCUR MARIAN-voturi","BUCUR MARIAN-mandate-faza-1","BUCUR MARIAN-mandate-faza-2","STAICU GRIGORE-voturi","STAICU GRIGORE-mandate-faza-1","STAICU GRIGORE-mandate-faza-2","TUDORACHE FLORIN-voturi","TUDORACHE FLORIN-mandate-faza-1","TUDORACHE FLORIN-mandate-faza-2","DIACONESCU MOISE-voturi","DIACONESCU MOISE-mandate-faza-1","DIACONESCU MOISE-mandate-faza-2","BREZEANU ION-voturi","BREZEANU ION-mandate-faza-1","BREZEANU ION-mandate-faza-2","TURBATU COSMIN-IONUŢ-voturi","TURBATU COSMIN-IONUŢ-mandate-faza-1","TURBATU COSMIN-IONUŢ-mandate-faza-2","POPA VASILE-voturi","POPA VASILE-mandate-faza-1","POPA VASILE-mandate-faza-2","ILINCA DOREL-voturi","ILINCA DOREL-mandate-faza-1","ILINCA DOREL-mandate-faza-2","MARCU CONSTANTIN-voturi","MARCU CONSTANTIN-mandate-faza-1","MARCU CONSTANTIN-mandate-faza-2","CIORTAN DUMITRU-RELU-voturi","CIORTAN DUMITRU-RELU-mandate-faza-1","CIORTAN DUMITRU-RELU-mandate-faza-2","IONAŞ NICOLAE-voturi","IONAŞ NICOLAE-mandate-faza-1","IONAŞ NICOLAE-mandate-faza-2","ILIE TUDOR-voturi","ILIE TUDOR-mandate-faza-1","ILIE TUDOR-mandate-faza-2"
16,DÂMBOVIŢA,ANINOASA,65379,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:37:44",5363,5305,4,25,29,3008,2953,1,25,29,2926,82,5839,2831,146,204,234,195,1214,6,0,1548,7,1,164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BĂLENI,66198,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:23:04",6771,6741,2,25,3,4058,4030,0,25,3,3851,206,7428,3371,192,269,308,246,1473,5,1,1088,4,0,1140,4,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BĂRBULEŢU,66223,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:53:03",1791,1784,0,3,4,1063,1056,0,3,4,965,98,1960,897,48,67,77,80,157,1,1,616,7,1,117,1,0,0,0,0,39,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BEZDEAD,66330,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:07:30",3743,3697,0,14,32,1807,1761,0,14,32,1764,43,4060,2253,88,123,141,134,1312,9,1,290,2,0,149,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BILCIUREŞTI,66401,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:52:47",1575,1464,0,87,24,1169,1058,0,87,24,1122,47,1623,454,56,78,89,102,216,2,0,690,6,1,216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BRĂNEŞTI,66009,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:01:37",3542,3514,3,7,18,1866,1841,0,7,18,1817,49,3880,2014,90,127,145,136,0,0,0,596,4,0,274,2,0,0,0,0,0,0,0,0,0,0,906,6,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BRANIŞTEA,66152,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:55:04",3293,3262,1,16,14,1728,1698,0,16,14,1645,67,3598,1886,82,115,131,112,351,3,0,1116,9,1,48,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BREZOAELE,101341,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:28:54",2888,2870,2,16,0,2028,2012,0,16,0,1945,83,3151,1123,97,136,155,144,1378,9,1,494,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BUCIUMENI,66438,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:44:25",3681,3594,2,13,72,1856,1771,0,13,72,1738,118,4039,2183,86,121,139,122,413,3,0,1175,9,1,60,0,0,49,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DÂMBOVIŢA,BUCŞANI,66474,2,FINAL,UAT,CL,CL_CE,"2020-10-01 10:30:44",5476,5404,2,21,49,3312,3242,0,21,49,3216,95,6008,2697,160,225,257,210,1115,5,0,1816,8,1,231,1,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
