county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","TĂLĂBAN AURICĂ-voturi","TĂLĂBAN AURICĂ-mandate-faza-1","TĂLĂBAN AURICĂ-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","PARTIDUL NOUA DREAPTĂ-voturi","PARTIDUL NOUA DREAPTĂ-mandate-faza-1","PARTIDUL NOUA DREAPTĂ-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2","CÎRJAN MARINA-voturi","CÎRJAN MARINA-mandate-faza-1","CÎRJAN MARINA-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","RĂCĂREANU MARIN-voturi","RĂCĂREANU MARIN-mandate-faza-1","RĂCĂREANU MARIN-mandate-faza-2","LICUŢ MARIN-voturi","LICUŢ MARIN-mandate-faza-1","LICUŢ MARIN-mandate-faza-2","VANCEA ILEANA-CRISTINA-voturi","VANCEA ILEANA-CRISTINA-mandate-faza-1","VANCEA ILEANA-CRISTINA-mandate-faza-2","SÎRBOIU GABRIEL-voturi","SÎRBOIU GABRIEL-mandate-faza-1","SÎRBOIU GABRIEL-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","NEDELCU ALEXANDRU-voturi","NEDELCU ALEXANDRU-mandate-faza-1","NEDELCU ALEXANDRU-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","BOBOC ALEXANDRU-voturi","BOBOC ALEXANDRU-mandate-faza-1","BOBOC ALEXANDRU-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-1","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-2","IORDĂCHESCU POMPILIU-voturi","IORDĂCHESCU POMPILIU-mandate-faza-1","IORDĂCHESCU POMPILIU-mandate-faza-2","CIMPOERU EMILIAN-voturi","CIMPOERU EMILIAN-mandate-faza-1","CIMPOERU EMILIAN-mandate-faza-2","ONCICĂ GHEORGHE-voturi","ONCICĂ GHEORGHE-mandate-faza-1","ONCICĂ GHEORGHE-mandate-faza-2","MĂNESCU DUMITRU-voturi","MĂNESCU DUMITRU-mandate-faza-1","MĂNESCU DUMITRU-mandate-faza-2","RĂDUCEA ISIDOR-voturi","RĂDUCEA ISIDOR-mandate-faza-1","RĂDUCEA ISIDOR-mandate-faza-2","ROŞU CĂLIN-voturi","ROŞU CĂLIN-mandate-faza-1","ROŞU CĂLIN-mandate-faza-2","LAZĂR ŞTEFAN-voturi","LAZĂR ŞTEFAN-mandate-faza-1","LAZĂR ŞTEFAN-mandate-faza-2","GALE ION-voturi","GALE ION-mandate-faza-1","GALE ION-mandate-faza-2","ANTONIE MARIAN-voturi","ANTONIE MARIAN-mandate-faza-1","ANTONIE MARIAN-mandate-faza-2","DUMBRAVĂ ION-voturi","DUMBRAVĂ ION-mandate-faza-1","DUMBRAVĂ ION-mandate-faza-2","STANCIU CONSTANTIN-voturi","STANCIU CONSTANTIN-mandate-faza-1","STANCIU CONSTANTIN-mandate-faza-2","DRAGNEA ALEXANDRU-voturi","DRAGNEA ALEXANDRU-mandate-faza-1","DRAGNEA ALEXANDRU-mandate-faza-2","CALAFETEANU ŞTEFAN-voturi","CALAFETEANU ŞTEFAN-mandate-faza-1","CALAFETEANU ŞTEFAN-mandate-faza-2"
17,DOLJ,AFUMAŢI,70520,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:26:09",2171,2062,2,62,45,1309,1201,1,62,45,1231,78,2390,1081,61,86,98,104,275,2,1,206,1,1,664,6,0,30,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,ALMĂJ,70566,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:35:43",1659,1578,2,74,5,1117,1038,0,74,5,1050,67,1891,774,52,73,84,94,454,4,1,8,0,0,369,3,1,0,0,0,0,0,0,128,1,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,"AMĂRĂŞTII DE JOS",70637,1,FINAL,UAT,CL,CL_CE,"2020-09-28 12:31:17",4450,4183,0,149,118,3221,2954,0,149,118,2903,318,4788,1567,145,203,232,191,1065,5,1,231,1,0,699,3,1,38,0,0,0,0,0,0,0,0,0,0,0,454,2,0,416,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,"AMĂRĂŞTII DE SUS",70673,2,FINAL,UAT,CL,CL_CE,"2020-10-01 20:28:08",1433,1250,0,126,57,1103,920,0,126,57,1020,83,1594,491,51,71,81,92,532,5,1,178,1,1,310,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,"APELE VII",70726,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:42:20",1797,1604,1,120,72,1346,1156,0,120,70,1273,66,1894,555,63,89,101,114,537,4,1,13,0,0,723,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,ARGETOAIA,70744,2,FINAL,UAT,CL,CL_CE,"2020-10-01 20:34:35",3839,3608,3,183,45,2500,2271,1,183,45,2383,117,4286,1786,119,166,190,176,1133,6,0,0,0,0,1156,6,1,17,0,0,15,0,0,30,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,BÂRCA,70940,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:30:52",3259,3101,3,132,23,1950,1792,3,132,23,1843,107,3590,1640,92,129,147,134,877,6,1,74,0,0,868,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,BISTREŢ,70897,1,FINAL,UAT,CL,CL_CE,"2020-09-28 14:41:25",3268,3214,0,54,0,1804,1750,0,54,0,1692,111,3591,1788,84,118,135,130,1079,8,0,278,2,0,335,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,BOTOŞEŞTI-PAIA,70968,2,FINAL,UAT,CL,CL_CE,"2020-10-01 21:01:33",727,550,0,149,28,602,425,0,149,28,571,31,793,191,28,39,45,63,215,3,0,32,0,0,222,3,1,102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DOLJ,BRABOVA,70986,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:03:19",1089,961,2,104,22,834,708,0,104,22,777,57,1290,456,38,54,62,86,388,4,0,159,1,1,161,1,1,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
