county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","BLOCUL UNITĂȚII NAȚIONALE-voturi","BLOCUL UNITĂȚII NAȚIONALE-mandate-faza-1","BLOCUL UNITĂȚII NAȚIONALE-mandate-faza-2","MOSOR AUREL-voturi","MOSOR AUREL-mandate-faza-1","MOSOR AUREL-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","ALIANȚA NAȚIONALĂ A AGRICULTORILOR-voturi","ALIANȚA NAȚIONALĂ A AGRICULTORILOR-mandate-faza-1","ALIANȚA NAȚIONALĂ A AGRICULTORILOR-mandate-faza-2","AGURIDĂ ION-voturi","AGURIDĂ ION-mandate-faza-1","AGURIDĂ ION-mandate-faza-2","GOGELESCU ADRIANA-voturi","GOGELESCU ADRIANA-mandate-faza-1","GOGELESCU ADRIANA-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2","BĂLOI ION-voturi","BĂLOI ION-mandate-faza-1","BĂLOI ION-mandate-faza-2","DEACONESCU CONSTANTIN-voturi","DEACONESCU CONSTANTIN-mandate-faza-1","DEACONESCU CONSTANTIN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","MILODIN GRIGORE-MIRCEA-voturi","MILODIN GRIGORE-MIRCEA-mandate-faza-1","MILODIN GRIGORE-MIRCEA-mandate-faza-2","PARTIDUL PRO ROMÂNIA-mandate-g9","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-g9","BLOCUL UNITĂȚII NAȚIONALE-mandate-g9","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","TOMESCU ION-voturi","TOMESCU ION-mandate-faza-1","TOMESCU ION-mandate-faza-2","GÂDEA ION-voturi","GÂDEA ION-mandate-faza-1","GÂDEA ION-mandate-faza-2","VOICHIŢA DOINEL-voturi","VOICHIŢA DOINEL-mandate-faza-1","VOICHIŢA DOINEL-mandate-faza-2","RACEA TUDOR-voturi","RACEA TUDOR-mandate-faza-1","RACEA TUDOR-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","CATANA ELENA-voturi","CATANA ELENA-mandate-faza-1","CATANA ELENA-mandate-faza-2","PÂRVAN GHEORGHE-voturi","PÂRVAN GHEORGHE-mandate-faza-1","PÂRVAN GHEORGHE-mandate-faza-2","BONDOC DUMITRU-voturi","BONDOC DUMITRU-mandate-faza-1","BONDOC DUMITRU-mandate-faza-2","PÎRVULEŢ CRISTIAN-MIRCEA-voturi","PÎRVULEŢ CRISTIAN-MIRCEA-mandate-faza-1","PÎRVULEŢ CRISTIAN-MIRCEA-mandate-faza-2","COCHECI CONSTANTIN-voturi","COCHECI CONSTANTIN-mandate-faza-1","COCHECI CONSTANTIN-mandate-faza-2","BRÂNZAN NICOLAE-voturi","BRÂNZAN NICOLAE-mandate-faza-1","BRÂNZAN NICOLAE-mandate-faza-2","TÎLVESCU GABRIELA-voturi","TÎLVESCU GABRIELA-mandate-faza-1","TÎLVESCU GABRIELA-mandate-faza-2","VĂDUVA IONIŢĂ-voturi","VĂDUVA IONIŢĂ-mandate-faza-1","VĂDUVA IONIŢĂ-mandate-faza-2","ŞTEFĂNESCU CONSTANTIN-voturi","ŞTEFĂNESCU CONSTANTIN-mandate-faza-1","ŞTEFĂNESCU CONSTANTIN-mandate-faza-2","NICOLESCU VIOREL-voturi","NICOLESCU VIOREL-mandate-faza-1","NICOLESCU VIOREL-mandate-faza-2","IVĂNOIU ROBERT-DAVID-voturi","IVĂNOIU ROBERT-DAVID-mandate-faza-1","IVĂNOIU ROBERT-DAVID-mandate-faza-2","ALIANȚA PENTRU UNITATEA RROMILOR-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-1","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-2","PĂTRAŞCU CARMEN-voturi","PĂTRAŞCU CARMEN-mandate-faza-1","PĂTRAŞCU CARMEN-mandate-faza-2","FRĂTUŢU MĂDĂLIN-VASILE-voturi","FRĂTUŢU MĂDĂLIN-VASILE-mandate-faza-1","FRĂTUŢU MĂDĂLIN-VASILE-mandate-faza-2"
20,GORJ,ALBENI,78472,1,FINAL,UAT,CL,CL_CE,"2020-09-28 12:12:57",2338,2275,2,41,20,1449,1388,0,41,20,1386,63,2593,1144,69,97,110,113,71,0,1,46,0,0,366,3,0,27,0,0,814,7,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,ALIMPEŞTI,78542,1,FINAL,UAT,CL,CL_CE,"2020-09-28 18:46:01",1521,1487,1,21,12,964,931,0,21,12,900,64,1595,631,45,63,72,77,93,1,0,33,0,0,354,4,1,0,0,0,281,3,1,0,0,0,45,0,0,83,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,ANINOASA,78604,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:23:21",3154,3032,1,102,19,2096,1975,0,102,19,1981,115,3393,1297,99,138,158,138,94,0,0,42,0,0,1091,7,1,558,4,0,150,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,ARCANI,78668,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:42:51",1284,1113,1,105,65,886,716,1,104,65,868,18,1196,310,43,60,69,92,8,0,0,55,0,1,232,2,0,0,0,0,546,5,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,"BAIA DE FIER",78711,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:01:15",3540,3512,1,18,9,2069,2042,0,18,9,1950,119,3894,1825,97,136,156,0,185,1,0,202,1,1,1052,8,0,53,0,0,247,1,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,58,0,0,16,0,0,82,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,BĂLĂNEŞTI,78748,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:44:22",1852,1782,0,59,11,1279,1209,0,59,11,1227,52,1994,715,61,85,98,107,95,0,1,98,0,1,651,6,0,40,0,0,124,1,0,0,0,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,BĂLEŞTI,77910,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:04:28",6388,6292,6,78,12,3845,3755,0,78,12,3707,138,6990,3145,185,259,296,235,75,0,0,206,0,1,2107,8,1,288,1,0,569,2,0,0,0,0,57,0,0,0,0,0,0,0,0,364,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,BÂLTENI,79004,1,FINAL,UAT,CL,CL_CE,"2020-09-28 14:11:52",6241,6177,14,44,6,3304,3254,0,44,6,3091,213,6892,3588,154,216,247,170,178,1,0,341,2,0,695,4,0,105,0,0,880,5,0,0,0,0,41,0,0,0,0,0,0,0,0,467,2,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,130,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,BĂRBĂTEŞTI,78828,2,FINAL,UAT,CL,CL_CE,"2020-10-01 13:29:21",1347,1324,2,17,4,816,795,0,17,4,775,41,1495,679,38,54,62,66,34,0,0,10,0,0,455,6,1,0,0,0,149,2,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GORJ,BENGEŞTI-CIOCADIA,78873,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:43:32",2700,2619,2,69,10,1560,1481,0,69,10,1429,131,2893,1333,71,100,114,101,118,1,0,39,0,0,710,7,0,75,0,1,411,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
