county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","ROTARU IOAN-voturi","ROTARU IOAN-mandate-faza-1","ROTARU IOAN-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","ALIANȚA SOCIAL LIBERALĂ-voturi","ALIANȚA SOCIAL LIBERALĂ-mandate-faza-1","ALIANȚA SOCIAL LIBERALĂ-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","CANDOI-SAVU ROBERT-ADRIAN-voturi","CANDOI-SAVU ROBERT-ADRIAN-mandate-faza-1","CANDOI-SAVU ROBERT-ADRIAN-mandate-faza-2","PARTIDUL BUCUREȘTI 2020-voturi","PARTIDUL BUCUREȘTI 2020-mandate-faza-1","PARTIDUL BUCUREȘTI 2020-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2","ŞERBAN MARIUS-voturi","ŞERBAN MARIUS-mandate-faza-1","ŞERBAN MARIUS-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","BUNGHIUZ CĂTĂLIN-NICOLAE-voturi","BUNGHIUZ CĂTĂLIN-NICOLAE-mandate-faza-1","BUNGHIUZ CĂTĂLIN-NICOLAE-mandate-faza-2","MĂRGĂRINT DOREL-GHEORGHE-voturi","MĂRGĂRINT DOREL-GHEORGHE-mandate-faza-1","MĂRGĂRINT DOREL-GHEORGHE-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","GHIŢĂ MARIAN-voturi","GHIŢĂ MARIAN-mandate-faza-1","GHIŢĂ MARIAN-mandate-faza-2","SLAV ELENA-voturi","SLAV ELENA-mandate-faza-1","SLAV ELENA-mandate-faza-2","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-1","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-2","POPA SIMION-voturi","POPA SIMION-mandate-faza-1","POPA SIMION-mandate-faza-2","COSOVANU LAURENŢIU CĂTĂLIN-voturi","COSOVANU LAURENŢIU CĂTĂLIN-mandate-faza-1","COSOVANU LAURENŢIU CĂTĂLIN-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","HARALAMBIE DUMITRU-voturi","HARALAMBIE DUMITRU-mandate-faza-1","HARALAMBIE DUMITRU-mandate-faza-2","ENACHE VLADIMIR-GEORGE-voturi","ENACHE VLADIMIR-GEORGE-mandate-faza-1","ENACHE VLADIMIR-GEORGE-mandate-faza-2","MIHALEA ILIUŢĂ-voturi","MIHALEA ILIUŢĂ-mandate-faza-1","MIHALEA ILIUŢĂ-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","DAMIAN FLORIAN-voturi","DAMIAN FLORIAN-mandate-faza-1","DAMIAN FLORIAN-mandate-faza-2","PARTIDUL ROMÂNIEI EUROPENE-voturi","PARTIDUL ROMÂNIEI EUROPENE-mandate-faza-1","PARTIDUL ROMÂNIEI EUROPENE-mandate-faza-2","NEDELCIU MARIAN-voturi","NEDELCIU MARIAN-mandate-faza-1","NEDELCIU MARIAN-mandate-faza-2","DIŢĂ IOAN-MARCEL-voturi","DIŢĂ IOAN-MARCEL-mandate-faza-1","DIŢĂ IOAN-MARCEL-mandate-faza-2","DANCIU ADRIAN-voturi","DANCIU ADRIAN-mandate-faza-1","DANCIU ADRIAN-mandate-faza-2","COSTACHE VASILE-NICOLAE-voturi","COSTACHE VASILE-NICOLAE-mandate-faza-1","COSTACHE VASILE-NICOLAE-mandate-faza-2","TOBĂ BOGDAN-voturi","TOBĂ BOGDAN-mandate-faza-1","TOBĂ BOGDAN-mandate-faza-2","COJOCARIU MIHAI-voturi","COJOCARIU MIHAI-mandate-faza-1","COJOCARIU MIHAI-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU MIHALACHE-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU MIHALACHE-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU MIHALACHE-mandate-faza-2","PARTIDUL POLITIC INIȚIATIVA OTOPENIUL NOSTRU-voturi","PARTIDUL POLITIC INIȚIATIVA OTOPENIUL NOSTRU-mandate-faza-1","PARTIDUL POLITIC INIȚIATIVA OTOPENIUL NOSTRU-mandate-faza-2","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-1","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-2","CIUCEA PAVEL-voturi","CIUCEA PAVEL-mandate-faza-1","CIUCEA PAVEL-mandate-faza-2","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","MATEI ION-voturi","MATEI ION-mandate-faza-1","MATEI ION-mandate-faza-2","TEODORESCU CONSTANTIN-voturi","TEODORESCU CONSTANTIN-mandate-faza-1","TEODORESCU CONSTANTIN-mandate-faza-2","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-mandate-faza-1","PARTIDUL RE:START ROMÂNIA-mandate-faza-2","ŞERBAN IONUŢ-voturi","ŞERBAN IONUŢ-mandate-faza-1","ŞERBAN IONUŢ-mandate-faza-2"
25,ILFOV,"1 DECEMBRIE",102543,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:53:24",6797,6686,2,88,21,3559,3450,0,88,21,3418,141,7400,3841,170,239,273,211,1779,9,0,627,3,0,255,1,0,508,2,0,144,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,AFUMAŢI,100834,1,FINAL,UAT,CL,CL_CE,"2020-09-28 15:48:58",6680,6382,11,174,113,4388,4101,0,174,113,4243,145,7200,2812,212,297,339,269,2795,10,0,144,0,0,0,0,0,725,2,1,57,0,0,0,0,0,522,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,BALOTEŞTI,100969,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:24:56",7356,7229,20,86,21,3938,3830,1,86,21,3774,164,7999,4061,188,264,301,233,598,2,1,214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334,10,0,351,1,0,172,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,BERCENI,101145,1,FINAL,UAT,CL,CL_CE,"2020-09-28 15:34:08",7519,6727,18,645,129,5093,4319,0,645,129,4896,196,7399,2304,244,342,391,309,2283,7,0,183,0,0,0,0,0,0,0,0,452,1,1,0,0,0,0,0,0,1906,6,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,BRĂNEŞTI,101298,2,FINAL,UAT,CL,CL_CE,"2020-10-01 12:15:27",8042,7949,4,80,9,4333,4244,0,80,9,4201,132,8800,4467,210,294,336,256,3102,12,1,40,0,0,0,0,0,537,2,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,CERNICA,101742,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:33:40",8985,8689,4,284,8,5736,5443,1,284,8,5387,349,9600,3864,269,377,430,299,3601,12,0,967,3,0,98,0,0,527,1,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,CHIAJNA,179249,1,FINAL,UAT,CL,CL_CE,"2020-09-29 14:26:39",24363,23835,137,385,6,10609,10217,1,385,6,10336,268,25848,15239,516,723,826,0,2069,4,0,408,0,0,196,0,0,0,0,0,3796,7,1,0,0,0,183,0,0,3418,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,CIOLPANI,101902,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:19:52",4542,4460,4,48,30,2474,2396,0,48,30,2369,105,4888,2414,118,165,189,160,1454,10,1,68,0,0,93,0,0,309,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,167,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,CIOROGÂRLA,101957,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:50:39",4981,4888,4,81,8,2685,2597,0,81,7,2555,130,5400,2715,127,178,204,162,1200,7,0,154,0,1,0,0,0,360,2,0,726,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ILFOV,CLINCENI,102035,1,FINAL,UAT,CL,CL_CE,"2020-09-28 12:06:17",5890,5768,3,91,28,3395,3275,1,91,28,3267,128,6300,2905,163,228,261,210,1465,6,1,376,1,1,302,1,0,751,3,1,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
