county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL IALOMIȚENILOR-voturi","PARTIDUL IALOMIȚENILOR-mandate-faza-1","PARTIDUL IALOMIȚENILOR-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PETCU VICTORIA-voturi","PETCU VICTORIA-mandate-faza-1","PETCU VICTORIA-mandate-faza-2","DURINĂ IULIAN-voturi","DURINĂ IULIAN-mandate-faza-1","DURINĂ IULIAN-mandate-faza-2","RADU ION-voturi","RADU ION-mandate-faza-1","RADU ION-mandate-faza-2","RĂDUCĂ MARIN-voturi","RĂDUCĂ MARIN-mandate-faza-1","RĂDUCĂ MARIN-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","NIŢU SANDU-voturi","NIŢU SANDU-mandate-faza-1","NIŢU SANDU-mandate-faza-2","OPREA IONEL-voturi","OPREA IONEL-mandate-faza-1","OPREA IONEL-mandate-faza-2","ANDREI DANIELA-voturi","ANDREI DANIELA-mandate-faza-1","ANDREI DANIELA-mandate-faza-2","BĂTRÎNU NICULAE-voturi","BĂTRÎNU NICULAE-mandate-faza-1","BĂTRÎNU NICULAE-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","VLAD SILVIU-IOAN-voturi","VLAD SILVIU-IOAN-mandate-faza-1","VLAD SILVIU-IOAN-mandate-faza-2","GÎNŢU ION-voturi","GÎNŢU ION-mandate-faza-1","GÎNŢU ION-mandate-faza-2","DUŢĂ OCTAVIAN-voturi","DUŢĂ OCTAVIAN-mandate-faza-1","DUŢĂ OCTAVIAN-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PETRE CONSTANTIN-voturi","PETRE CONSTANTIN-mandate-faza-1","PETRE CONSTANTIN-mandate-faza-2","GHEORGHE RAFAEL-DĂNUŢ-voturi","GHEORGHE RAFAEL-DĂNUŢ-mandate-faza-1","GHEORGHE RAFAEL-DĂNUŢ-mandate-faza-2","GONGEA LAURENŢIU-ADRIAN-voturi","GONGEA LAURENŢIU-ADRIAN-mandate-faza-1","GONGEA LAURENŢIU-ADRIAN-mandate-faza-2","CIOARĂ VALERE-voturi","CIOARĂ VALERE-mandate-faza-1","CIOARĂ VALERE-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-mandate-g8","PARTIDUL NAȚIONAL LIBERAL-mandate-g9","PARTIDUL SOCIAL DEMOCRAT-mandate-g9","ALIANȚA USR PLUS-mandate-g9","PĂUN TONI-voturi","PĂUN TONI-mandate-faza-1","PĂUN TONI-mandate-faza-2","VLĂŞCEANU LUCIAN-voturi","VLĂŞCEANU LUCIAN-mandate-faza-1","VLĂŞCEANU LUCIAN-mandate-faza-2"
23,IALOMIŢA,ADÂNCATA,100754,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:36:19",2001,1924,0,42,35,1362,1286,0,42,34,1307,55,2156,794,65,91,104,118,245,2,0,796,6,1,266,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,ALBEŞTI,92783,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:12:51",968,905,0,16,47,699,636,0,16,47,668,30,1041,342,33,46,53,72,411,5,1,46,0,0,199,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,ALEXENI,100852,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:20:27",2009,1882,1,33,93,1335,1209,0,33,93,1257,78,2078,743,62,87,100,105,397,3,1,524,4,0,49,0,0,0,0,0,14,0,0,37,0,0,236,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,ANDRĂŞEŞTI,92872,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:38:49",1764,1725,2,24,13,1031,993,1,24,13,962,69,1899,868,48,67,76,81,261,3,0,359,4,0,48,0,0,53,0,1,173,2,0,31,0,0,7,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,ARMĂŞEŞTI,100870,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:43:44",1761,1749,0,12,0,900,888,0,12,0,839,61,1929,1029,41,58,67,74,596,8,0,223,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,AXINTELE,100923,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:00:57",1793,1775,0,18,0,891,873,0,18,0,835,56,1975,1084,41,58,66,71,507,7,0,193,2,1,85,1,0,18,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,BALACIU,92907,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:05:48",1267,1191,0,24,52,723,647,0,24,52,667,56,1348,625,33,46,53,72,311,4,0,307,4,0,37,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,BĂRBULEŞTI,180064,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:21:52",4073,4071,0,2,0,1662,1660,0,2,0,1564,98,4478,2816,78,109,125,100,843,8,0,670,6,1,27,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,BĂRCĂNEŞTI,101056,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:13:45",2684,2653,0,31,0,1495,1464,0,31,0,1394,101,2924,1429,69,97,111,99,620,6,0,171,1,1,502,5,0,20,0,0,59,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,IALOMIŢA,BORĂNEŞTI,179784,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:50:56",1893,1851,0,20,22,1466,1424,0,20,22,1352,105,2044,587,67,94,108,118,589,4,1,718,6,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
