county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","""ALIANȚA PNL USR PLUS""-voturi","""ALIANȚA PNL USR PLUS""-mandate-faza-1","""ALIANȚA PNL USR PLUS""-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","BARBU GIORGICĂ-voturi","BARBU GIORGICĂ-mandate-faza-1","BARBU GIORGICĂ-mandate-faza-2","BĂLŞEANU CONSTANTIN-voturi","BĂLŞEANU CONSTANTIN-mandate-faza-1","BĂLŞEANU CONSTANTIN-mandate-faza-2","DIACONU MARCEL-voturi","DIACONU MARCEL-mandate-faza-1","DIACONU MARCEL-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","NIŢĂ FLORIAN-voturi","NIŢĂ FLORIAN-mandate-faza-1","NIŢĂ FLORIAN-mandate-faza-2","""ALIANȚA ELECTORALĂ PSD+ALDE CÂRLOGANI""-voturi","""ALIANȚA ELECTORALĂ PSD+ALDE CÂRLOGANI""-mandate-faza-1","""ALIANȚA ELECTORALĂ PSD+ALDE CÂRLOGANI""-mandate-faza-2","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-mandate-faza-1","PARTIDUL RE:START ROMÂNIA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","MATEI BARBU-voturi","MATEI BARBU-mandate-faza-1","MATEI BARBU-mandate-faza-2","PREDA COSTEL-voturi","PREDA COSTEL-mandate-faza-1","PREDA COSTEL-mandate-faza-2","ENACHE SORIN-voturi","ENACHE SORIN-mandate-faza-1","ENACHE SORIN-mandate-faza-2","ZAMFIRA CORNEL-voturi","ZAMFIRA CORNEL-mandate-faza-1","ZAMFIRA CORNEL-mandate-faza-2","EPURAN VICTOR-voturi","EPURAN VICTOR-mandate-faza-1","EPURAN VICTOR-mandate-faza-2","PĂUN GIANNI-IOAN-voturi","PĂUN GIANNI-IOAN-mandate-faza-1","PĂUN GIANNI-IOAN-mandate-faza-2","IONIŢĂ STELIAN-voturi","IONIŢĂ STELIAN-mandate-faza-1","IONIŢĂ STELIAN-mandate-faza-2","""ALIANȚA ELECTORALĂ PSD+ALDE MILCOV""-voturi","""ALIANȚA ELECTORALĂ PSD+ALDE MILCOV""-mandate-faza-1","""ALIANȚA ELECTORALĂ PSD+ALDE MILCOV""-mandate-faza-2","IAGĂRU LAURENŢIU-IOAN-voturi","IAGĂRU LAURENŢIU-IOAN-mandate-faza-1","IAGĂRU LAURENŢIU-IOAN-mandate-faza-2","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-1","PARTIDUL NEAMUL ROMÂNESC-mandate-faza-2","RADU GEORGE-voturi","RADU GEORGE-mandate-faza-1","RADU GEORGE-mandate-faza-2","MARCU OVIDIU-VIRGIL-voturi","MARCU OVIDIU-VIRGIL-mandate-faza-1","MARCU OVIDIU-VIRGIL-mandate-faza-2","DAVIDESCU NICOLAE-CĂTĂLIN-voturi","DAVIDESCU NICOLAE-CĂTĂLIN-mandate-faza-1","DAVIDESCU NICOLAE-CĂTĂLIN-mandate-faza-2","""ALIANȚA ELECTORALĂ PSD+P.R. BALȘ""-voturi","""ALIANȚA ELECTORALĂ PSD+P.R. BALȘ""-mandate-faza-1","""ALIANȚA ELECTORALĂ PSD+P.R. BALȘ""-mandate-faza-2","""ALIANȚA PNL-PMP""-voturi","""ALIANȚA PNL-PMP""-mandate-faza-1","""ALIANȚA PNL-PMP""-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","CHIDU MIHAI-VALENTIN-voturi","CHIDU MIHAI-VALENTIN-mandate-faza-1","CHIDU MIHAI-VALENTIN-mandate-faza-2","VARAN IOSIF-IULIAN-voturi","VARAN IOSIF-IULIAN-mandate-faza-1","VARAN IOSIF-IULIAN-mandate-faza-2","GOGOŢ-TEODORESCU VALERIU-voturi","GOGOŢ-TEODORESCU VALERIU-mandate-faza-1","GOGOŢ-TEODORESCU VALERIU-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","NICU ADRIAN-ALBERT-voturi","NICU ADRIAN-ALBERT-mandate-faza-1","NICU ADRIAN-ALBERT-mandate-faza-2","""ALIANȚA ELECTORALĂ PSD+ALDE SPRÂNCENATA""-voturi","""ALIANȚA ELECTORALĂ PSD+ALDE SPRÂNCENATA""-mandate-faza-1","""ALIANȚA ELECTORALĂ PSD+ALDE SPRÂNCENATA""-mandate-faza-2","TUTUNARU GELU-voturi","TUTUNARU GELU-mandate-faza-1","TUTUNARU GELU-mandate-faza-2","MĂRGHIDANU DANIEL-CRISTINEL-voturi","MĂRGHIDANU DANIEL-CRISTINEL-mandate-faza-1","MĂRGHIDANU DANIEL-CRISTINEL-mandate-faza-2"
30,OLT,BĂBICIU,125659,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:22:28",2011,1709,0,182,120,1408,1106,0,182,120,1366,42,1982,574,68,95,109,124,1006,8,0,78,0,1,282,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BALDOVINEŞTI,125677,3,FINAL,UAT,CL,CL_CE,"2020-10-02 18:10:14",995,905,2,39,49,658,570,0,39,49,641,17,953,295,32,44,51,71,478,6,1,0,0,0,0,0,0,125,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BĂLTENI,130286,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:00:51",1415,1334,0,70,11,1032,951,0,70,11,1000,32,1460,428,50,70,80,90,479,5,0,50,0,1,0,0,0,380,4,0,0,0,0,89,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BĂRĂŞTI,125757,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:54:12",1444,1090,1,302,51,1175,821,1,302,51,1145,30,1354,179,57,80,91,125,542,4,0,12,0,0,0,0,0,591,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BÂRZA,125846,1,FINAL,UAT,CL,CL_CE,"2020-09-28 12:35:49",2173,2120,0,39,14,1425,1372,0,39,14,1359,66,2370,945,67,95,108,116,413,3,0,645,5,1,0,0,0,218,1,1,36,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BOBICEŞTI,125873,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:39:17",2670,2606,4,42,18,1467,1406,2,42,17,1394,73,2878,1411,69,97,111,96,975,10,0,42,0,0,0,0,0,72,0,1,0,0,0,125,1,1,55,0,0,46,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BRÂNCOVENI,126022,3,FINAL,UAT,CL,CL_CE,"2020-10-02 18:25:47",2389,2235,6,144,4,1750,1600,2,144,4,1664,85,2449,700,83,116,133,136,1004,7,0,63,0,0,0,0,0,501,3,1,0,0,0,61,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BRASTAVĂŢU,125962,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:27:07",3557,3348,1,47,161,2156,1947,1,47,161,1981,175,3832,1671,99,138,158,145,1081,7,1,87,0,0,0,0,0,637,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BREBENI,125999,3,FINAL,UAT,CL,CL_CE,"2020-10-02 18:43:23",2344,2219,1,89,35,1500,1375,1,89,35,1397,103,2448,948,69,97,111,127,546,4,0,0,0,0,0,0,0,231,1,1,323,2,0,221,1,1,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BUCINIŞU,126077,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:23:36",1821,1593,0,176,52,1466,1238,0,176,52,1382,84,1737,271,69,96,110,0,721,6,0,24,0,0,0,0,0,577,4,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
