county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","POP NICOLAE-voturi","POP NICOLAE-mandate-faza-1","POP NICOLAE-mandate-faza-2","POP VASILE-voturi","POP VASILE-mandate-faza-1","POP VASILE-mandate-faza-2","TRIPON GAVRIL-voturi","TRIPON GAVRIL-mandate-faza-1","TRIPON GAVRIL-mandate-faza-2","SABOU ADRIAN-FLORIN-voturi","SABOU ADRIAN-FLORIN-mandate-faza-1","SABOU ADRIAN-FLORIN-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","SZABÓ ZSOLT-voturi","SZABÓ ZSOLT-mandate-faza-1","SZABÓ ZSOLT-mandate-faza-2","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG (AMT - EMSZ)-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG (AMT - EMSZ)-mandate-faza-1","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG (AMT - EMSZ)-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","ONACIU SORINEL-IONEL-voturi","ONACIU SORINEL-IONEL-mandate-faza-1","ONACIU SORINEL-IONEL-mandate-faza-2","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-1","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-mandate-faza-2","VADAS LÁSZLÓ-voturi","VADAS LÁSZLÓ-mandate-faza-1","VADAS LÁSZLÓ-mandate-faza-2","NICOARĂ COSMIN-MARIAN-voturi","NICOARĂ COSMIN-MARIAN-mandate-faza-1","NICOARĂ COSMIN-MARIAN-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","DÂNCAN VASILE-voturi","DÂNCAN VASILE-mandate-faza-1","DÂNCAN VASILE-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","THIRA FLORIN-RADU-voturi","THIRA FLORIN-RADU-mandate-faza-1","THIRA FLORIN-RADU-mandate-faza-2","BALOG ALEXANDRU-voturi","BALOG ALEXANDRU-mandate-faza-1","BALOG ALEXANDRU-mandate-faza-2","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-mandate-faza-1","PARTIDUL RE:START ROMÂNIA-mandate-faza-2","ILIEŞ BOGDAN-voturi","ILIEŞ BOGDAN-mandate-faza-1","ILIEŞ BOGDAN-mandate-faza-2","LUKA LASZLO-voturi","LUKA LASZLO-mandate-faza-1","LUKA LASZLO-mandate-faza-2","POP PETRU-voturi","POP PETRU-mandate-faza-1","POP PETRU-mandate-faza-2","BILŢ-CRIŞAN IOAN-CRISTIAN-voturi","BILŢ-CRIŞAN IOAN-CRISTIAN-mandate-faza-1","BILŢ-CRIŞAN IOAN-CRISTIAN-mandate-faza-2","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-2","NAGY LAJOS-voturi","NAGY LAJOS-mandate-faza-1","NAGY LAJOS-mandate-faza-2","POP IOAN-voturi","POP IOAN-mandate-faza-1","POP IOAN-mandate-faza-2","PĂUŞAN PAVEL-voturi","PĂUŞAN PAVEL-mandate-faza-1","PĂUŞAN PAVEL-mandate-faza-2"
33,SĂLAJ,AGRIJ,139937,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:18:25",1141,1074,1,42,24,776,710,0,42,24,725,51,1192,416,36,50,58,63,247,3,1,23,0,0,285,4,0,36,0,0,1,25,0,0,34,0,0,33,0,0,19,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,ALMAŞU,139982,1,FINAL,UAT,CL,CL_CE,"2020-09-28 12:49:16",1713,1582,1,90,40,1212,1082,0,90,40,1120,91,1819,608,56,78,89,88,315,3,0,20,0,0,165,1,1,55,0,0,0,0,0,0,32,0,0,85,0,1,16,0,0,0,0,0,411,4,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BĂBENI,140084,2,FINAL,UAT,CL,CL_CE,"2020-10-06 13:07:47",1500,1255,2,179,64,1278,1037,0,179,62,1106,49,1477,322,55,77,88,98,362,3,1,174,1,1,388,3,1,0,0,0,0,65,0,0,0,0,0,24,0,0,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BĂLAN,140146,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:12:01",3304,3022,2,210,70,2261,1980,1,210,70,2103,109,3321,1109,105,147,168,147,803,5,1,61,0,0,774,5,0,0,0,0,0,195,1,0,0,0,0,39,0,0,148,1,0,0,0,0,0,0,0,0,0,0,20,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BĂNIŞOR,140208,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:43:03",1683,1616,0,47,20,1047,981,0,47,19,970,77,1791,744,48,67,77,85,231,2,1,127,1,0,237,2,1,0,0,0,0,94,1,0,56,0,1,25,0,0,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BENESAT,140244,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:21:04",1239,1153,1,38,47,891,807,0,38,46,854,37,1319,428,42,59,68,87,394,4,0,38,0,0,231,2,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BOBOTA,140280,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:53:20",2333,2256,1,44,32,1666,1590,0,44,32,1583,83,3364,1698,79,110,126,114,558,4,1,81,0,1,662,5,1,0,0,0,0,0,0,0,0,0,0,54,0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BOCŞA,140324,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:56:55",2837,2695,4,36,102,1750,1612,1,36,101,1690,60,3004,1254,84,118,135,120,539,4,0,33,0,0,141,1,0,0,0,0,0,42,0,0,0,0,0,99,0,1,46,0,0,0,0,0,790,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BOGHIŞ,180037,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:42:25",1476,1430,2,8,36,838,794,0,8,36,794,44,1612,774,39,55,63,69,31,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SĂLAJ,BUCIUMI,140379,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:46:59",2076,1864,0,146,66,1486,1274,0,146,66,1373,113,2144,658,68,96,109,119,306,2,1,146,1,0,711,5,1,0,0,0,0,152,1,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
