county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","BONCAN GHEORGHE-DORINEL-voturi","BONCAN GHEORGHE-DORINEL-mandate-faza-1","BONCAN GHEORGHE-DORINEL-mandate-faza-2","CUCU DUMITRU-FELIX-voturi","CUCU DUMITRU-FELIX-mandate-faza-1","CUCU DUMITRU-FELIX-mandate-faza-2","DRĂGHICI MARIAN-voturi","DRĂGHICI MARIAN-mandate-faza-1","DRĂGHICI MARIAN-mandate-faza-2","PURCEL CONSTANTIN-voturi","PURCEL CONSTANTIN-mandate-faza-1","PURCEL CONSTANTIN-mandate-faza-2","ŢÎRVUICĂ ION-voturi","ŢÎRVUICĂ ION-mandate-faza-1","ŢÎRVUICĂ ION-mandate-faza-2","DINULESCU ELENA-voturi","DINULESCU ELENA-mandate-faza-1","DINULESCU ELENA-mandate-faza-2","MĂJAR GHEORGHE-voturi","MĂJAR GHEORGHE-mandate-faza-1","MĂJAR GHEORGHE-mandate-faza-2","STOICA CONSTANTIN-MIRCEA-voturi","STOICA CONSTANTIN-MIRCEA-mandate-faza-1","STOICA CONSTANTIN-MIRCEA-mandate-faza-2","RĂDESCU GHEORGHE-voturi","RĂDESCU GHEORGHE-mandate-faza-1","RĂDESCU GHEORGHE-mandate-faza-2","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-mandate-faza-1","PARTIDUL RE:START ROMÂNIA-mandate-faza-2","PÎRCĂLĂBELU ION-voturi","PÎRCĂLĂBELU ION-mandate-faza-1","PÎRCĂLĂBELU ION-mandate-faza-2","RICHIŢEANU GHEORGHE-voturi","RICHIŢEANU GHEORGHE-mandate-faza-1","RICHIŢEANU GHEORGHE-mandate-faza-2","MATEI CONSTANTIN-voturi","MATEI CONSTANTIN-mandate-faza-1","MATEI CONSTANTIN-mandate-faza-2","ILIESCU DANIELA-voturi","ILIESCU DANIELA-mandate-faza-1","ILIESCU DANIELA-mandate-faza-2","AVRAM IONUŢ-VALENTIN-voturi","AVRAM IONUŢ-VALENTIN-mandate-faza-1","AVRAM IONUŢ-VALENTIN-mandate-faza-2","BUDA GHEORGHE-voturi","BUDA GHEORGHE-mandate-faza-1","BUDA GHEORGHE-mandate-faza-2","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL OAMENILOR LIBERI-mandate-faza-1","PARTIDUL OAMENILOR LIBERI-mandate-faza-2","UDVESCU LIVIU NICOLAE-voturi","UDVESCU LIVIU NICOLAE-mandate-faza-1","UDVESCU LIVIU NICOLAE-mandate-faza-2","TOMESCU MARIUS-DUMITRU-voturi","TOMESCU MARIUS-DUMITRU-mandate-faza-1","TOMESCU MARIUS-DUMITRU-mandate-faza-2","GOVOREANU LIGIA-voturi","GOVOREANU LIGIA-mandate-faza-1","GOVOREANU LIGIA-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-mandate-g9","PARTIDUL SOCIAL DEMOCRAT-mandate-g9","PARTIDUL ECOLOGIST ROMÂN-mandate-g9","IONESCU ION-DRAGOŞ-voturi","IONESCU ION-DRAGOŞ-mandate-faza-1","IONESCU ION-DRAGOŞ-mandate-faza-2","MIHĂILESCU TRAIAN-voturi","MIHĂILESCU TRAIAN-mandate-faza-1","MIHĂILESCU TRAIAN-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","PARTIDUL PRO ROMÂNIA-mandate-g9","ZAMFIRA ELISAVETA-voturi","ZAMFIRA ELISAVETA-mandate-faza-1","ZAMFIRA ELISAVETA-mandate-faza-2","POPESCU PETRE-voturi","POPESCU PETRE-mandate-faza-1","POPESCU PETRE-mandate-faza-2","ŞERBAN CONSTANTIN-voturi","ŞERBAN CONSTANTIN-mandate-faza-1","ŞERBAN CONSTANTIN-mandate-faza-2","DIACONU NICOLAE-voturi","DIACONU NICOLAE-mandate-faza-1","DIACONU NICOLAE-mandate-faza-2","DANCIU VASILE-voturi","DANCIU VASILE-mandate-faza-1","DANCIU VASILE-mandate-faza-2","GIGICĂ GHEORGHE-voturi","GIGICĂ GHEORGHE-mandate-faza-1","GIGICĂ GHEORGHE-mandate-faza-2","CONSTANTINESCU OVIDIU-DUMITRU-voturi","CONSTANTINESCU OVIDIU-DUMITRU-mandate-faza-1","CONSTANTINESCU OVIDIU-DUMITRU-mandate-faza-2","POPA CONSTANTIN-CĂTĂLIN-voturi","POPA CONSTANTIN-CĂTĂLIN-mandate-faza-1","POPA CONSTANTIN-CĂTĂLIN-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","PREDESCU ANA-voturi","PREDESCU ANA-mandate-faza-1","PREDESCU ANA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","STANCA ION-voturi","STANCA ION-mandate-faza-1","STANCA ION-mandate-faza-2","GHIŢĂ MIHAI-voturi","GHIŢĂ MIHAI-mandate-faza-1","GHIŢĂ MIHAI-mandate-faza-2","BRĂDIŢEANU ION-voturi","BRĂDIŢEANU ION-mandate-faza-1","BRĂDIŢEANU ION-mandate-faza-2"
40,VÂLCEA,ALUNU,168229,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:00:12",3592,3514,1,58,19,2268,2190,1,58,19,2057,211,3930,1662,102,143,164,131,195,1,0,76,0,0,810,6,0,366,2,1,95,0,0,201,1,1,83,0,0,134,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,AMĂRĂŞTI,168309,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:53:20",1536,1421,0,51,64,1015,902,0,51,62,952,63,1680,665,47,66,76,80,26,0,0,0,0,0,295,3,1,406,5,0,57,0,1,0,0,0,0,0,0,122,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,BĂRBĂTEŞTI,168559,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:28:59",2776,2757,0,17,2,1453,1434,0,17,2,1304,149,3060,1607,65,91,104,98,0,0,0,0,0,0,800,8,0,132,1,0,0,0,0,0,0,0,0,0,0,345,3,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,BERISLĂVEŞTI,168675,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:51:12",2268,2143,0,80,45,1589,1464,0,80,45,1509,80,2403,814,75,105,120,130,23,0,0,0,0,0,790,6,0,648,4,1,6,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,BOIŞOARA,168755,1,FINAL,UAT,CL,CL_CE,"2020-10-01 11:57:40",1021,963,1,29,28,701,646,0,29,26,622,79,1080,379,31,43,49,69,0,0,0,0,0,0,113,1,1,214,3,0,0,0,0,0,0,0,0,0,0,197,2,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,BUDEŞTI,168791,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:01:21",5162,5087,8,64,3,2667,2600,0,64,3,2573,94,5640,2973,128,180,205,142,53,0,0,44,0,0,497,3,0,1646,11,1,41,0,0,0,0,0,36,0,0,96,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,BUJORENI,168880,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:16:22",4059,3991,4,44,20,2181,2117,0,44,20,2021,160,4402,2150,101,141,161,115,40,0,0,0,0,0,312,2,1,737,6,0,76,0,0,0,0,0,43,0,0,471,4,0,128,0,0,214,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,BUNEŞTI,168960,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:19:18",2238,2194,3,32,9,1296,1255,0,32,9,1228,68,2470,1174,61,85,98,107,0,0,0,19,0,0,618,5,1,97,0,1,70,0,0,0,0,0,0,0,0,402,3,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,CÂINENI,169119,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:31:21",2149,1824,1,294,30,1487,1163,0,294,30,1393,94,2180,693,69,97,111,126,0,0,0,0,0,0,337,2,1,846,7,0,15,0,0,0,0,0,0,0,0,143,1,0,20,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VÂLCEA,CERNIŞOARA,169039,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:05:16",2722,2680,0,35,7,1896,1854,0,35,7,1691,205,3246,1350,84,118,135,118,112,0,1,92,0,1,475,4,0,358,3,0,72,0,0,0,0,0,0,0,0,501,4,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
