county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","BĂDECI ŞTEFAN-voturi","BĂDECI ŞTEFAN-mandate-faza-1","BĂDECI ŞTEFAN-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","GHEORMA GHEORGHE-voturi","GHEORMA GHEORGHE-mandate-faza-1","GHEORMA GHEORGHE-mandate-faza-2","LAZĂR EMIL-DAN-voturi","LAZĂR EMIL-DAN-mandate-faza-1","LAZĂR EMIL-DAN-mandate-faza-2","PIOARĂ ALECSANDRU-voturi","PIOARĂ ALECSANDRU-mandate-faza-1","PIOARĂ ALECSANDRU-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PUPĂZĂ NICOLAE-voturi","PUPĂZĂ NICOLAE-mandate-faza-1","PUPĂZĂ NICOLAE-mandate-faza-2","ALIANȚA PARTIDUL NAȚIONAL LIBERAL - UNIUNEA SALVAȚI ROMÂNIA - PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE (PNL-USR-PLUS)-voturi","ALIANȚA PARTIDUL NAȚIONAL LIBERAL - UNIUNEA SALVAȚI ROMÂNIA - PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE (PNL-USR-PLUS)-mandate-faza-1","ALIANȚA PARTIDUL NAȚIONAL LIBERAL - UNIUNEA SALVAȚI ROMÂNIA - PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE (PNL-USR-PLUS)-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","DEDIU NICOLAE-voturi","DEDIU NICOLAE-mandate-faza-1","DEDIU NICOLAE-mandate-faza-2","BACIU ADRIAN-CĂTĂLIN-voturi","BACIU ADRIAN-CĂTĂLIN-mandate-faza-1","BACIU ADRIAN-CĂTĂLIN-mandate-faza-2","PARTIDUL VRANCEA NOASTRĂ-voturi","PARTIDUL VRANCEA NOASTRĂ-mandate-faza-1","PARTIDUL VRANCEA NOASTRĂ-mandate-faza-2","PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA-voturi","PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA-mandate-faza-1","PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA-mandate-faza-2","VATRĂ GIORGICĂ-voturi","VATRĂ GIORGICĂ-mandate-faza-1","VATRĂ GIORGICĂ-mandate-faza-2","VULPOIU IONICA-voturi","VULPOIU IONICA-mandate-faza-1","VULPOIU IONICA-mandate-faza-2","NECULA IONEL-voturi","NECULA IONEL-mandate-faza-1","NECULA IONEL-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","DRĂGAN DANIEL-voturi","DRĂGAN DANIEL-mandate-faza-1","DRĂGAN DANIEL-mandate-faza-2","NICA IULIAN-voturi","NICA IULIAN-mandate-faza-1","NICA IULIAN-mandate-faza-2","BERBECE IONEL-voturi","BERBECE IONEL-mandate-faza-1","BERBECE IONEL-mandate-faza-2","DRAGOMIR GIGEL-voturi","DRAGOMIR GIGEL-mandate-faza-1","DRAGOMIR GIGEL-mandate-faza-2","BADIU FILARET-voturi","BADIU FILARET-mandate-faza-1","BADIU FILARET-mandate-faza-2","MODREANU PASICĂ-voturi","MODREANU PASICĂ-mandate-faza-1","MODREANU PASICĂ-mandate-faza-2","BORDEA CORNELIU-voturi","BORDEA CORNELIU-mandate-faza-1","BORDEA CORNELIU-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT ȘI PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR SOVEJA (PSD-ALDE)-voturi","PARTIDUL SOCIAL DEMOCRAT ȘI PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR SOVEJA (PSD-ALDE)-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT ȘI PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR SOVEJA (PSD-ALDE)-mandate-faza-2","BOBOCEA LAURENŢIU-GABRIEL-voturi","BOBOCEA LAURENŢIU-GABRIEL-mandate-faza-1","BOBOCEA LAURENŢIU-GABRIEL-mandate-faza-2","FRANGULEA VIOREL-DANIEL-voturi","FRANGULEA VIOREL-DANIEL-mandate-faza-1","FRANGULEA VIOREL-DANIEL-mandate-faza-2","GURIŢOIU ŞTEFAN-voturi","GURIŢOIU ŞTEFAN-mandate-faza-1","GURIŢOIU ŞTEFAN-mandate-faza-2","CÎRNOIU-ENE IULIANA-voturi","CÎRNOIU-ENE IULIANA-mandate-faza-1","CÎRNOIU-ENE IULIANA-mandate-faza-2","IORGA NELU-voturi","IORGA NELU-mandate-faza-1","IORGA NELU-mandate-faza-2","PANTAZICĂ SIMION-voturi","PANTAZICĂ SIMION-mandate-faza-1","PANTAZICĂ SIMION-mandate-faza-2","MARICA COSTICĂ-voturi","MARICA COSTICĂ-mandate-faza-1","MARICA COSTICĂ-mandate-faza-2","MIRON TIBERIU-CĂTĂLIN-voturi","MIRON TIBERIU-CĂTĂLIN-mandate-faza-1","MIRON TIBERIU-CĂTĂLIN-mandate-faza-2"
41,VRANCEA,"ANDREIAŞU DE JOS",175126,2,FINAL,UAT,CL,CL_CE,"2020-10-02 23:06:09",1435,1358,0,46,31,928,851,0,46,31,866,61,1531,604,43,60,69,75,543,7,0,289,3,1,29,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,BĂLEŞTI,175206,2,FINAL,UAT,CL,CL_CE,"2020-10-02 18:54:12",1565,1426,0,14,125,1087,948,0,14,125,991,96,1700,613,49,69,79,86,228,2,1,359,4,0,361,4,0,24,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,BÂRSEŞTI,175224,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:39:56",1173,1117,0,4,52,809,753,0,4,52,736,73,1262,453,36,51,58,78,237,3,0,227,2,1,182,2,0,31,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,BILIEŞTI,178929,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:54:47",2080,2058,1,21,0,1090,1068,1,21,0,1031,59,2252,1162,51,72,82,91,229,2,0,633,6,1,28,0,0,141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,BOGHEŞTI,175260,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:35:29",1189,1150,0,14,25,689,650,0,14,25,638,51,1301,612,31,44,51,68,353,5,0,226,3,0,37,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,BOLOTEŞTI,175368,2,FINAL,UAT,CL,CL_CE,"2020-10-02 21:52:32",3920,3697,5,112,106,2411,2191,2,112,106,2306,105,4218,1807,115,161,184,175,507,2,1,1416,8,0,25,0,0,358,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,BORDEŞTI,175439,2,FINAL,UAT,CL,CL_CE,"2020-10-02 20:32:58",1445,1357,1,40,47,943,855,1,40,47,877,66,1542,599,43,61,70,79,314,3,1,348,4,0,169,2,0,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,BROŞTENI,175466,2,FINAL,UAT,CL,CL_CE,"2020-10-03 14:16:46",1897,1886,1,8,2,981,970,1,8,2,932,49,2080,1099,46,65,74,73,305,4,0,504,6,1,19,0,0,0,0,0,0,0,0,44,0,0,36,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,CÂMPINEANCA,174780,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:18:08",3607,3569,3,14,21,1799,1764,0,14,21,1736,63,3913,2114,86,121,138,133,1172,8,1,447,3,0,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,VRANCEA,CÂMPURI,175670,2,FINAL,UAT,CL,CL_CE,"2020-10-03 16:06:31",2977,2879,2,18,78,1664,1568,0,18,78,1550,114,3288,1624,77,108,124,110,788,7,0,469,4,0,184,1,1,42,0,0,0,0,0,43,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
