county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-mandate-g9","NUŢĂ COSTAN-SORIN-voturi","NUŢĂ COSTAN-SORIN-mandate-faza-1","NUŢĂ COSTAN-SORIN-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","TEIŞANU CĂTĂLIN-MARIUS-voturi","TEIŞANU CĂTĂLIN-MARIUS-mandate-faza-1","TEIŞANU CĂTĂLIN-MARIUS-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-mandate-faza-1","PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-mandate-faza-2","BALAN VIŞINEL-COSTEL-voturi","BALAN VIŞINEL-COSTEL-mandate-faza-1","BALAN VIŞINEL-COSTEL-mandate-faza-2","PĂTRAŞCU MARIUS-FLORIN-voturi","PĂTRAŞCU MARIUS-FLORIN-mandate-faza-1","PĂTRAŞCU MARIUS-FLORIN-mandate-faza-2","ALIANȚA PENTRU UNITATEA RROMILOR-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-1","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","BUDURU CONSTANTIN-voturi","BUDURU CONSTANTIN-mandate-faza-1","BUDURU CONSTANTIN-mandate-faza-2","STOENESCU IULIAN-EUGEN-voturi","STOENESCU IULIAN-EUGEN-mandate-faza-1","STOENESCU IULIAN-EUGEN-mandate-faza-2","ILIE CLEMENT-voturi","ILIE CLEMENT-mandate-faza-1","ILIE CLEMENT-mandate-faza-2","BĂNILĂ ILIE-voturi","BĂNILĂ ILIE-mandate-faza-1","BĂNILĂ ILIE-mandate-faza-2","BRATU MARIAN-voturi","BRATU MARIAN-mandate-faza-1","BRATU MARIAN-mandate-faza-2","ALIANȚA PNL-USR-PLUS-voturi","ALIANȚA PNL-USR-PLUS-mandate-faza-1","ALIANȚA PNL-USR-PLUS-mandate-faza-2"
19,GIURGIU,ADUNAŢII-COPĂCENI,100781,1,FINAL,UAT,CL,CL_CE,"2020-09-28 13:21:11",5262,5155,2,102,3,3432,3327,0,102,3,3172,258,5656,2224,158,222,253,205,88,0,0,926,4,0,1637,7,1,521,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BĂNEASA,101001,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:36:35",3970,3794,10,83,83,2498,2332,0,83,83,2385,113,4258,1760,119,166,190,174,24,0,0,272,1,1,1992,11,0,64,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BOLINTIN-DEAL,101163,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:52:08",5192,5138,13,29,12,2212,2169,2,29,12,2134,78,5665,3453,106,149,170,124,28,0,0,354,2,1,1410,11,0,141,0,0,75,0,0,110,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BUCŞANI,101378,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:41:07",2824,2628,1,167,28,2254,2059,0,167,28,2129,125,3002,748,106,149,170,157,24,0,0,869,5,1,1179,7,0,0,0,0,0,0,0,32,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BULBUCATA,101519,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:55:37",1349,1085,3,249,12,1162,901,0,249,12,1124,38,1184,22,56,78,89,123,299,2,1,176,1,0,635,5,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,BUTURUGENI,101617,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:53:57",3336,3106,1,197,32,2539,2310,0,197,32,2424,114,3436,885,121,169,193,180,0,0,0,1313,7,0,1031,5,1,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,CĂLUGĂRENI,101662,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:05:17",4552,4509,2,39,2,2814,2772,1,39,2,2639,175,4954,2136,131,184,211,162,0,0,0,1036,6,0,1403,8,1,89,0,0,14,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,CLEJANI,101984,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:38:37",2495,2361,0,34,100,1724,1590,0,34,100,1636,88,2701,977,81,114,130,115,66,0,0,64,0,0,1500,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,COLIBAŞI,102071,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:57:14",2760,2642,0,47,71,1966,1848,0,47,71,1897,68,2944,979,94,132,151,0,11,0,0,270,1,1,1593,11,0,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,COMANA,102106,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:47:05",5682,5195,8,313,166,3605,3126,0,313,166,3454,139,5879,2286,172,241,276,217,35,0,0,572,2,1,2692,12,0,0,0,0,30,0,0,68,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
